record_number,name_en,name_fr,document_types_en,document_types_fr
OCI BEC 030,Case Files,Dossiers de cas,"Complaints, investigations, interviews, observation reports, grievances, legislation, legal opinions and correspondence.","Plaintes, enquêtes, entrevues, rapports d'observation, griefs, textes juridiques, avis juridiques et pièces de correspondance."
OCI BEC 010,"Correctional Institution Organizations, Committees and Groups","Établissements correctionnels - organisations, comités et groupes","Complaints, investigations, interviews, legislation, legal opinions and correspondence.","Plaintes, enquêtes, entrevues, législation, avis juridiques et correspondance."
OCI BEC 005,Correctional Institution Visits,Visites aux établissements correctionnels,Correspondence and reports.,Correspondances et rapports.
OCI BEC 025,"Correctional Service Reports, Publications, Review and Research","Rapports, publications, examens et recherches du Service correctionnel du Canada","Correspondence, bulletins, policies and procedures, reports, publications, research, legal opinions, and records of recommendations.","Correspondance, bulletins, politiques et procédures, rapports, publications, recherches, avis juridiques et dossiers de recommandations."
OCI BEC 035,Ed McIsaac Award,Prix Ed McIsaac,"Submissions, selection criteria, approved nominations, ceremony arrangements, selection committee records, photographs, press clippings, correspondence, forms, and publications.","Demandes, critères de sélection, nominations approuvées, arrangements relatifs à la cérémonie, dossiers du comité de sélection, photographies, coupures de journaux, correspondance, formulaires, publications."
OCI BEC 020,Systemic or Special Investigations and Reports,Enquêtes spéciales ou systémiques et rapports,"Work plans, correspondence, briefing notes, reports, interview notes, and legal opinions.","Plans de travail, correspondances, notes d'information, rapports, notes d'entrevue et avis juridiques."
