record_number,name_en,name_fr,document_types_en,document_types_fr
TBPA COM 035,Commercial Port Activity,L'activité du port de commerce,"Inward-Outward forms, statistics and projections for: grain cargo; dry bulk cargo; liquid bulk cargo; and general cargo","Statistiques et projections concernant les cargaisons en vrac, les chargements de grains, les marchandises liées â un projet, et les cargaisons vrac liquides"
TBPA ENG 015,Engineering Services,Services d'ingénierie,"Plans, drawings, maintenance programs, quotations, construction supervision, dredging, tenders, inspections, progress reports and payments.","Plans, dessins, programmes de maintenance, propositions de prix, supervision de la construction, dragage, appels d'offres, inspections, rapports d'étape et paiements."
TBPA PRO 040,Properties and Agreements,Propriétés et ententes,"Lease agreements, title information, insurance documents, appraisals, purchases and sales","Les conventions de location, les renseignements sur les droits immobiliers, les assurances, les évaluations, les achats et les ventes"
TBPA HAR 020,"Harbour Navigation, Safety and Security",Harbour navigation et sécurité,"Harbour Activities, Harbour Practices and Procedures, Operations Regulations, Notices to Shipping, Marine Emergency Plan, Keefer Terminal Security Plan.","Activités liées au port, pratiques et procédures liées au port, règlement sur l'exploitation de l'administration portuaire, avis à la navigation, plan d'urgence maritime, plan de sécurité de la gare maritime Keefer."
TBPA MAR 025,Marketing,Marketing,"Media clippings, advertisements, brochures, corporate identity files, seminar literature, market studies, newspaper articles and scholarly articles.","Coupures de presse, publicités, brochures, dossiers concernant l’image de marque, documents ayant trait aux séminaires, études de marché, articles de journaux et articles savants."
TBPA TAR 030,Tariffs,Tarifs,"Wharfage rates, berthage rates; harbour dues.","Droits de quai, droits de mouillage, droits de port."
