record_number,name_en,name_fr,document_types_en,document_types_fr
CSA SEC 025,Human Space Missions and Support – Canadian Astronauts,Missions spatiales habitées et soutien connexe — Astronautes canadiens,"Agreements, announcements of opportunity, arrangements, contracts, concept documents, correspondence, grants or contributions documents, invitations to tender, procedures, project approval documents, proposals, proposal evaluations, reports, studies and timetables.","Ententes, avis d'offre de participation, accords, contrats, documents de concept, correspondance, documents de subventions ou de contributions, appels d'offres, procédures, documents d'approbation de projets, propositions, évaluations de propositions, rapports, études, calendriers."
CSA SEC 030,Astronaut Training and Missions,Entraînement et missions d'astronautes,"Agreements, announcements of opportunity, arrangements, contracts, concept documents, correspondence, invitations to tender, procedures, project approval documents, proposals, proposal evaluations, reports, studies and timetables.","Ententes, avis d'offre de participation, accords, contrats, documents de concept, correspondance, appels d'offres, procédures, documents d'approbation de projets, propositions, évaluations de propositions, rapports, études, calendriers."
CSA SEC 040,Operational Space Medicine,Médecine spatiale opérationnelle,"Agreements, announcements of opportunity, arrangements, contracts, concept documents, correspondence, invitations to tender, procedures, project approval documents, proposals.","Ententes, avis d'offre de participation, accords, contrats, documents de concept, correspondance, appels d'offres, procédures, documents d'approbation de projets, propositions."
CSA SEC 005,"Space Astronomy, Planetary Science and Health and Life Sciences","Astronomie spatiale, science planétaire et sciences de la santé et de la vie","Agreements, announcements of opportunity, arrangements, concept documents, correspondence, grants or contributions documents, procedures, proposals, proposal evaluations, reports, studies and timetables.","Ententes, avis d'offre de participation, accords, documents de concept, correspondance, documents de subventions ou de contributions, procédures, propositions, évaluations de propositions, rapports, études, calendriers."
CSA HR 010,Recruitment and Staffing,Recrutement et dotation,"Employment opportunity advertisements, application forms and questionnaires, résumés and curricula vitae, procedures standardized or in-house exam and interview questions and answers, reference check tools, recorded interviews/tests, information within automated or Web-based application tools rating guides, board member assessment, ratings and results , board report and selection decisions, procedures, checklists and staffing letters (incl. copies of letters of offer), inventories and pools of qualified or partially qualified candidates, inquiries and responses, second language evaluation results, performance assessments, security screening information, etc.","Annonces d'offres d'emploi, formulaires et questionnaires de demande d'emploi, curriculum vitae, procédures, questions et réponses d'examens et d'entrevues normalisés ou internes, outils de vérification des références, entrevues et tests enregistrés, information recueillie par les outils de candidature automatisés ou les applications Web, guides d'évaluation, évaluation des membres du comité, notes et résultats, rapports et décisions du comité de sélection, procédures, listes de contrôle et lettres de dotation (y compris des copies de lettres d'offre), répertoires et bassins de candidats qualifiés ou partiellement qualifiés, demandes de renseignements et réponses, résultats d'évaluation de la langue seconde, évaluations de rendement, information sur les enquêtes de sécurité, etc."
CSA SEC 015,Planetary Exploration Missions and Technology Development,Développement de technologies pour les missions d'exploration planétaire,"Agreements, announcements of opportunity, arrangements, contracts, concept documents, correspondence, invitations to tender, procedures, project approval documents, proposals, proposal evaluations, reports, studies and timetables.","Ententes, avis d'offre de participation, accords, contrats, documents de concept, correspondance, appels d'offres, procédures, documents d'approbation de projets, propositions, évaluations de propositions, rapports, études, calendriers."
CSA SEC 020,Space Astronomy Missions and Technology Development,Développement de technologies pour les missions d'astronomie spatiale,"Agreements, announcements of opportunity, arrangements, contracts, concept documents, correspondence, invitations to tender, procedures, project approval documents, proposals, proposal evaluations, reports, studies and timetables.","Ententes, avis d'offre de participation, accords, contrats, documents de concept, correspondance, appels d'offres, procédures, documents d'approbation de projets, propositions, évaluations de propositions, rapports, études, calendriers."
CSA SEC 050,"Space Exploration Planning, Coordination and Advanced Concepts","Planification, coordination et concepts avancés de l'exploration spatiale","Agendas, agreements, announcements of opportunity, contracts, concept documents, correspondence, invitations to tender, minutes, procedures, project approval documents, proposals, proposal evaluations, reports, studies and timetables.","Ordres du jour, ententes, avis d'offre de participation, contrats, documents de concept, correspondance, appels d'offres, procès‑verbaux, procédures, documents d'approbation de projets, propositions, évaluations de propositions, rapports, études, calendriers."
CSA SEC 055,ISS Utilization,Utilisation de la SSI,"Agreements, announcements of opportunity, arrangements, contracts, concept documents, correspondence, invitations to tender, procedures, project approval documents, proposals, proposal evaluations, reports, studies and timetables.","Ententes, avis d'offre de participation, accords, contrats, documents de concept, correspondance, appels d'offres, procédures, documents d'approbation de projets, propositions, évaluations de propositions, rapports, études, calendriers."
CSA SEC 045,Lunar Exploration,Exploration lunaire,"Agreements, announcements of opportunity, arrangements, contracts, concept documents, correspondence, invitations to tender, procedures, project approval documents, proposals, proposal evaluations, reports, studies and timetables.","Ententes, avis d'offre de participation, accords, contrats, documents de concept, correspondance, appels d'offres, procédures, documents d'approbation de projets, propositions, évaluations de propositions, rapports, études, calendriers."
ASC PPU 040,,Subventions et contributions — volet Sensibilisation et formation (S et F),,
ASC PPU 045,,Subventions et contributions — volet Recherche,,
ASC PPU 060,,"Activités de mobilisation, de sensibilisation et d'éducation",,
ASC PPU 035,,Biographies des astronautes canadiens,,
ASC PPU 020,,Inscription pour assister aux lancements de missions spatiales,,
ASC PPU 015,,"Entrevues avec des scientifiques, des ingénieurs et des chercheurs",,
ASC PIB 015,,Activités de recrutement et de dotation à l'aide d'outils virtuels,,
ASC PPU 010,,Sciences spatiales,,
