record_number,name_en,name_fr,document_types_en,document_types_fr
EC SUS 333,Clean Growth and Climate Change Mitigation,Croissance propre et atténuation des changements climatiques,"Advice, workshops, policies, procedures, studies, regulations, applications, audits, authorizations, briefing notes, budgeting, transfer payments, Treasury Board submissions, Memoranda to Cabinet, Memoranda of Understanding, communication plans, complaint management, consultations, reports, contracts, contribution agreements, correspondence, funding, media relations, monitoring, presentation decks, research, risk management, standards, regulations, evaluations, planning, publications, program review, provincial and territorial relations.","Conseils, ateliers, politiques, procédures, études, règlements, demandes, audits, autorisations, notes d’information, budgets, paiements de transfert, présentations au Conseil du Trésor, mémoires au Cabinet, protocoles d’entente, plans de communication, gestion des plaintes, consultations, rapports, contrats, accords de contribution, correspondance, financement, relations avec les médias, surveillance, présentations, recherche, gestion des risques, normes, règlements, évaluations, planification, publications, examen de programmes, relations avec les provinces et les territoires."
EC CCC 223,International Environment and Climate Change Engagement,Engagement international sur l’environnement et les changements climatiques,"Correspondence, reports, briefing notes, position papers, annual reports, meeting agendas and minutes, contracts, memoranda, legal opinions, Contribution Agreements and planning documents","Correspondance, rapports, notes d’information, exposés de position, rapports annuels, ordres du jour et procès-verbaux, contrats, notes de service, avis juridiques, accords de contribution et documents de planification."
EC SUS 131,Environmental Pollution Management,Gestion de la pollution environnementale,"Correspondence, statistical data and methods, scientific data and methods, contracts, statements of work, proposals, memoranda, policies, legal opinions, public opinion research, meeting agendas and minutes, reports and published papers","Correspondance, données et méthodes statistiques, rapports, articles publiés, données et méthodes scientifiques, contrats, énoncés de travaux, propositions, mémoires, politiques, avis juridiques, enquêtes d’opinion publique et ordres du jour et procès-verbaux."
EC CPE 033,Pollution Enforcement,Application de la loi en matière de pollution,"Correspondence, reports, regulatory documentation, inspections and investigation data, compliance strategies, compliance promotion plans, and strategic planning documents","Correspondance, rapports, documentation réglementaire, données d’inspection et d’enquête, stratégies de conformité, plans de promotion de la conformité et documents de planification stratégique."
EC SUS 345,Conservation and Species,Conservation et espèces,"Correspondence, agreements, research data, reports, position papers and planning documents","Correspondance, ententes, résultats de recherche, rapports, exposés de position et documents de planification."
EC CPW 014,Conservation and Species Enforcement,Application de la loi en matière de conservation et d'espèces,"Correspondence, reports, regulatory documentation, inspections and investigation data, compliance strategies, compliance promotion plans and strategic planning documents","Correspondance, rapports, documents réglementaires, données d’enquêtes et d’inspections, stratégies de conformité, plans de promotion de la conformité et documents de planification stratégique."
EC WES 213,Meteorological Services,Services météorologiques,"Correspondence, research data, analytical models, geographic information system (GIS) data, scientific reports, published papers, grants and agreements, planning documents, fellowship arrangements, training and development documents, National Climatological Archive data, modelling data, weather, ocean, air quality, hydro, ice data, contribution agreements, adaptation and resilience strategies , training and development documents, and technological toolkits for stakeholders.","Correspondance, données de recherche, modèles analytiques, données de systèmes d'information géographique (SIG), rapports scientifiques, articles publiés, subventions et ententes, documents de planification, ententes de versement de bourses de bourse, documents de formation et développement, données des Archives climatologiques nationales, données de modélisation, données météorologiques, océaniques, sur la qualité de l’air, hydriques, sur la glace, accords de contribution, stratégies d’adaptation et de résilience, documents de formation et de développement, et trousses d'outils technologiques pour les intervenants."
EC WAT 123,Hydrological Services,Service hydrologique,"Correspondence, research data, monitoring reports, position papers, agreements, published papers planning documents, risk assessments, hydrometric station data, water use forecasts, and technical guidelines.","Correspondance, données de recherche, rapports de suivi, documents de position, accords, articles publiés et documents de planification, évaluations des risques, données des stations hydrométriques, prévisions de disponibilité en eau, et lignes directrices techniques."
