bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
STJPA PPU 001,Property Services Personal Information Bank,,STJPA PPU 001,,This bank contains basic information on properties managed by the St. John’s Port Authority or tenants of these properties.,,General public.,,,,,,"This bank is used to document property transactions such as leases, agreements, sales, exchange or purchase of lands between Her Majesty, the St. John’s Port Authority and the general public.",,This bank is used to document the decision-making process in property matters.,,Records are retained for an undetermined period of time.,,2018/006,,STJPA PMS 010,,,,,
STJPA PPU 002,Port Customers,,STJPA PPU 002,,"This bank describes information related to individuals who occupy berthage space. Personal information may include name, contact information, information about the individual’s vessel and credit information.",,General Public.,,,,,,"Personal Information is used to reserve dock space, document berthage agreements, provide services, billing and obtain customer feedback.",,"The information may be used or disclosed for the following purposes: enforcement, safety, inventory of berthage space, reporting to senior management, evaluation. With consent, information may be used for mailing list purposes.",,Records are retained for 7 years and then destroyed.,,,,STJPA TFP 010,,,,,
STJPA PPU 003,Cruise Passengers,,STJPA PPU 003,,"Records include information related to the arrival and disembarkment of cruise ship passengers including; manifests, passport number, birthdates, and names.",,General Public.,,,,,,Personal Information is used for security purposes for entry to secure areas.,,The information may be used or disclosed for enforcement and safety purposes:,,Records are retained for 7 years and then destroyed.,,,,STJPA CIC 005,,,,,
STJPA PPU 004,Terminal Operations,,STJPA PPU 004,,"This bank describes information that is used in facilitating the administration of shore services required for international and coastal trade, including shipping agents, stevedoring companies, and shipyards in accordance with the provisions of the Canada Marine Act and the Letters Patent. The personal information may include name, contact information, citizenship status, other identification numbers and vessel and carrier license numbers.",,"General public, (shipping, vessel and carrier contractors, shipping agents).",,,,,,The personal information is used to administer the harbour master and terminal operations activity. Personal information is collected pursuant to the Canada Marine Act; the St. John’s Port Authority Letters Patent; Port Authorities Management Regulations; and Port Authorities Operating Regulations.,,"The information may be used or disclosed for enforcement and safety purposes, in order to ensure that all necessary services be properly coordinated to facilitate the loading of cargos and passage of vessels. Aggregate information may be shared with Transport Canada, and/or with an auditor for mandatory annual audits.",,Records are retained for 7 years and then destroyed.,,,,STJPA CRH 005,,,,,
STJPA PPU 005,Hot Work Permit,,STJPA PPU 005,,"This bank describes information that is related to individuals who apply for a Welding/Burning (Hot Work) Permit in the Port of St. John’s. The personal information may include: name of the company, location of ship, time and date of the job, name of the authorized representative or welder.",,Applicants for a welding/burning permit.,,,,,,This personal information is used to administer the Harbour and Port Security.,,"This information may be used or disclosed for the following purposes: enforcement, safety, evaluation.",,Records are retained for 7 years once processed and then destroyed.,,,,STJPA HRO 050,,,,,
STJPA PPU 006,Crane Permit,,STJPA PPU 006,,"This bank describes information that is related to individuals who apply for a Crane Permit in the Port of St. John’s. The personal information may include: name of the company, location of crane, time and date of the job, name of the authorized representative or crane permit.",,Applicants for a crane permit.,,,,,,This personal information is used to administer the Harbour and Port Security.,,"This information may be used or disclosed for the following purposes: enforcement, safety, evaluation.",,Records are retained for 7 years once processed and then destroyed.,,,,STJPA HRO 050,,,,,
STJPA PPU 007,Restricted Area Passes,,STJPA PPU 007,,"This bank describes information that is related to individuals who apply for a restricted area pass in the Port of St. John’s. The personal information may include: name, date of birth, work address, and telephone number.",,Applicants for a restricted area pass,,,,,,This personal information is used to administer the Harbour and Port Security.,,"This information may be used or disclosed for the following purposes: enforcement, safety, evaluation.",,Records are retained for 5 years once processed and then deleted from the file.,,,,STJPA HRO 050,,,,,
STJPA PPU 008,Diving Permit,,STJPA PPU 008,,"This bank describes information that is related to individuals who apply for a Diving Permits in the Port of St. John’s. The personal information may include the name of the company, location of ship, time and date of the job, name of the authorized representative or diver.",,General public.,,,,,,This personal information is used to administer the Harbour and Port Security.,,"This information may be used or disclosed for enforcement, safety, or evaluation.",,"Records are retained for 7 years, then destroyed.",,,,STJPA HRO 050,,,,,
STJPA PPU 009,Community Investment,,STJPA PPU 009,,"This bank describes information that is related to applications for awards or for holding events in the harbour and on SJPA property such as yacht races and other recreational/commercial/community events. Personal information may include: name, contact information, educational background, organization responsible for the event, certificate of insurance.",,General Public.,,,,,,"Personal information is used to provide scholarship awards or to provide navigational or safety assistance for the activity, billing purposes, processing potential insurance claims.",,The information may be used or disclosed for reporting to senior management.,,Records are retained for 5 years and then destroyed.,,,,STJPA CII 005,,,,,
