record_number,name_en,name_fr,document_types_en,document_types_fr
PSIC 002,Investigation Records Concerning Allegations of Wrongdoing,Dossiers d’enquêtes concernant les allégations d’actes répréhensibles,"Research documents, evidence, letters, notes of telephone conversations or meetings, investigation reports, and replies from institutions concerning the recommended corrective measures where applicable.","Documents de recherches, éléments de preuve, correspondance, compte rendu de conversations téléphoniques ou de rencontres, rapports d’enquêtes, réponses des institutions concernées et information concernant les mesures correctives lorsqu’applicable."
PSIC 005,Legal Matters,Affaires juridiques,"Pleadings, briefs, appeal files, transcripts and statements of evidence, legal opinions, correspondence and litigation files.","Plaidoiries écrites, dossiers d’appel, transcriptions et témoignages, déclarations fournies en preuve, brefs, avis juridiques, correspondance et dossiers de litige."
PSIC 001,Operations,Activités,"Activities records, directives, policies.","Statistiques et dossiers sur les activités, directives, politiques."
PSIC 004,Records Concerning Complaints of Reprisal,Dossiers de plaintes en matière de représailles,"Research documents, evidence, notes of telephone conversations or meetings, investigation reports and letters of decisions.","Documents de recherches, éléments de preuve, compte rendu de conversations téléphoniques ou de rencontres, rapports d’enquêtes, lettres de décisions."
PSIC 007,Records Concerning Outreach and Engagement Initiatives,Dossiers sur les initiatives en matière de sensibilisation et de liaison,"Outreach and engagement strategy with measures and outputs; policy and program activities; information exchange and outreach activities with other levels of Canadian government; information exchange and outreach activities with foreign countries; research framework for conducting original research related to disclosure of wrongdoing and prevention of reprisal; research project plans with related activities and reports; summaries and/or selected points of/from existing research articles and books; workshop plans, presentations and activities; outreach initiatives related to speaking engagements and discussions with the Commissioner within the public service and externally to universities and the private sector; initiatives to establish partnerships and relationships with leading experts and academics in ethics and disclosure; initiatives to establish partnerships and relationships with public service stakeholder communities such as APEX, National Managers Community, Labour Management Consultation Committee and Regional Executive Councils.","La stratégie de prévention ainsi que les mesures et les résultats; les activités de politique et de programme; l’échange d’information et les activités de liaison avec d’autres niveaux du gouvernement du Canada; l’échange d’information et les activités de liaison avec des pays étrangers; un cadre de recherche afin de mener de nouvelles recherches sur la divulgation d’actes répréhensibles et la prévention des représailles; des plans de projets de recherches ainsi que les activités et les rapports connexes aux projets; des résumés ou des sujets choisis tirés d’articles ou de livres de recherche existants; des plans, des exposés et des activités d’ateliers de travail; des activités de liaison concernant des allocutions et des discussions auxquelles doit participer le commissaire au sein du secteur public de même qu’à l’extérieur du secteur public dans des universités et dans le secteur privé; initiatives visant à établir des partenariats et des rapports avec de grands experts et universitaires dans les domaines de l’éthique et de la divulgation; initiatives visant à établir des partenariats et des rapports avec des groupes intéressés au sein du secteur public tels que l’APEX, la Communauté nationale des gestionnaires, le Comité de consultation patronal syndical et les Conseils fédéraux régionaux."
