record_number,name_en,name_fr,document_types_en,document_types_fr
PC HRC NMC CM 002,National marine conservation areas and national urban park management,Gestion des ressources des aires de conservation des aires marines et du parc urbain national,"Plans, studies; surveys; inventories; statistics; reports; consultation records; meeting minutes/summaries; pamphlets; newsletters; fact sheets; web content; PowerPoint presentations; briefing notes; leases; licenses and permits; agreements.",Plans; études; sondages; inventaires; statistiques; rapports; dossiers de consultations; procès-verbaux et sommaires de réunions; brochures; bulletins; fiches d’information; contenu Web; présentations PowerPoint; notes d’information; baux; licences et permis; accords.
PC VE NP VPR 009,National parks visitor permits and registrations,Permis et enregistrements de visiteurs des parcs nationaux,"Permits; inventories; descriptions; and guidelines; reports; internal service delivery agreements, memoranda of understanding with partners; partnering agreements; operational policy documents and operational guidelines.",Permis; inventaires; descriptions et lignes directrices; rapports; ententes de prestation de services internes; protocoles d’entente avec des partenaires; accords de partenariats; documents de politique opérationnelles et lignes directrices opérationnelles.
PC HPE NMC EP 001,"National Parks, Marine Conservation Areas and Urban Park Establishment Program",Gestion des lotissements urbains – Projets d’ingénierie,Plans; studies; reports; PowerPoint presentations; website content; brochures; newsletters; fact sheets; briefing notes; legal opinions; agreements; meeting minutes and summaries.,Études de faisabilité; documents d’analyse des options; évaluations des risques; calendriers; contrats; énoncés de projet; données de conception; estimations des coûts; rapports d’étape; rapports financiers; calendriers de projet.
PC HPE NHS EP 001,National Program of Historical Commemoration,Programme de réclamations et de litiges,"Commemorative integrity statements; Directory of Federal Heritage Designations; Canadian Register of Historic Places; reports; minutes; evaluations; submissions; recommendations; National Historic Sites System Plan; Framework for History and Commemoration; policies, legislation and regulations; historical, architectural and archaeological reports; data base.","Voici des documents qu’on peut trouver dans ce fichier : décharges des réclamations, rapports d’incident, déclarations des témoins, photos et vidéos, documents de polices d’assurance, notes d’enquête, avis juridiques, politique de règlements, et documents justificatifs utilisés par Parcs Canada pour prendre des décisions administratives se rapportant aux réclamations pour des dommages matériels ou des blessures corporelles. Ce fichier comprendra également des rapports d’inspection sur l’entretien des installations, des normes d’exploitation et d’entretien, des calendriers d’entretien et des directives de sécurité."
PC HRC UP PC 001,National Urban Parks Program,Programme des parcs urbains nationaux,Plans; studies; reports; PowerPoint presentations; web content; brochures; newsletters; factsheets; briefing notes; legal opinions; agreements; meeting minutes and summaries.,Plans; études; rapports; présentations PowerPoint; contenu Web; brochures; bulletins; fiches d’information; note d’information; avis juridiques; accords; procès-verbaux; et sommaires de réunions.
PC ERVE VEMD 001,National Volunteer Program,Programme national de bénévolat,"Policies, guidelines, and risk management plans, as well as annual reports, performance summaries, and other program reports. Planning and governance documentation consists of terms of reference, presentations, bulletins, public service announcements, newspaper articles, surveys, user guides, and due diligence tools. Volunteer management records include application forms, registration forms, consent forms, orientation documentation, training materials, attendance records, activity descriptions, and schedules. Operational records cover incident reports, expense forms, and budget allocations. Recognition and evaluation materials include certificates and evaluation forms.","Les politiques, lignes directrices et plans de gestion des risques, ainsi que les rapports annuels, les sommaires de rendement et d’autres rapports de programme. La documentation de planification et de gouvernance comprend les mandats, présentations, bulletins, annonces de service public, articles de journaux, sondages, guides d’utilisation et outils de diligence raisonnable. Les dossiers de gestion des bénévoles incluent les formulaires de demande, formulaires d’inscription, formulaires de consentement, documents d’orientation, matériel de formation, registres de présence, descriptions d’activités et horaires. Les dossiers opérationnels couvrent les rapports d’incident, les formulaires de dépenses et les allocations budgétaires. Les documents de reconnaissance et d’évaluation comprennent les certificats et formulaires d’évaluation."
PC HRC NP NRM 005,Natural resource management,Gestion des ressources naturelles,"Reports and studies; policies, regulations, guidelines, standards of practice; ecological monitoring and reporting guidelines; databases and incident records; and reports data resulting from ecological monitoring programs; video and still photography.","Études et rapports; politiques, règlements, lignes directrices et normes de pratique; lignes directrices sur la surveillance écologique et la production de rapports; bases de données et registres d’incidents; rapports et données provenant des programmes de surveillance écologique; enregistrements vidéo et photographies."
PC HRC OHP EAP 003,Other heritage places conservation - engineering and architectural projects,Conservation des lieux historiques nationaux – projets de génie et d’architecture,Project authorization forms; project briefs; design data; cost estimates; management reports; and project schedules.,Formulaires d’autorisation du projet; sommaires de projet; données de conception; prévisions de coûts; rapports de gestion; et calendriers des projets.
PC HRC OHP CP 001,Other heritage places conservation programs,Programme d’application de la loi,"Canadian Register of Historic Places; Directory of Federal Heritage Designations; Register of Federal Heritage Buildings; standards and guidelines for the conservation of historic places in Canada; correspondence; policies, legislation and regulations; contribution agreements; evaluations; reports; training material; data bases; publications; historical, architectural and archaeological research reports; inventories of federal heritage buildings, heritage railway stations, grave sites of Canadian prime ministers, cultural world heritage sites and heritage lighthouses. Note This COR now includes PC HPE OHP EP 001.","Rapports d’enquête et d’événements, évaluations des menaces, déclarations, rapports sur les pièces à conviction, dossiers d’audience, copies de documents judiciaires tels que les assignations, les mandats et, dans certains cas, les dossiers relatifs aux antécédents criminels. Correspondance, politiques et lignes directrices, protocole d’entente, accords, rapport d’analyse du renseignement, notes d’information, manuel de formation, statistiques, présentations, points de discussion, ordres du jour et procès-verbaux."
PC HRC OHP EP 004,Other historic sites conservation - environmental protection,Conservation des lieux historiques nationaux – protection de l’environnement,Correspondence and reports on environmental protection; documents on pollution and pollutants; regulations; reports and official minutes; surveys; studies.,Correspondance et rapports sur la protection de l’environnement ; documents sur la pollution et agents de pollution ; règlements; rapports et comptes rendus officiels; sondages; et études.
PC PAU EEC 001,Outreach products and initiatives,Produits et initiatives de diffusions externes,Films; broadcasts; mobile applications; social networking site entries; brochures; booklets; factsheets; interpretation panels; exhibits; photos; reports; guidelines; web pages; policies; inventories; research; and newsletters.,Films; diffusions; applications mobiles; entrées sur des sites de réseautage social; brochures; livrets; fiches d’information; panneaux d’interprétation; expositions; photos; rapports; bases de données; directives; pages web; politiques; inventaires; recherches et bulletins d’information.
PC ERVE SSA UP 001,Parks Canada Employee Uniform Program,Programme de l’uniforme pour les employés de Parcs Canada,"Requests, uniform catalogue, approvals, inventory logs, invoices and receipts, supporting documents.","Demandes, catalogue de l’uniforme, approbations, journal d'inventaires, factures et reçus, pièces justificatives."
PC VE NHS IP 001,Parks Canada interpretive products,Produits d’interprétation de Parcs Canada,Interpretive work plans; interpreter certification and competency documents; Parks Canada visitor opportunities database; VIA Rail Ocean Route onboard interpretation program description and guidelines; Parks Canada Xplorers Program instructions and guidelines; directives on historic weapons and associated technical manuals and other specific program descriptions and guidelines.,Plans de travail; documents de certification et de compétence des interprètes; base de données des occasions offertes aux visiteurs par Parcs Canada; description et lignes directrices du programme d’interprétation à bord du train L’Océan de VIA Rail; instructions et lignes directrices du programme Xplorateurs de Parcs Canada; directives sur les armes historiques et les manuels techniques associés et autres descriptions et lignes directrices de programme spécifique.
PC VE UP PLE 001,"Parks Canada resource protection, prevention and law enforcement","Protection des ressources, prévention et l’application de la loi de Parcs Canada","Correspondence; reports (statistical); internal service delivery agreements; memoranda of understanding with partner agencies; incidents and investigation reports: policies (including directives, guidelines, operational procedures, operational policy documents; and operational guidelines); reports and analyses related to incidents on natural and cultural resources and visitor experience; Information System Database.","Correspondance; rapports statistiques; ententes de prestation de service internes, protocoles d’entente avec des organismes partenaires, rapports et enquêtes sur les incidents, politique (incluant directive, lignes directrices, procédures opérationelles, procédures sur les politiques opérationnelles et les lignes directrices opérationnelles) rapports et analyses reliées au incidents sur les ressources et culturelles et l’expérience du visiteur; information du système de gestion des incidents et évènements."
PC VE NHS VS 005,Parks Canada visitor safety,Parcs Canada : sécurité des visiteurs,Visitor safety program evaluations; national visitor safety management strategy; stakeholder communications; visitor risk management strategies; disclaimers of liability guidelines; occurrence tracking system (now referred to as the Incident and Event Management System) used in national historic sites; national parks; urban park; marine conservation area and heritage canals to record data on search and rescue incidents.,"Évaluations des programmes de sécurité des visiteurs; stratégie de gestion nationale de la sécurité des visiteurs; communications avec les associés; méthodes de gestion du risque à l’égard des visiteurs; directives en matière des dégagements de responsabilité; système de repérage des incidents (maintenant remplacé par le Système de gestion des incidents et évènements) utilisé dans les sites historiques, des parcs nationaux, le parc urbain, les aires de conservation marines et canal du patrimoine afin d’enregistrer des données relatives aux activités de recherche et sauvetage."
PC PAEC HR LEB 001,Park warden HR administration,Programmes de désignation des lieux historiques nationaux,Performance monitoring system; evaluations; testing; reviews; presentations; annual and periodic performance evaluations; attendance All documentation located in employee member files; awareness packages for Employee Orientation Program; Investigational and occurrence reports; threat assessments; statements; exhibit reports.,"Énoncés d’intégrité commémorative; Répertoire des désignations patrimoniales fédérales; Registre canadien des lieux patrimoniaux; rapports; procès verbaux; évaluations; présentations; recommandations; Plan du réseau des lieux historiques nationaux; Cadre d’histoire et de commémoration; politiques, lois et règlements; rapports historiques, architecturaux et archéologiques; base de données."
PC ERVE POS 001,Points of sales services,Services de point de vente,Guidelines and reports; factsheets; activity outlines; interpretation activities; inventories; newsletters; services and events database; partnering agreements; memorandum of understanding (MOU); contracting documents including statements of work; event permits; promotional materials such as brochures and posters; films; photos; visitor studies and researches related to the program; participant surveys and related datasets and reports; attendance statistics related reports and database.,"Lignes directrices et rapports; fiches d’information; plans d’activités; activités d’interprétation; inventaires; bulletins d’information; base de données sur les services et les événements; accords de partenariat; protocoles d’entente; documents contractuels, y compris les énoncés des travaux; permis d’événements; matériel promotionnel tel que brochures et affiches; films; photos; études et recherches sur les visiteurs liées au programme; enquêtes sur les participants et ensembles de données et rapports connexes; rapports et base de données sur les statistiques de fréquentation."
PC IS RPAD 005,Realty activities,Programme de gestion immobilière de Parcs Canada,"Acquisition case files; maintenance and disposal strategies; appraisal and estimates standards; legal documents; architectural drawings; leases; plans and specifications; environmental assessments and reports; security requirements and standards; deeds and title documents; title claims; properties and facilities management agreements; inventories; and copies of relevant legislation, regulations, and policies.","Dossiers de cas d’acquisition; stratégies d’entretien et d’aliénation; normes d’évaluation et d’estimation; documents juridiques; dessins architecturaux; baux; plans et devis; évaluations et rapports environnementaux; exigences et normes de sécurité; actes et titres de propriété; réclamations relatives aux titres; ententes de gestion des biens et des installations; inventaires; ainsi que des copies des lois, règlements et politiques pertinents."
PC HPCP OCES 001,Research and Collection Permit Program,Programmes de demande de permis de recherche et de collecte,"Applicant’s guide, online application form, project proposal form, research and collection permits, management bulletins, statistics and reports.","Guide du demandeur, formulaire de demande en ligne, formulaire de proposition du projet, permis de recherche et de collecte, bulletins de gestion, statistiques et rapports."
PC HRC NP SAR 006,Species at risk,Espèces en péril,"Reports and studies related to species at risk and their habitats; policies, regulations, directives (guiding principles), standards and templates; operational procedures; recovery strategies; action plans; species status assessments produced by the Committee on the Status of Endangered Wildlife in Canada (COSEWIC); habitat maps; spatial analyses; video and still photography.","Études et rapports concernant les espèces en péril et leur habitat ; politiques, règlements, directives (principes directeurs), normes et modèles ; procédures opérationnelles ; programmes de rétablissement ; plans d’action ; évaluations de la situation d’espèces sauvages produites par le Comité sur la situation des espèces en péril au Canada (COSEPAC) ; cartes de l’habitat ; analyses spatiales ; vidéos et photographies."
PC PAU SPE 002,Stakeholder and partner engagement,Engagement des intervenants et des partenaires,Policies; reports; guidelines; bulletins; newspaper; presentations; memoranda of understanding; park impact benefit agreements; terms of reference; orders in council; forms; public service announcements; surveys; user guides; and due diligence tools.,Politiques ; rapports ; directives ; bulletins ; journaux ; présentations ; protocoles d’entente ; ententes sur les répercussions et les avantages ; termes de référence ; décrets du conseil ; formulaires ; messages d’intérêt public ; sondages ; guides de l’utilisateur ; et outils de diligence raisonnable.
PC TTI TM EP 001,Townsite management - infrastructure projects,Programmes de désignation et de conservation des autres lieux patrimoniaux,Feasibility studies; options analysis documents; risk assessments; schedules; contracts; project briefs; design data; cost estimates; progress reports; financial reports; project schedules.,"Le Répertoire canadien des lieux patrimoniaux du Canada; l’Annuaire des désignations patrimoniales fédérales; le Registre des édifices fédéraux du patrimoine; les normes et lignes directrices pour la conservation des lieux patrimoniaux du Canada; correspondance; politiques, lois et règlements; ententes de contribution; évaluations; rapports; documents de formation; bases de données; publications; rapports de recherche en histoire, en architecture et en archéologie; inventaire des édifices du patrimoine, des gares ferroviaires patrimoniales, des sites de sépulture des premiers ministres canadiens, des sites du patrimoine mondial et des phares patrimoniaux. Note Ce CDD comprend maintenant PC HPE OHP EP 001."
PC TTI TM TR 003,Townsite management - technical references,Gestion des lotissements urbains – Références techniques,"Reports; paper and electronic plans, drawings, specifications (contract, construction and manufacturing); codes; standards and guidelines; ""as-built"" information for specifications; archaeological reports; feasibility studies; field notes; summary and synopsis; and training packages.","Rapports ; plans papiers et électroniques ; dessins; spécifications (contrat, construction et fabrication); codes, normes et lignes directrices; documentation de l’état définitif pour les devis; rapports archéologiques; études de faisabilité; notes de campagne; résumés et synopsis; et documents de formation."
PC TTI TM OM 004,Townsite operations and maintenance,Lotissements urbains – exploitation et entretien,"Inspection reports on bridges, roads, snow sheds, slopes and culverts; operation and maintenance standards; maintenance schedules; incident reports; training records; safety directives; media lines; and communiqués.","Rapports d’inspection de ponts, de routes, de paravalanches, de talus et de ponceaux; normes d’exploitation et d’entretien; calendriers d’entretien; rapports d’incident; dossiers de formation; directives de sécurité; info capsules; et communiqués."
PC PPS HPP VP 002,Visitor promotion,Promotion aux visiteurs,"Marketing plans for field units, national parks; national historic sites and national marine conservation areas; promotional materials such as brochures and flatsheets; webinar presentations; advertising policies, instructions, plans, requests and approvals; partnering and sponsorships agreements for events and initiatives; policies, standards and guidelines related to the application of the Parks Canada brand; plans and results of travel media relations activities; fee-related consultations; plans; programs and Canada Gazette.","Plans de marketing pour les unités de gestion, les parcs nationaux; les lieux historiques nationaux et les aires marines nationales; politique en matière de publicité, consignes, plans, demandes et approbations; accords de partenariats pour les événements et initiatives; politiques, normes et lignes directrices liés à l’application de la marque de Parcs Canada; plans et résultats des activités de relations avec les médias de voyage; consultations; plans; programmes; Gazette du Canada."
PC PPS HPP VER 001,Visitors experience research,Recherche relative à l’expérience du visiteur,"Surveys responses, data files, intercept logs; research instruments; questionnaires; moderator guides, interview guides; planning documents; analytical reports, infographics, and summaries. They also include records of methodologies used; data quality checks; and version control documentation.","Réponses aux sondages ; fichiers de données ; journaux d’interception ; instruments de recherche; questionnaires; guides de modérateur; guides d’entrevue; documents de planification; rapports d’analyse; infographies; et résumés. Ils comprennent également les dossiers des méthodologies utilisées, les vérifications de la qualité des données et la documentation sur le contrôle des versions."
PC TTI TWM WR 001,Water resources,Ressources en eau,Hydrological surveys; regulations; reports; surveys; and studies.,Levées hydrologiques; règlements; rapports; enquêtes; études.
PC HPCP PAEC FM 001,Wildland fire management,Gestion des incendies de forêt,"Correspondence pertaining to employment records for individuals hired or appointed under the Parks Canada Agency Act. Information resources pertaining to the tolls including electronic and physical techniques and systems, technical capabilities and investigative expertise provided to investigators.","Correspondance relative aux dossiers d’emploi des personnes embauchées ou nommées en vertu de la Loi sur l’Agence Parcs Canada. Comprend également les ressources informationnelles associées aux outils mis à la disposition des enquêteurs, notamment les techniques d’enquête, les systèmes électroniques et physiques, ainsi que les capacités techniques et l’expertise nécessaires à la conduite d’activités d’enquête."
PC HR YESS 001,Youth Employment and Skills Strategy at Parks Canada,Stratégie emploi et compétences jeunesse à Parcs Canada,Contribution agreements; program terms and conditions; policies; directives and procedures; frameworks for performance measurement evaluation; financial and activity monitoring reports; surveys; participant information forms.,"Accords de contribution; modalités de programme; politiques, directives et procédures; cadres d’évaluation de la mesure du rendement; rapports de suivi des finances et des activités; enquêtes; formulaires d’information sur le participant."
