bank_number_key,bank_number_en,bank_number_fr,entry_id_en,entry_id_fr,entry_title_en,entry_title_fr,description_en,description_fr,note_en,note_fr,date_last_modified,class_of_individuals_en,class_of_individuals_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_disposal_en,retention_disposal_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,url_en,url_fr
PSU 901,PSU 901,,psu901,pou901,Access to Information Act and Privacy Act Requests,Demandes en vertu de la Loi sur l’accès à l’information et de la Loi sur la protection des renseignements personnels,"This bank describes information that is related to formal requests for access to information and, access to or correction of personal information made by individuals in accordance with the Access to Information Act and the Privacy Act. The personal information may include: name, contact information, credit information, identification numbers, Social Insurance Number (SIN) and other processing information related to the request, as well as personal information contained in institution records that are relevant to the request.","Ce fichier décrit l’information liée aux demandes officielles d’accès à l’information et aux demandes d’accès ou de correction de renseignements personnels formulées par des personnes en vertu de la Loi sur l’accès à l’information et de la Loi sur la protection des renseignements personnels. Les renseignements personnels peuvent comprendre des noms, des coordonnées, des renseignements de solvabilité, des numéros d’identification, des numéros d’assurance sociale (NAS) et d’autres renseignements sur le traitement des demandes, ainsi que des renseignements personnels contenus dans des dossiers institutionnels pertinents aux demandes.",Bank formerly called Access to Information and Privacy Requests. Description last updated: December 2013.,Fichier auparavant intitulé Accès à l’information et la protection des renseignements personnels. Dernière mise à jour de la description : décembre 2013.,2013-12-01,Individuals and their representatives who make formal requests to either obtain information or correct personal information under the control of the government institution.,"Les personnes et leurs représentants qui soumettent des demandes officielles soit pour obtenir de l’information, des renseignements ou corriger des renseignements personnels relevant d’une institution fédérale.","The personal information is used to process and respond to formal requests made under the Access to Information Act and the Privacy Act, including subsequent complaints, investigations and judicial review when applicable. Personal information is collected pursuant to section 13 of the Privacy Act, sections 8 and 11 of the Privacy Regulations, sections 6 and 11 of the Access to Information Act and section 4 of the Access to Information Regulations. The SIN is collected when required to locate personal information held by a program authorized through legislation or policy approval to use the SIN.","Les renseignements personnels sont utilisés pour traiter les demandes officielles – et y répondre – formulées en vertu de la Loi sur l’accès à l’information et de la Loi sur la protection des renseignements personnels, y compris, le cas échéant, les plaintes, enquêtes et demandes de révision judiciaire subséquentes. Les renseignements personnels sont recueillis en vertu de l’article 13 de la Loi sur la protection des renseignements personnels, des articles 8 et 11 du Règlement sur la protection des renseignements personnels, des articles 6 et 11 de la Loi sur l’accès à l’information et de l’article 4 du Règlement sur l’accès à l’information. Le NAS est recueilli lorsqu’il est nécessaire pour repérer des renseignements personnels détenus dans le cadre d’un programme qui, en vertu d’une loi ou d’une politique, est autorisé à utiliser le NAS.","Information may be shared with other government institutions during consultations required to process and respond to formal requests made under the Acts. Information may be shared with the Office of the Privacy Commissioner during investigations, refer to Privacy Complaints and Investigations – OPC PPU 005 and Privacy Commissioner Ad Hoc – Complaints and Investigations – OPC PPU 008 . Information may be shared with the Office of the Information Commissioner during investigations, refer to Complaint Investigations – OIC PPU 3100 and Ad Hoc Information Commissioner Complaint Investigations – OIC PPU 123 . Personal information may be shared with a government institution providing internal support services in accordance with section 29.2 of the Financial Administration Act. For information about the internal support services used, please contact the institution’s Access to Information and Privacy Coordinator. The information may be used for planning and evaluation purposes. Depersonalized and aggregated information is used to report to Parliament on the administration of the Access to Information Act and the Privacy Act.  |  Links: Privacy Complaints and Investigations – OPC PPU 005 (https://www.priv.gc.ca/au-ans/atip-aiprp/infosource_e.asp); Privacy Commissioner Ad Hoc – Complaints and Investigations – OPC PPU 008 (https://www.priv.gc.ca/au-ans/atip-aiprp/infosource_e.asp); Complaint Investigations – OIC PPU 3100 (http://www.oic-ci.gc.ca/eng/info-source.aspx); Ad Hoc Information Commissioner Complaint Investigations – OIC PPU 123 (http://www.oic-ci.gc.ca/eng/info-source.aspx)",,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels.",98/001,98/001,PRN 930,NDP 930,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu901,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou901
PSU 931,PSU 931,,psu931,pou931,Accounts Payable,Comptes créditeurs,"This bank describes information related to individuals who are issued payments by government institutions, including by the Receiver General for Canada. Payments may be issued in any form of payment approved by the Canadian Payment Association established under the Canadian Payments Act. Payments maybe in respect of: travel and hospitality claims, education course fees, program payments, isolation allowances, membership fees, awards, ex gratia, and other sundry payments. Personal information may include: name, contact information, financial information, nature of expenses/claim, employee identification number, other identifying numbers, signature, and Social Insurance Number (SIN).","Ce fichier décrit des renseignements personnels concernant des personnes à qui des institutions fédérales, dont le Receveur général du Canada, ont émis des paiements. Les paiements peuvent revêtir n’importe lequel des modes de paiement approuvés par l’Association canadienne des paiements en vertu de la Loi canadienne sur les paiements. Les paiements peuvent comprendre des demandes de remboursement de frais de voyage et d’accueil ou de frais de cours, des paiements de programmes, d’indemnité d’isolement, de frais d’adhésion, de bourses, de compensation à titre gracieux et d’autres paiements divers. Les renseignements personnels peuvent comprendre le nom, les coordonnées, les renseignements financiers, la nature des dépenses/des demandes de prestations, le numéro d’identification d’employé, d’autres numéros d’identification, la signature et le numéro d’assurance sociale (NAS).","Individuals seeking access to this bank should specify whether they are an employee, claimant from the general public, contractor or representative of a company, corporation or association, and provide details of the payment such as amount, type, date(s), payment number, and type of program or service and name of institution. Personal information may be found in the institution’s Financial Management Systems and/or in Public Works and Government Services Canada’s Standard Payment System. Description last updated: December 2013.","Les personnes qui désirent avoir accès à ce fichier doivent spécifier si elles sont des employés, des membres du grand public, des entrepreneurs ou des représentants d’une société, d’une corporation ou d’une association et fournir les détails du paiement, comme le montant, le type, la ou les dates, le numéro du paiement, le type du programme ou du service et le nom de l’institution. Les renseignements personnels peuvent se trouver dans les systèmes de gestion financière de l’institution ou dans le Système normalisé des paiements de Travaux publics et Services gouvernementaux Canada. Dernière mise à jour de la description : décembre 2013.",2013-12-01,"Current and former employees of government institutions; claimants from the general public, contractors, and representatives of companies, corporations, and associations.","Les employés actuels ou anciens d’institutions fédérales; les demandeurs dans le grand public, les entrepreneurs, et les représentants des sociétés, des corporations et des associations.","Personal information is used to support the payment of financial benefits and entitlements in relation to expenses, fees, claims and other non-payroll payments. For many institutions, personal information is collected pursuant to sections 33 and 34 of the Financial Administration Act (FAA). For those institutions not subject to the FAA, consult the institution’s Access to Information and Privacy Coordinator to determine the legal authority for the collection. The SIN is collected pursuant to the Income Tax Act and may be used to issue various income reporting slips.","Les renseignements personnels sont recueillis afin d’appuyer le paiement des avantages financiers et des versements se rapportant aux dépenses, aux frais, aux demandes de prestations et aux paiements autres que les salaires. Pour plusieurs institutions, les renseignements personnels sont recueillis en vertu des articles 33 et 34 de la Loi sur la gestion des finances publiques (LGFP). En ce qui concerne les institutions qui ne sont pas assujetties à la LGFP, il faut consulter le coordonnateur de l’accès à l’information et de la protection des renseignements personnels de l’institution afin de déterminer l’autorité législative pour la collecte. Le NAS est recueilli conformément à la Loi de l’impôt sur le revenu et peut être utilisé dans le but d’émettre divers feuillets de déclaration de revenu.","Information may be shared with Public Works and Government Services Canada (Receiver General for Canada) for payment purposes refer to Receiver General Payments - PWGSC PCU 712. Where applicable, information may be shared with the Bank of Canada and financial institutions of foreign countries for transactions purposes. In some cases, the SIN and other information is shared with the Canada Revenue Agency and the Province of Quebec, and is used for data matching purposes, including income verification, refer to Individual Returns and Payment Processing – CRA PPU 005 and Business Returns and Payment Processing – CRA PPU 047 . Information may be used or disclosed for financial reporting and program evaluation.  |  Links: Individual Returns and Payment Processing – CRA PPU 005 (http://www.cra-arc.gc.ca/gncy/tp/nfsrc/nfsrc-eng.html); Business Returns and Payment Processing – CRA PPU 047 (http://www.cra-arc.gc.ca/gncy/tp/nfsrc/nfsrc-eng.html)",,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs commun s par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels.",99/004,99/004,PRN 914,NDP 914,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu931,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou931
PSU 932,PSU 932,,psu932,pou932,Accounts Receivable,Comptes débiteurs,"This bank describes information related to individuals who remit monies payable to government institutions, including the Receiver General for Canada. Payments may be issued in any form of payment approved by the Canadian Payment Association established under the Canadian Payment Act. Types of remittances include reimbursement of overpayments, payments for goods or services, including institutional merchandise (e.g., publications, coins, stamps, memorabilia, etc.), royalties, loan payments, etc. Personal information may include: name, contact information, credit information, financial information, nature of remittance, employee identification number, other identification numbers, signature, and Social Insurance Number (SIN).","Ce fichier décrit l’information sur les personnes qui remettent des sommes d’argent à l’ordre d’institutions fédérales, dont le Receveur général du Canada. Les paiements peuvent revêtir la forme n’importe lequel des modes de paiement approuvés par l’Association canadienne des paiements en vertu de la Loi canadienne sur les paiements. Les types de versements comprennent le remboursement de paiements en trop, les paiements au titre de biens et services, y compris des produits institutionnels (p. ex., publications, pièces de monnaie, timbres, souvenirs, etc.), les redevances, le remboursement de prêts, etc. Les renseignements personnels peuvent comprendre le nom, les coordonnées, les renseignements de solvabilité, les renseignements financiers, la nature du versement, le numéro d’identification d’employé, d’autres numéros d’identification, la signature et le numéro d’assurance sociale (NAS).","Individuals seeking access to this bank should specify whether they are an employee, member of the general public, contractor, representative of a company, corporation, or association, and provide details of the monies remitted such as amount, type, date(s), relevant account number, and type of program or service and name of institution. Personal information may be found in the institution’s Financial Management Systems and/or in Public Works and Government Services Canada’s Standard Payment System. Description last updated: December 2013.","Les personnes qui souhaitent avoir accès à ce fichier doivent préciser si elles sont un employé, un membre du public en général, un entrepreneur, le représentant d’une entreprise, d’une société ou d’une association, et fournir des détails sur les sommes versées, comme le montant, le genre, les dates, le numéro de compte pertinent, le genre de programme ou de service et le nom de l’institution. Les renseignements personnels peuvent se trouver dans les systèmes de gestion financière de l’institution ou dans le Système normalisé des paiements de Travaux publics et Services gouvernementaux Canada. Dernière mise à jour de la description : décembre 2013.",2013-12-01,"Individuals who remit monies to the institution/Receiver General for Canada, including representatives of companies, corporations, and associations; current and former employees of government institutions.","Les personnes qui remettent des sommes à l’institution/au Receveur général du Canada, dont les représentant des sociétés, des corporations et des associations, les employés actuels ou les anciens employés des institutions fédérales.","Personal information is used to support the collection of monies owing to the institution/Receiver General for Canada in relation to goods and services, loans and investments, etc. Personal information is collected pursuant to various federal laws and regulations. For the specific legal authority for the collection, consult the institution’s Access to Information and Privacy Coordinator. The SIN is collected pursuant to the Income Tax Act and may be used to issue income reporting documentation.","Les renseignements personnels sont recueillis afin d’appuyer la collecte des sommes dues à l’institution/au Receveur général du Canada quant aux biens et services, aux prêts et aux investissements, etc. Les renseignements personnels sont recueillis conformément aux diverses lois et règlements fédéraux. Il faut consulter le coordonnateur de l’accès à l’information et de la protection des renseignements personnels de l’institution afin de déterminer l’autorité législative pour la collecte. Le NAS est recueilli conformément à la Loi de l’impôt sur le revenu et peut être utilisé pour émettre des documents de déclaration des revenus.","Information may be shared with Public Works and Government Services Canada (Receiver General for Canada) to process payments to the government institution; refer to Receiver General Payments - PWGSC PCU 712. Information may be shared with the government institution’s own financial institution. Information may be shared with financial institutions of foreign countries for transactions purposes. Information may also be shared with collection agencies for debt recovery purposes. In some cases, the SIN and other information is shared with the Canada Revenue Agency and the Province of Quebec, and is used for data matching purposes, including income verification, refer to Individual Returns and Payment Processing – CRA PPU 005 and Business Returns and Payment Processing – CRA PPU 047 . Information may be used or disclosed for financial reporting and program evaluation.  |  Links: Individual Returns and Payment Processing – CRA PPU 005 (http://www.cra-arc.gc.ca/gncy/tp/nfsrc/nfsrc-eng.html); Business Returns and Payment Processing – CRA PPU 047 (http://www.cra-arc.gc.ca/gncy/tp/nfsrc/nfsrc-eng.html)",,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels.",99/004,99/004,PRN 914,NDP 914,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu932,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou932
PSU 940,PSU 940,,psu940,pou940,Acquisition Cards,Cartes d’achat,"This bank describes information that is used in support of an institution’s acquisition card program. Acquisition cards are used for the procurement and payment of goods and services, but not for travel-related expenses or for vehicle operating and maintenance expenses. The personal information may include: the card holder’s name, contact information, language, employee identification number, card number, expiration date, credit limit, and information related to any audits or compliance processes and investigations.","Le fichier décrit l’information utilisée à l’appui d’un programme de cartes d’achats d’une institution. Les cartes d’achat sont utilisées pour acquérir et payer des biens et des services, mais ne servent pas pour les dépenses liées aux voyages ou pour les dépenses liées à l’opération et à l’entretien de véhicules. Les renseignements personnels peuvent comprendre le nom du détenteur d’une carte, les coordonnées, la langue, le numéro d’identification d’employé, le numéro de la carte, la date d’expiration, la limite de crédit, et les renseignements relatifs aux vérifications ou à la conformité aux règles, et aux enquêtes.",,,,Individuals who apply for an acquisition card and those who are issued such cards.,Personnes qui font une demande pour obtenir une carte d’achat ou pour lesquelles on émet une telle carte.,"Personal information is used to administer an acquisition card program and may be used to issue, cancel, and renew cards, and to monitor transactions to ensure compliance. For many institutions, information is collected pursuant to Part III of the Financial Administration Act. For those institutions not subject to the Act, consult the institution’s Access to Information and Privacy Coordinator to determine the legal authority for the collection.","Les renseignements personnels servent à administrer un programme de carte d’achats et peuvent être utilisés pour émettre, annuler ou renouveler des cartes ainsi que pour surveiller les transactions pour s’assurer de la conformité aux règles. Pour nombre d’institutions, les renseignements personnels sont recueillis conformément à la partie III de la Loi sur la gestion des finances publiques. En ce qui concerne les institutions qui ne sont pas assujetties par la Loi, il faut consulter le coordonnateur de l’accès à l’information et de la protection des renseignements personnels de l’institution afin de déterminer l’autorité législative pour la collecte.","Information may be shared with Public Works and Government Services Canada to monitor the operation of the acquisition card program and to take corrective action when required. Information may also be shared with the private sector card issuer, namely, financial institutions. The information may be also be used or disclosed for program evaluation, enforcement (refer to Security Incidents and Privacy Breaches - PSU 939 and Discipline - PSE 911 ), and for reporting to Senior Management.  |  Links: Security Incidents and Privacy Breaches - PSU 939 (https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu939); Discipline - PSE 911 (https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse911)",,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de dossiers administratifs courants par une institution fédérale, y compris la destruction finale de ces dossiers, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels.",98/001,98/001,PRN 914,NDP 914,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu940,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou940
PSU 911,PSU 911,,psu911,pou911,Applications for Employment,Demandes d’emploi,"This bank describes personal information related to individuals who have submitted applications for employment or provided curricula vitae (solicited or unsolicited) and related correspondence. The personal information provided by individuals on application forms, curricula vitae, and correspondence may include: name, contact information, employment status and history, educational background, marital status, date of birth, gender, official language proficiency, employment equity, physical disability considerations, citizenship, Personal Record Identifier, Client Service Number, transcripts, letters of recommendation, and other personal information.","Ce fichier décrit des renseignements personnels sur les personnes ayant présenté des demandes d’emploi ou fourni les curricula vitae (réclamés ou non) et une correspondance connexe. Les renseignements personnels fournis par une personne dans les formulaires de demande, les curricula vitae et la correspondance peuvent comprendre son nom, ses coordonnées, sa situation et ses antécédents professionnels, ses études, son état matrimonial, sa date de naissance, son sexe, sa connaissance des langues officielles, sa situation au regard de l’équité en emploi, ses handicaps physiques, sa citoyenneté, son code d’identification de dossier personnel, son Numéro de service client, ses relevés de notes, ses lettres de recommandation et d’autres renseignements personnels.",,,,"Public service employees and non-public service employees seeking employment with the institution; individuals whose names have been provided as employment references, personal references, or both; and individuals referring another individual for a position.",Ces renseignements concernent des fonctionnaires et des non-fonctionnaires qui demandent un emploi au sein de l’institution; des personnes dont le nom a été fourni comme répondant professionnel ou personnel ou les deux; des personnes qui recommandent une autre personne pour un poste.,To maintain an inventory of potential candidates that may be used for consideration in a staffing process when vacancies arise within the institution.,Tenir à jour une liste de candidats à des fins de dotation en personnel en cas de postes vacants au sein de l’institution.,"Relevant information would be transferred to an employee personnel record (refer to Standard Personal Information Bank Employee Personnel Record - PSE 901 ) if the individual accepts an offer of employment. This information may also be used for planning and evaluation purposes. The information may also be transferred to another institution, if the other institution is deemed to be more appropriate for potential employment opportunities for the individual. The data collected and maintained may be used for statistical purposes, training requirements, and other development opportunities. The personal information about individuals self-identified in employment equity groups may be used for statistical purposes by the institution and may be shared with the Public Service Commission of Canada, Treasury Board of Canada Secretariat, and the Canada Public Service Agency for the same purpose.  |  Links: Employee Personnel Record - PSE 901 (https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse901)",,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels.",98/005,98/005,PRN 920,NDP 920,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu911,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou911
PSE 903,PSE 903,,pse903,poe903,Attendance and Leave,Présences et congés,"The records containing the information described in this bank may include absence reports and leave applications, as well as physicians’ certificates associated with sick leave, all of which include the individual’s Personal Record Identifier and correspondence about attendance and leave. The annual record of attendance and leave may be attached to the Employee Personnel Record. Some attendance and leave information exists in automated form in institutional personnel databases, especially in time/attendance, leave control and absenteeism systems.","Les dossiers contenant les renseignements décrits dans ce fichier peuvent comprendre des rapports sur les absences et les demandes de congé, ainsi que les certificats médicaux produits pour des congés de maladie. Sur tous ces documents, on doit inscrire le Code d’identification de dossier personnel et on doit également joindre la correspondance connexe aux présences et congés. Le dossier annuel portant sur les congés et les présences peut être joint au dossier personnel d’un employé. Certains renseignements relatifs aux congés et aux présences sont présentés sous forme de modules automatisés enregistrés dans des bases de données sur le personnel de l’organisme ou du ministère (systèmes présence/temps, congés et absences.",,,,Employees of the institution.,Employés de l’institution.,The purpose of these records is to support administration of employee attendance and leave within government institutions.,Ces dossiers ont pour but d’étayer l’administration des congés et des présences des employés au sein des institutions fédérales.,"To record attendance  and authorize leave. To support decisions on pay and benefits, such as those  concerning leave and termination of employment, to evaluate use of leave and  rates of absenteeism and to verify policy compliance. This information may be  shared for disciplinary purposes (refer to PSE  901 Employee Personnel Record and PSE  911 Discipline ).  |  Links: PSE  901 Employee Personnel Record (https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/information-about-programs-information-holdings/standard-personal-information-banks.html#pse901); PSE  911 Discipline (https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/information-about-programs-information-holdings/standard-personal-information-banks.html#pse911)",,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels.",98/005,98/005,PRN 941,NDP 941,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse903,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#poe903
PSU 904,,,psu904,pou904,"Automated Document, Records, and Information Management Systems","Systèmes automatisés de gestion des documents, des dossiers et de l’information",,,This standard personal information bank was terminated since all personal information retained in the systems is accounted for in personal information banks or classes of personal information of the programs or activities for which it was collected. Description terminated: December 2013.,Ce fichier de renseignements personnels ordinaire a été supprimé car tous les renseignements personnels conservés dans ces systèmes se trouvent dans les fichiers de renseignements personnels ou dans les catégories de renseignements personnels des programmes ou activités au titre desquels ils ont été recueillis. Description supprimé : en décembre 2013.,2013-12-01,,,,,,,,,,,,,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu904,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou904
PSU 903,PSU 903,,psu903,pou903,Business Continuity Planning,Planification de la continuité des activités,"This bank describes information that is used in support of Business Continuity Management functions which include the development and timely execution of plans, measures and procedures to minimize interruption to the availability of critical services and assets in the event of an emergency or disruption of service. Personal information may include: name, contact information, biographical information, employee personnel information and medical information. Personal information may also include the names and contact information of individuals identified by employees as emergency contacts.","Ce fichier décrit les renseignements qui sont utilisés à l’appui des fonctions de gestion de la continuité des opérations, qui comprennent l’élaboration et l’exécution, dans les délais prévus, des plans, des mesures et des procédures afin de minimiser l’interruption des services et de la disponibilité des immobilisations en cas d’urgence ou d’interruption de service. Les renseignements personnels peuvent comprendre le nom, les coordonnées, les renseignements biographiques, les renseignements personnels de l’employé, et les renseignements médicaux. Les renseignements personnels peuvent aussi comprendre les noms et les coordonnées des personnes désignées par les employés comme personnes avec qui communiquer en cas d’urgence.",,,,"Employees of the government institution; Ministers and exempt staff and other personnel of offices of Ministers or Ministers of State; emergency contacts identified by employees; private sector emergency response officials and service providers; and other federal, provincial or municipal officials who may need to be contacted in the event of an emergency or disruption of services.",,"Personal information is used to plan and respond in a timely and effective manner to an emergency or to a disruption of service, to establish a list of employees, appropriate officials and their contact information. The list may be used to contact such individuals in the event of an emergency or the execution of the Business Continuity Plan. Some institutions may also require that supervisors maintain a list of direct reports, home telephone numbers and the emergency contacts identified by the direct reports. For most government institutions, personal information is collected pursuant to the Financial Administration Act (as required under the Policy on Government Security) and the Emergency Management Act. For those institutions not subject to these Acts, consult the institution’s Access to Information and Privacy Coordinator to determine the legal authority for the collection.","Les renseignements personnels permettent de faire face à une urgence ou à une interruption de service et d’y répondre dans des délais convenables et de manière efficace; d’établir une liste d’employés, de responsables pertinents et de leurs coordonnées. Cette liste peut servir à communiquer avec ces personnes en cas d’urgence ou d’exécution du Plan de continuité des opérations. Certaines institutions peuvent aussi exiger que les superviseurs tiennent à jour une liste de subordonnés directs, de numéros de téléphone à la maison et des personnes à contacter en cas d’urgence désignées par les subordonnés directs. Pour la plupart des institutions gouvernementales, les renseignements personnels sont recueillis conformément à la Loi sur la gestion des finances publiques (conformément à la Politique sur la sécurité du gouvernement) et la Loi sur la gestion des urgences. En ce qui concerne les institutions qui ne sont pas assujetties à ces lois il faut consulter le coordonnateur de l’accès à l’information et de la protection des renseignements personnels de l’institution afin de déterminer l’autorité législative pour la collecte.","Information may be shared with other federal, provincial, and municipal institutions, police, fire and other emergency response agencies as required. Some information may be shared with/described in the Standard Personal Information Banks Employee Personnel Record - PSE 901 and Occupational Health and Safety - PSE 907 . Information may also be used or disclosed for program evaluation and reporting purposes.  |  Links: Employee Personnel Record - PSE 901 (https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse901); Occupational Health and Safety - PSE 907 (https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#pse907)",,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels.",98/001,98/001,PRN 928,NDP 928,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu903,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou903
PSU 933,PSU 933,,psu933,pou933,Canadian Human Rights Act - Complaints,Plaintes déposées en vertu de la Loi canadienne sur les droits de la personne,"This bank describes information related to complaints filed pursuant to part III of the Canadian Human Rights Act. Complaints under part III of the Canadian Human Rights Act may be filed against any federally regulated organization and concern allegations of discriminatory practices based on any of the prohibited grounds. Personal information may include: name, contact information, biographical information, criminal checks/history, educational information, employee identification number, employee equity information, employee personnel information, nature of complaint, opinions and views of, or about, individuals, other identification numbers, medical information, physical attributes, and signature.","Ce fichier décrit les renseignements liés aux plaintes déposées en vertu de la partie III de la Loi canadienne sur les droits de la personne. Les plaintes, conformément à la partie III de la Loi canadienne sur les droits de la personne, peuvent être déposées contre une organisation réglementée par le gouvernement fédéral et se rapporter à des allégations de pratiques discriminatoires fondées sur tout motif illicite. Les renseignements personnels peuvent comprendre le nom, les coordonnées, les renseignements biographiques, les vérifications de casier judiciaire/antécédents criminels, les renseignements sur les études, le numéro d’identification d’employé, les renseignements personnels de l’employé, des renseignements sur l’équité en emploi, la nature de la plainte, les opinions et les points de vue sur, ou concernant, des individus, d’autres numéros d’identification, les renseignements médicaux, les signes distinctifs, et la signature.",,,,"Individuals and representatives of individuals or groups who make a complaint, respondents, and witnesses.",,"Personal information is collected pursuant to Part III of the Canadian Human Rights Act and is used to record, enquire into and resolve complaints of discrimination.","Les renseignements personnels sont recueillis conformément à la partie III de la Loi canadienne sur les droits de la personne, et sont utilisés pour enregistrer les plaintes de discrimination, pour enquêter sur le sujet et pour régler ces plaintes.","Information may be shared with the Department of Justice Canada to provide evidence for the hearing of a complaint by the Canadian Human Rights Tribunal, the Federal Court of Canada, the Appeal Court and/or the Supreme Court of Canada. Information may be also be used or disclosed for program evaluation.",,"For information about the length of time that specific types of common administrative records are maintained by a government institution, including the final disposition of those records, please contact the institution’s Access to Information and Privacy Coordinator.","Pour connaître la durée de conservation de certains types de documents administratifs communs par une institution fédérale, y compris la destruction finale de ces documents, veuillez communiquer avec le coordonnateur de l’accès à l’information et de la protection des renseignements personnels.",98/005,98/005,PRN 926,NDP 926,https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-personal-information-banks.html#psu933,https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/fichiers-renseignements-personnels-ordinaires.html#pou933
