gc_orgID,gc_orgID_conflict,harmonized_name,nom_harmonise,abbreviation,abreviation,institution_name_en,institution_name_fr,infosource_url_en,infosource_status_en,infosource_url_fr,infosource_status_fr,website,site_web,open_gov_ouvert,infobaseID,rg,pop,phoenix,match_method_en,match_score_en,match_method_fr,match_score_fr,row_key,url_key_en,url_key_fr
2232,False,Department of Justice Canada,Ministère de la Justice Canada,JUS,JUS,Department of Justice Canada,Ministère de la Justice Canada,https://www.justice.gc.ca/eng/trans/atip-aiprp/infosource/toc-tdm.html,200.0,https://www.justice.gc.ca/fra/trans/aiprp-atip/infosource/tdm-toc.html,200.0,www.justice.gc.ca,www.justice.gc.ca,jus,132,13.0,JUS,JUS00,exact,,exact,,gc:2232,https://justice.gc.ca/trans/atip-aiprp/infosource/toc-tdm.html,https://justice.gc.ca/trans/aiprp-atip/infosource/tdm-toc.html
2233,False,National Defence,Défense nationale,DND,MDN,National Defence,Défense nationale,https://www.canada.ca/en/department-national-defence/corporate/transparency/access-information-privacy/info-source-sources-of-federal-government-and-employee-information.html,200.0,https://www.canada.ca/fr/ministere-defense-nationale/organisation/transparence/acces-information-protection-renseignements-personnels/info-source-sources-de-renseignements-du-gouvernement-federal-et-sur-les-fonctionnaires-federaux.html,200.0,www.forces.gc.ca,www.forces.gc.ca,dnd-mdn,133,18.0,DND,DND00,exact,,exact,,gc:2233,https://canada.ca/department-national-defence/corporate/transparency/access-information-privacy/info-source-sources-of-federal-government-and-employee-information.html,https://canada.ca/ministere-defense-nationale/organisation/transparence/acces-information-protection-renseignements-personnels/info-source-sources-de-renseignements-du-gouvernement-federal-et-sur-les-fonctionnaires-federaux.html
2234,False,Natural Resources Canada,Ressources naturelles Canada,NRCan,RNCan,Natural Resources Canada,Ressources naturelles Canada,https://natural-resources.canada.ca/transparency/access-information-and-privacy/21403,200.0,https://ressources-naturelles.canada.ca/transparence/acces-linformation-et-protection-des-renseignements-personnels/21404,200.0,www.nrcan-rncan.gc.ca,www.nrcan-rncan.gc.ca,nrcan-rncan,134,41.0,RSN,RSN00,exact,,exact,,gc:2234,https://natural-resources.canada.ca/transparency/access-information-and-privacy/21403,https://ressources-naturelles.canada.ca/transparence/acces-linformation-et-protection-des-renseignements-personnels/21404
2235,False,Public Safety Canada,Sécurité publique Canada,PS,SP,Public Safety Canada,Sécurité publique du Canada,http://www.publicsafety.gc.ca/cnt/trnsprnc/nfsrc-eng.aspx,200.0,http://www.securitepublique.gc.ca/cnt/trnsprnc/nfsrc-fra.aspx,200.0,www.publicsafety.gc.ca,www.securitepublique.gc.ca,ps-sp,135,88.0,PSP,PSP00,exact,,exact,,gc:2235,https://publicsafety.gc.ca/cnt/trnsprnc/nfsrc-eng.aspx,https://securitepublique.gc.ca/cnt/trnsprnc/nfsrc-fra.aspx
2236,False,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,PSPC,SPAC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,http://www.tpsgc-pwgsc.gc.ca/aiprp-atip/infosource-eng.html,,http://www.tpsgc-pwgsc.gc.ca/aiprp-atip/infosource-fra.html,,www.tpsgc-pwgsc.gc.ca,www.tpsgc-pwgsc.gc.ca,pwgsc-tpsgc,136,127.0,SVC,SVC00,exact,,exact,,gc:2236,https://tpsgc-pwgsc.gc.ca/aiprp-atip/infosource-eng.html,https://tpsgc-pwgsc.gc.ca/aiprp-atip/infosource-fra.html
2237,False,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ECCC,ECCC,Environment and Climate Change Canada,Environnement et Changement climatique Canada,https://www.canada.ca/en/environment-climate-change/corporate/transparency/access-information-privacy/info-source.html,200.0,https://www.canada.ca/fr/environnement-changement-climatique/organisation/transparence/acces-information-protection-renseignements-personnels/info-source.html,200.0,www.canada.ca/en/environment-climate-change.html,www.canada.ca/fr/environnement-changement-climatique.html,ec,137,7.0,DOE,DOE00,exact,,exact,,gc:2237,https://canada.ca/environment-climate-change/corporate/transparency/access-information-privacy/info-source.html,https://canada.ca/environnement-changement-climatique/organisation/transparence/acces-information-protection-renseignements-personnels/info-source.html
2238,False,Transport Canada,Transports Canada,TC,TC,Transport Canada,Transport Canada,http://www.tc.gc.ca/eng/corporate-services/atip-infosource-934.htm,200.0,http://www.tc.gc.ca/fra/services-generaux/aiprp-infosource-934.htm,200.0,www.tc.gc.ca,www.tc.gc.ca,tc,138,34.0,MOT,MOT00,exact,,fuzzy,0.9697,gc:2238,https://tc.gc.ca/corporate-services/atip-infosource-934.htm,https://tc.gc.ca/services-generaux/aiprp-infosource-934.htm
2239,False,Veterans Affairs Canada,Anciens Combattants Canada,VAC,ACC,Veterans Affairs Canada,Anciens Combattants Canada,http://www.veterans.gc.ca/eng/about-us/organization/access-to-information-privacy/info-source,200.0,http://www.veterans.gc.ca/fra/about-us/organization/access-to-information-privacy/info-source,200.0,www.veterans.gc.ca,www.veterans.gc.ca,vac-acc,139,21.0,DVA,DVA00,exact,,exact,,gc:2239,https://veterans.gc.ca/about-us/organization/access-to-information-privacy/info-source,https://veterans.gc.ca/about-us/organization/access-to-information-privacy/info-source
2242,False,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,TBS,SCT,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,https://www.canada.ca/en/treasury-board-secretariat/corporate/transparency/treasury-board-secretariat-sources-federal-government-employee-information-info-source.html,200.0,https://www.canada.ca/fr/secretariat-conseil-tresor/organisation/transparence/secretariat-conseil-tresor-sources-renseignements-gouvernement-federal-fonctionnaires-federaux-info-source.html,200.0,www.canada.ca/en/treasury-board-secretariat/index.html,www.canada.ca/fr/secretariat-conseil-tresor/index.html,tbs-sct,326,56.0,TBD,TBD00,exact,,exact,,gc:2242,https://canada.ca/treasury-board-secretariat/corporate/transparency/treasury-board-secretariat-sources-federal-government-employee-information-info-source.html,https://canada.ca/secretariat-conseil-tresor/organisation/transparence/secretariat-conseil-tresor-sources-renseignements-gouvernement-federal-fonctionnaires-federaux-info-source.html
2243,False,Indigenous Services Canada,Services aux Autochtones Canada,ISC,SAC,Indigenous Services Canada,Services aux Autochtones Canada,https://www.sac-isc.gc.ca/eng/1639748667069/1639748703555,404.0,https://www.sac-isc.gc.ca/fra/1639748667069/1639748703555,404.0,www.canada.ca/en/indigenous-services-canada.html,www.canada.ca/fr/services-autochtones-canada.html,isc-sac,348,191.0,DIS,DIS00,exact,,exact,,gc:2243,https://sac-isc.gc.ca/1639748667069/1639748703555,https://sac-isc.gc.ca/1639748667069/1639748703555
