bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
ACOA PPU 005,Personal Information Bank for Grants and Contributions,,ACOA PPU 005,,"This bank describes information collected in support of requests for grants and contributions from individuals, federal or provincial governments, organizations, corporations and municipalities and records required to confirm that the recipient has respected the requirements of the contribution agreement. The personal information may include name, contact information, language preference, biographical information, professional references, signature, financial information, date of birth, social insurance number and photograph.",,"Individuals, sole proprietors, partners in a business, government employees, and employees of an organization, a corporation or a municipality.",,,,,,Personal information is collected to assess and process requests for funding in accordance with the *Atlantic Canada Opportunities Agency Act* and the *Financial Administration Act*. The social insurance number is collected in accordance with the *Income Tax Act*.,,"The names of successful applicants and selected relevant information are included in public records and published on the Agency’s website in accordance with the Government of Canada’s proactive disclosure practices. With consent, some personal information is published in ACOA’s success stories. Information may be used for internal audit, evaluation and reporting purposes. As required, information is shared with the Canada Revenue Agency (Minister of National Revenue) for the recovery or collection of indebtedness to the Crown in accordance with subsection 155(1) of the *Financial Administration Act*.",,The information is retained for at least 8 years and then either destroyed or transferred to Library and Archives Canada.,,98/012,,"ACOA 101-1, ACOA 102-1, ACOA 103-1, ACOA 104-1, ACOA 105-1, ACOA 106-1",,,,007070,
ECBC PPU 005,Personal Information Bank for Community Centre Initiative,,ECBC PPU 005,,"This bank describes information that was used in support of requests for community centre capital assistance from organizations, First Nations, and municipalities and in records required to confirm that the recipient respected the terms and conditions of the contribution agreement. The personal information may include name, contact information, biographical information, citizenship status, educational information, financial information, views and opinions of or about individuals, and signature.",,"Applicants to ECBC’s community centre initiative and authorized representatives of applicants (e.g., accountants, lawyers or consultants); individuals, government employees, and employees of an organization, First Nations or a municipality; contractors and consultants working on behalf of applicants (e.g., engineering consultants, construction contractors).",,"The Enterprise Cape Breton Corporation worked with communities to identify and prioritize infrastructure needs, including assistance to local community centres for repairs and renovations.",,,,"The personal information is used to administer, determine eligibility to and disburse grants in respect of ECBC’s community centre initiative. Personal information is collected pursuant to section 34 of the *ECBC Act* and section 131 of the *Financial Administration Act*.",,"The information may be used or disclosed for reporting to senior management. The names of successful applicants and selected relevant project information are included in public records and published on the Corporation’s website in accordance with the Government of Canada’s proactive disclosure practices. With consent, some personal information is published in ECBC’s success stories. Information may be used for internal audit, evaluation and reporting purposes. Information is used or disclosed for mailing list purposes. Information is published on the internet/intranet.",,The information is retained for at least 8 years and then either destroyed or transferred to Library and Archives Canada.,,98/012,,"ECBC 5000, ECBC 5006, ECBC 5555",,,,20130035,
ACOA PPU 111,Personal Information Bank for Peer Reviewers,,ACOA PPU 111,,"This bank describes information collected from peer reviewers in support of scientific reviews of an applicant’s project proposals for funding under Regional Economic Growth through Innovation program, Business Development Program and Atlantic Innovation Fund. The personal information may include name, contact information, financial or contract information, language preference, biographical information, education, employment history, professional references, signature and social insurance number.",,Individuals in specific scientific and innovative fields who perform peer reviews of scientific project proposals.,,,,,,"The personal information is used to evaluate the credentials of peer reviewers required to review the Atlantic Innovation Fund proposals for project funding, to pay for their services when required and to maintain an inventory of such reviewers. The social insurance number is used for income tax purposes under the authority of the *Income Tax Act.",,A list of peer reviewers is maintained for call-back purposes. Information may be shared with the Canada Revenue Agency (CRA); refer to CRA PPU 150 ‑ Information Returns (Infodec) Databank. Information may also be used for evaluation and reporting to senior management.,,The information is retained for at least 8 years and then either destroyed or transferred to Library and Archives Canada.,,98/012,,ACOA 101-1,,,,20090345,
ECBC PPU 001,Personal Information Bank for Regional Service Delivery Grants and Contributions,,ECBC PPU 001,,"This bank describes information that is used in support of requests for grants and contributions from individuals, businesses, federal or provincial governments, organizations, corporations and municipalities, and in records required to confirm that the recipient has respected the terms and conditions of the contribution agreement. The personal information may include name, contact information, biographical information, citizenship status, credit information, date of birth, educational information, financial information, signature and social insurance number.",,"Applicants to the programs of the Atlantic Canada Opportunities Agency (ACOA) delivered by Enterprise Cape Breton Corporation (ECBC) and authorized representatives of applicants (e.g., accountants, lawyers or consultants); individuals, sole proprietors, partners in a business, government employees, and employees of an organization, a corporation or a municipality; contractors and consultants working on behalf of applicants (e.g., engineering consultants, business consultants, construction contractors).",,,,,,"The personal information is used to administer, determine eligibility to and disburse funds in respect of the grants and contributions programs of ACOA for which ECBC acts as a delivery agent on Cape Breton Island. Personal information is collected pursuant to section 34 of the *Enterprise Cape Breton Corporation Act* and section 131 of the *Financial Administration Act*. The social insurance number is collected pursuant to the *Income Tax Act* and is used to collect unpaid loans to the Crown. Specific legislative authorities of the grants and contributions programs of ACOA are identified in the personal information bank descriptions listed in ACOA’s Info Source chapter.",,"The information may be used or disclosed for reporting to senior management. The names of successful applicants and selected relevant project information are included in public records and published on the Corporation’s website in accordance with the Government of Canada’s proactive disclosure practices. Information may be used for internal audit, evaluation and reporting purposes. Name, contact information, financial information, credit information, social insurance number and date of birth may be shared with ACOA: Grants and Contributions – ACOA PPU 005. The social insurance number may be shared with the Canada Revenue Agency (CRA): Debts Written Off as Uncollectible, CRA PPU 060. Information is used or disclosed for mailing list purposes.",,The information is retained for at least 8 years and then either destroyed or transferred to Library and Archives Canada.,,98/012,,"ECBC 2056, ECBC 2061, ECBC 2071, ECBC 5000, ECBC 6005, ECBC 6018",,,,20130031,
ECBC PPU 002,Personal Information Bank for Support to Business,,ECBC PPU 002,,"This bank describes information that is used in support of requests for support to business assistance from individuals, businesses, organizations, corporations and municipalities, and in records required to confirm that the recipient has respected the terms and conditions of the business assistance agreement. The personal information may include name, contact information, biographical information, citizenship status, credit information, educational information, financial information, views and opinions of or about individuals, and signature.",,"Applicants to ECBC’s commercial development program and authorized representatives of applicants (e.g., accountants, lawyers or consultants); individuals, sole proprietors, partners in a business, government employees, and employees of an organization, a corporation or a municipality; contractors and consultants working on behalf of applicants (e.g., engineering consultants, business consultants, construction contractors).",,"Enterprise Cape Breton Corporation (ECBC) provides both direct and indirect support to business. Direct support includes assistance for business establishment, expansion and modernization, trade development, investment attraction, training and skills development, planning, business counselling and marketing. Indirect support includes assistance to non-commercial or non-profit organizations and industry organizations that provide services in support of trade, investment, entrepreneurship development, small and medium-sized business development and local economic development initiatives.",,,,"The personal information is used to administer, determine eligibility to and disburse funds in respect of the commercial development program of ECBC, which includes loans, grants, equity investments, loan guarantees, property acquisition and disposition, and mortgages. Personal information is collected pursuant to section 34 of the *ECBC Act* and section 131 of the *Financial Administration Act*.",,"The information may be used or disclosed for reporting to senior management. The names of successful applicants and selected relevant project information are included in public records and published on the Corporation’s website in accordance with the Government of Canada’s proactive disclosure practices. With consent, some personal information is published in ECBC’s success stories. Information may be used for internal audit, evaluation and reporting purposes. Name, contact information, financial information and credit information may be shared with the Canada Revenue Agency: Debts Written Off as Uncollectible, CRA PPU 060. Information is used or disclosed for mailing list purposes. Information is published on the internet/intranet.",,The information is retained for at least 8 years and then either destroyed or transferred to Library and Archives Canada.,,98/012,,"ECBC 5000, ECBC 5006, ECBC 5555",,,,20130032,
ECBC PPU 003,Personal Information Bank for Support to Festivals and Events,,ECBC PPU 003,,"This bank describes information that is used in support of requests for festivals and events assistance from organizations, and municipalities and in records required to confirm that the recipient has respected the terms and conditions of the festivals and events funding agreement. The personal information may include name, contact information, biographical information, educational information, financial information, views and opinions of or about individuals, and signature.",,"Applicants to ECBC’s festivals and events initiative and authorized representatives of applicants (e.g., accountants, lawyers or consultants); individuals, government employees, and employees of an organization or a municipality; contractors and consultants working on behalf of applicants (e.g., business consultants, event planners).",,"ECBC’s festivals and events initiative assisted incorporated, non-profit organizations to organize and host festivals and events that generated new visits or better served visitors to the island, increased lengths of stay and spending, and improved the overall quality of the visitor experience.",,,,"The personal information is used to administer, determine eligibility to and disburse grants in respect of the of ECBC’s festivals and events initiative. Personal information is collected pursuant to section 34 of the *ECBC Act* and section 131 of the *Financial Administration Act*.",,"The information may be used or disclosed for reporting to senior management. The names of successful applicants and selected relevant project information are included in public records and published on the Corporation’s website in accordance with the Government of Canada’s proactive disclosure practices. With consent, some personal information is published in ECBC’s success stories. Information may be used for internal audit, evaluation and reporting purposes. Information is used or disclosed for mailing list purposes. Information is published on the internet/intranet.",,The information is retained for at least 8 years and then either destroyed or transferred to Library and Archives Canada.,,98/012,,"ECBC 5000, ECBC 5006, ECBC 5555",,,,20130033,
ECBC PPU 004,Personal Information Bank for Support to Communities,,ECBC PPU 004,,"This bank describes information that was used in support of requests for support to communities assistance from individuals, businesses, organizations, First Nations, corporations and municipalities and in records required to confirm that the recipient respected the terms and conditions of the support to communities assistance agreement. The personal information may include name, contact information, biographical information, citizenship status, educational information, financial information, views and opinions of or about individuals, and signature.",,"Applicants to ECBC’s community development program and authorized representatives of applicants (e.g., accountants, lawyers or consultants); individuals, sole proprietors, partners in a business, government employees, and employees of an organization, First Nations, a corporation or a municipality; contractors and consultants working on behalf of applicants (e.g., engineering consultants, business consultants, construction contractors).",,"The Enterprise Cape Breton Corporation worked to engage and empower communities to take control of their destiny by pursuing opportunities leading to sustainable economic development. ECBC’s support to communities encouraged and supported the attraction of leveraged investment, the creation of sustainable wealth, the development of a competitive advantage and the enhancement of quality of life.",,,,"The personal information is used to administer, determine eligibility to and disburse funds in respect of the community economic development program of ECBC, which includes loans, grants, equity investments, loan guarantees, property acquisition and disposition and mortgages. Personal information is collected pursuant to section 34 of the *ECBC Act* and section 131 of the *Financial Administration Act*.",,"The information may be used or disclosed for reporting to senior management. The names of successful applicants and selected relevant project information are included in public records and published on the Corporation’s website in accordance with the Government of Canada’s proactive disclosure practices. With consent, some personal information is published in ECBC’s success stories. Information may be used for internal audit, evaluation and reporting purposes. Information is used or disclosed for mailing list purposes. Information is published on the internet/intranet.",,The information is retained for at least 8 years and then either destroyed or transferred to Library and Archives Canada.,,98/012,,"ECBC 5000, ECBC 5006, ECBC 5555",,,,20130034,
