record_number,name_en,name_fr,document_types_en,document_types_fr
NRC GHI 1001,"Genomics and Health Initiative (remodeled, closed or transferred)","Initiative en génomique et en santé (remanié, aboli ou transféré)","Governance framework, annual reports, project fact sheets, business plans, project proposals, proposal evaluation documentation, project charters, performance reports, and minutes of meetings.","Cadres de gouvernance, rapports annuels, fiches de projets, plans d'affaires, propositions de projets, documentation d'évaluation, propositions, chartes de projet, rapports sur le rendement et procès-verbaux de réunions."
NRC BRI 2000,"Environmental Biotechnology (remodeled, closed or transferred)","Environnement en biotechnologie (remanié, aboli ou transféré)","Correspondence, laboratory notes, research files of published and unpublished data, reprints, briefing notes, technical reports, research contracts, patents, collaboration agreements, service contracts.","Correspondance, notes de laboratoire, sommaires de données publiées ou non, rapports techniques, contrats, ententes de collaboration avec divers partenaires, documentation sur des brevets et contrats de service."
NRC BRI 8888,"Health Biotechnology (remodeled, closed or transferred)",Santé en biotechnologie,"Correspondence, research files of published and unpublished data, technical reports, research contracts, patents, collaboration agreements.","Correspondance, notes de laboratoire, sommaires de données publiées ou non, rapports techniques, contrats, ententes de collaboration et documentation sur des brevets."
NRC IMB 6000,"Atlantic Initiative Cluster (remodeled, closed or transferred)","L'initiative de développement de grappes technologiques de l'Atlantique (remanié, aboli ou transféré)","Correspondence, public relations materials, agenda, meeting notes, proposals, presentations, studies, evaluation reports, funding guidelines, documents relating to the cooperation with association.","Correspondance, matériel d'information sur les relations publiques, ordres du jour, notes de réunion, propositions, présentations, études, rapports d'évaluation, directives de financement et documents de coopération avec les associations."
NRC IMB 4000,"Bioanalytical Chemistry (remodeled, closed or transferred)","Chimie bio-analytique (remanié, aboli ou transféré)","Correspondence, research files of published and unpublished data, technical reports, research contracts, patents, collaboration agreements.","Correspondance, notes de laboratoire, sommaires de données publiées ou non, rapports techniques, contrats, ententes de collaboration et documentation sur des brevets"
NRC IMB 3000,"Functional Genomics (remodeled, closed or transferred)","Génomique fonctionnelle (remanié, aboli ou transféré)","Correspondence, research files of published and unpublished data, technical reports, research contracts, patents, collaboration agreements.","Correspondance, sommaires de données publiées ou non, rapports techniques, contrats, ententes de collaboration et documentation sur des brevets."
NRC IMB 4001,"Marine Bioactives (remodeled, closed or transferred)","Bioactifs marines (remanié, aboli ou transféré)","Correspondence, meeting notes, research collaboration agreements.","Correspondance, notes de réunion et accords de collaborations de recherche."
NRC INH 7005,"Nutriscience and Health (remodeled, closed or transferred)","Sciences nutritionnelles et santé (remanié, aboli ou transféré)",Correspondence and material transfer agreements.,Correspondance et ententes de transfert de matériel.
NRC IBD 2086,"Cancer (remodeled, closed or transferred)","Cancer (remanié, aboli ou transféré)","Correspondence, Committee meeting agendas and minutes of meetings, application protocol, assessments, evaluations and research collaboration.","Correspondance, ordres du jour et comptes rendus de réunions, protocoles d'applications, évaluations et documentation de collaboration."
NRC IBD 2090,"Cardiovascular Disease (remodeled, closed or transferred)","Maladies cardiovasculaires (remanié, aboli ou transféré)","Correspondence, research files of published and unpublished data, reprints, briefing notes, technical reports, research contracts, patents, collaboration agreements.","Correspondance, notes de laboratoire, sommaires de données publiées ou non, rapports techniques, contrats, ententes de collaboration et documentation sur des brevets."
