bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
APSI MAR 400,,,,APSI MAR 400,,"Les dossiers renferment de l’information sur l’externalisation des services de nautisme et de marina à une organisation sans but lucratif. Types de document : Contrats de location et de bail, polices d’assurance, rapports, rapports financiers, reçus, politiques, procédures, correspondance. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI VOY 615,,,,APSI VOY 615,,"Les dossiers comprennent de l’information sur l’arrivée et le débarquement des passagers de paquebots de croisière et d’autres visiteurs de Sept-Îles qui alimentent le tourisme dans la région. Le port participe activement à la promotion de la culture locale et des attraits de la région auprès des touristes. Types de document : Renseignements sur les douanes canadiennes et l’immigration, les services portuaires (toilettes, nourriture, visites guidées, etc.), rapports, statistiques, politiques et procédures. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI REL 112,,,,APSI REL 112,,"Les registres contiennent de l’information sur la participation et l’engagement de l’Administration relativement à la qualité de vie régionale et communautaire et aux objectifs de croissance économique. L’engagement communautaire de l’Administration est triple : elle prête main-forte aux acteurs communautaires en appliquant une politique de dons et de contributions, elle siège à plusieurs comités participant activement à l’économie de la collectivité et elle donne accès à ses installations à toute personne désirant mieux comprendre ses activités. Types de document : Correspondance avec les organisations communautaires et régionales, protocoles d’entente, renseignements sur les pratiques et les activités, recherche, dons effectués, reçus, rapports, budgets, plans, statistiques, politiques, procédures, procès-verbaux et ordres du jour. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI REL 155,,,,APSI REL 155,,"Les dossiers renferment de l’information sur les études de marché, les nouveaux projets et occasions visant à maintenir et à établir de nouveaux partenariats avec des intervenants fédéraux, provinciaux et internationaux qui offrent un soutien efficace à l’atteinte des objectifs sociaux et économiques locaux, régionaux et nationaux. Types de document : Études de marché et de commercialisation, protocoles d’entente, correspondance avec les partenaires provinciaux et internationaux, renseignements sur les pratiques et les activités, rapports, budgets, plans, statistiques, politiques et procédures. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI PES 500,,Préservation et restauration proactives,,APSI PES 500,,"Les dossiers contiennent de l’information sur la participation de l’Administration à des projets environnementaux (projet d’enrichissement de l’écosystème, programme d’économie d’énergie, programme de certification Green Award et projet de compensation) et l’élaboration d’un nouveau système de gestion environnementale (politique). Types de document : Rapports environnementaux, recherches, études, normes, certifications, rapports financiers, budgets, plans, politiques, procédures, correspondance, procès-verbaux de réunions de comités, ordres du jour. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI GUC 640,,,,APSI GUC 640,,"Les dossiers renferment de l’information sur les procédures de communication, la gestion des urgences et les mesures opérationnelles à mettre en œuvre par l’Administration en cas d’urgence ou de catastrophe. Types de document : Procédures, correspondance, instructions, résumés, recherches, rapports, plans, documents de synthèse, procès-verbaux, ordres du jour, rapports financiers, budgets, politiques. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI PEN 615,,Protection du port,,APSI PEN 615,,"Les dossiers comprennent de l’information sur le Programme de protection des eaux navigables, coordonné par Transports Canada afin de maintenir l’équilibre entre le droit public et la nécessité de naviguer d’une part et le besoin de construire des structures comme des ponts, des barrages ou des quais dans les eaux navigables d’autre part. Types de document : Plans, dessins, énoncés de droit de propriété, approbations, licences, demandes, publicités de projets, notes documentaires, instructions, budgets, rapports financiers et correspondance. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI ACR 635,,,,APSI ACR 635,,"Les dossiers contiennent de l’information sur l’émission des laissez-passer pour le personnel et les véhicules qui font affaire avec l’Administration, comme les employés, les entrepreneurs, les membres du conseil d’administration, les utilisateurs, les ouvriers en bâtiment, etc. L’objectif consiste à assurer la sécurité et la sûreté des personnes, de la marchandise et des infrastructures tout en facilitant une circulation commerciale productive à l’intérieur, à l’entrée et à la sortie des installations de l’Administration. Types de document : Insignes, formulaires d’inscription, invalidation d’insigne, information sur les individus et les sociétés, politiques, procédures, limitations d’accès (p. ex. accès à toutes ou à certaines parties du port), correspondance, numéros d’immatriculation. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI PPU 635,,,,APSI PPU 635,,"Le fichier décrit l’information qui est liée à l’émission de cartes d’accès de zone réglementée ou de clés, par l’administration du Port pour les individus qui ont besoin d’accès aux zones réglementées spécifiques du port dans l’exercice de leurs fonctions ou pour faire des affaires avec le port sur une base occasionnelle. Les renseignements personnels peuvent comprendre le nom complet, le titre ou la position, les coordonnées, les informations relatives à l’emploi, les attributs physiques (sexe, taille, couleur des cheveux et des yeux), le numéro de carte d’accès ou de clé et une pièce d’identité valide avec photo, émis par le gouvernement ou bien l’habilitation de sécurité en matière de transport.",,"Grand public, les employés à temps plein et partiel, entrepreneurs / consultants, travailleurs de la construction, les membres du conseil d’administration, toute personne ayant affaire avec le Port.",,,,,,"Les renseignements personnels sont recueillis en vertu de l’article 384 du Règlement sur la sûreté du transport maritime et sont utilisés pour l’émission, la suspension, la révocation, l’expiration, la perte et/ou le vol de cartes d’accès de zones réglementées et des clés aux membres autorisés du personnel du Port.",,L’information peut être partagé avec les inspecteurs de Transports Canada conformément au Règlement sur la sûreté du transport maritime. Veuillez-vous référer au TC PPU 093 intitulé : Programme d’habilitation de sécurité en matière de transport.,,"L’information est conservé pour une période de deux ans suite à l’expiration, suspension ou révocation de la carte d’accès réglementées ou la clé, et par la suite l’information est détruit.",,2002/001,,APSI ACR 635,,,,20150069
APSI IMD 500,,,,APSI IMD 500,,"Les dossiers comprennent de l’information sur le régime d’inspection officiel en vigueur pour garantir le respect de la Loi sur le transport des marchandises dangereuses, de la Loi de la Convention sur la sécurité des conteneurs ainsi que des règlements et codes connexes. Types de document : Législation, règlements, codes, normes, formulaires, demandes, rapports, statistiques, politiques, procédures, numéros d’immatriculation, déclaration de propriété de navire, déclaration de marchandises dangereuses et enregistrements de conteneurs de marchandises dangereuses. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
APSI ORS 600,,,,APSI ORS 600,,"Les registres renferment de l’information sur les opérations de recherche et de sauvetage conjointement avec la Garde côtière canadienne et les services de police de la province afin de régler les problèmes de sécurité et aux urgences maritimes. Types de document : Procédures, techniques, manuels, politiques, déclarations d’incident, renseignements de sécurité, numéros à composer en cas d’urgence, rapports de situation, plans opérationnels, procédures de traitement des demandes d’information des médias. Résumés de divulgation : Aucune divulgation à des tiers n’a eu lieu.",,,,,,,,,,,,,,,,,,,,
