institution_id,gc_orgID,institution_name_en,institution_name_fr,collectable,collection_completed,pibs_en_status,pibs_fr_status,classes_of_records_en_status,classes_of_records_fr_status,source_error_count,pibs_english,pibs_french,pibs_merged,classes_of_records_english,classes_of_records_french,classes_of_records_merged
ati-schedule-i-canada-revenue-agency,2303,Canada Revenue Agency,Agence du revenu du Canada,true,true,collected,collected,collected,collected,0,0,3,3,53,53,54
ati-schedule-i-canada-school-of-public-service,2304,Canada School of Public Service,École de la fonction publique du Canada,true,true,collected,collected,collected,collected,0,0,0,0,0,0,0
ati-schedule-i-canada-water-agency,3703,Canada Water Agency,Agence canadienne de l’eau,false,false,not_applicable,not_applicable,not_applicable,not_applicable,0,,,0,,,0
ati-schedule-i-canadian-accessibility-standards-development-organization,2319,Canadian Accessibility Standards Development Organization,Organisation canadienne d’élaboration de normes d’accessibilité,true,true,collected,collected,collected,collected,0,0,0,0,0,0,0
ati-schedule-i-canadian-centre-for-occupational-health-and-safety,2305,Canadian Centre for Occupational Health and Safety,Centre canadien d’hygiène et de sécurité au travail,true,true,collected,collected,collected,collected,0,1,1,1,12,11,12
ati-schedule-i-canadian-energy-regulator,2312,Canadian Energy Regulator,Régie canadienne de l’énergie,true,true,collected,collected,collected,collected,0,3,1,3,0,0,0
ati-schedule-i-canadian-food-inspection-agency,2306,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,true,true,collected,collected,collected,collected,0,5,5,5,61,61,61
ati-schedule-i-canadian-forces,,Canadian Forces,Forces canadiennes,true,true,collected,collected,collected,collected,0,93,86,94,145,144,147
ati-schedule-i-canadian-grain-commission,2246,Canadian Grain Commission,Commission canadienne des grains,true,true,collected,collected,collected,collected,0,2,2,2,6,6,6
ati-schedule-i-canadian-high-arctic-research-station,2318,Canadian High Arctic Research Station,Station canadienne de recherche dans l’Extrême-Arctique,true,true,collected,collected,collected,collected,0,0,0,0,0,0,0
ati-schedule-i-canadian-human-rights-commission,2247,Canadian Human Rights Commission,Commission canadienne des droits de la personne,true,true,error,error,error,error,4,0,0,0,0,0,0
ati-schedule-i-canadian-institutes-of-health-research,2307,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,true,true,error,error,error,error,4,0,0,0,0,0,0
ati-schedule-i-canadian-museum-for-human-rights,3620,Canadian Museum for Human Rights,Musée canadien des droits de la personne,true,true,collected,collected,collected,collected,0,0,0,0,0,0,0
ati-schedule-i-canadian-museum-of-immigration-at-pier-21,3622,Canadian Museum of Immigration at Pier 21,Musée canadien de l’immigration du Quai 21,true,true,collected,collected,collected,collected,0,0,0,0,9,9,9
ati-schedule-i-canadian-northern-economic-development-agency,2249,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,true,true,collected,collected,collected,collected,0,0,0,0,0,0,0
ati-schedule-i-canadian-nuclear-safety-commission,2308,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,true,true,error,error,error,error,4,0,0,0,0,0,0
ati-schedule-i-canadian-radio-television-and-telecommunications-commission,2396,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,true,true,collected,collected,collected,collected,0,12,11,12,16,16,16
ati-schedule-i-canadian-security-intelligence-service,2250,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,true,true,collected,collected,collected,collected,0,15,15,15,5,5,5
ati-schedule-i-canadian-space-agency,2251,Canadian Space Agency,Agence spatiale canadienne,true,true,collected,collected,collected,collected,0,8,0,8,25,33,33
ati-schedule-i-canadian-transportation-accident-investigation-and-safety-board,2309,Canadian Transportation Accident Investigation and Safety Board,Bureau canadien d’enquête sur les accidents de transport et de la sécurité des transports,true,true,collected,collected,collected,collected,0,0,0,0,0,0,0
