record_number,name_en,name_fr,document_types_en,document_types_fr
FIN CIS 170,Canada Savings Bonds,Obligations d'épargne du Canada,"Advertising market research, agreements, briefing notes, correspondence, emails, presentations, reports","Accords, correspondance, courriels, , notes de breffage, présentations, procès-verbaux de réunions, rapports et recherches de marché."
FIN FSP 008,Debt Management,Gestion de la Dette,"Briefing notes, correspondence, emails, minutes of meetings, presentations, reports.","Comptes rendus de réunions, correspondance, courriels, notes d'information, présentations, rapports."
FIN ADM 795,Public Debt,Dette publique,"Briefing notes, correspondence, emails, presentations, reports.","Correspondance, courriels, note de breffage, présentations, procès verbaux de réunions et rapports."
FIN DMD 165,Bonds and Securities,Obligations et dépôts de valeurs,"Briefing notes, correspondence, emails, , memorandums, presentations, reports.","Communiqués, correspondance, courriels, notes de breffage, notes de services, présentations, procès verbaux de réunions et rapports."
FIN CIS 001,Canada Investment and Savings,Placements Épargne Canada,"Advertising, annual reports, agreements, briefing notes, business plans, correspondence, emails, market research presentations, reports,","Accords, communiqués, correspondance, courriels, études de marché, notes de breffage, plans d'affaire, présentations, procès verbaux de réunions et rapports."
FIN FPR 175,Financing Abroad,Financement à l'étranger,"Correspondence, house cards, emails, Memoranda, research papers, reports.","Correspondance, fiche parlementaire notes de services, rapports de recherche et rapport financier."
FIN FAD 185,"Official International Reserves, Exchange Rates and Risk Management","Réserves internationales officielles, taux de change et la gestion des risques","Agreements, briefing notes, correspondence, emails, house cards, memorandums, minutes of meetings, presentations, reports.","Accords, communiqués de presse, correspondance, courriels, fiches parlementaires, notes de breffage, note de service, présentations, procès-verbaux de réunions et rapports."
FIN CMD 140,Capital Markets,Marchés financiers,"Correspondence, emails, financial reports, funding agreements, house cards, Memoranda, research papers.","Accords de financement, correspondance, courriels, fiche parlementaire, notes de services, politiques, rapports de recherche, rapports financiers."
FIN FSP 011,Government Financing,Financement du secteur public,"Agreements, contracts, correspondence, emails, guidelines, Memoranda, reports, research papers.","Accords de financement, contrats, correspondance, courriels, directives, fiches parlementaires, notes de services, rapports de recherche, rapports financiers."
FIN EFP 001,,Analyse économique et planification,,"Correspondance, courriels, documents d'information d'études mises à jour économiques et financières; notes de breffage, présentations et tableaux sur les indicateurs économiques."
FIN FPD 060,,Politique fiscale intergouvernementale,,"Mises à jour économiques et financières, énoncés économiques, note de service, résumés des budgets provinciaux et territoriaux, documents de recherche, fiche parlementaire, présentations, et correspondance."
FIN EDD 423,,Direction des investissements d’État et de la gestion des actifs,,"Analyses, correspondance, courriels, notes de breffage, plans d'entreprise, propositions et travaux de recherche."
FIN EDD 432,,Planification des politiques et coordination,,"Analyses, correspondance, courriels et notes de breffage."
FIN EDD 385,,Gestion des situations d'urgences,,"Analyses, correspondance, courriels, études, mémoires, propositions, et rapports."
FIN FSP 010,,Enjeu Structurel,,"comptes rendus de réunions, contrats, correspondance, courriels, critères d'évaluation, énoncés de travaux, fiches parlementaires, notes, notes, ordres du jour, plans de projet, politiques, procédures, , rapports statistiques, réformes législatives et réglementaires et sondages."
FIN FSP 013,,Questions intergouvernementales,,"Accords, comptes rendus de réunions, courriels, fiches parlementaires, lettres, notes de service, notes d’information, présentations et rapports."
FIN FSP 150,,Questions concernant la politique de réglementation,,"comptes rendus de réunions, contrats, correspondance, courriels, critères d'évaluation, énoncés de travaux, fiches parlementaires, notes, ordres du jour, plans de projet, politiques, procédures, propositions, rapports statistiques, réformes législatives et réglementaires et sondages."
