record_number,name_en,name_fr,document_types_en,document_types_fr
APFC 600,"Forum for Discussion - Organization of Roundtables, Workshops and Panel Discussions on Contemporary Canada-Asia Topics","Fonctions, programmes et activités","Reservations for venues, contracts, lists of invited guests, meeting agendas, summaries of discussions, research and reference material and statistical information, travel arrangements. Background/introductory information about guest speakers and key introductory speeches and notes. Reports, plans for action and resolutions resulting from the roundtables, workshops and panel discussions on contemporary Canada-Asia topics, accounts and minutes of meetings and other initiatives, including personal notes of the attendees that may be shared with the Foundation, time tables and follow-up documents.","Réservations de locaux, contrats, listes d’invités, ordres du jour, comptes rendus des échanges, documentation de recherche et de référence, données statistiques, relevés et documents de voyage. Présentation des conférenciers et renseignements de base à leur sujet, notes et discours d’introduction importants. Rapports, plans d’action et résolutions des tables rondes, ateliers et débats d’experts sur les enjeux actuels de la relation Canada-Asie; comptes rendus et procès-verbaux des réunions et autres initiatives, y compris les notes personnelles des participants mises à la disposition de la Fondation, les horaires et les documents de suivi."
APFC 700,"Research and Analysis - Promoting informed discussion on Canada-Asia relations through research reports, publications and opinion editorials.","Recherches et analyses – promotion des discussions éclairées sur les relations Canada-Asie au moyen de rapports de recherche, de publications et d’éditoriaux","Research documents and reference materials, lists of information sources, list of research staff, research partners and other contributors, contracts and statements of work, correspondence, research reports, publications, policy analysis, statistical reports and surveys written or coordinated by the Foundation’s research staff and partners and correspondence pertaining to those reports and publications, opinion editorials and correspondence related to those editorials.","Documents de recherche et de référence; listes de sources d’information; listes de chercheurs, de partenaires de recherche et d’autres collaborateurs; contrats et énoncés de travail, correspondance, rapports de recherche, publications, analyses de politiques; rapports et enquêtes statistiques rédigés ou coordonnés par le personnel ou les partenaires de la Fondation; éditoriaux et correspondance s’y rapportant."
APFC 800,Special Research Projects - Supporting Documentation,Projets de recherche spéciaux - documentation à l'appui,"Correspondence, agreements with the members of the research consortium.","Correspondance, ententes avec les membres du consortium de recherche."
APFC 900,Track Two Diplomacy - Supporting Documentation,Diplomatie informelle - **documentation à l'appui,"Correspondence, documents pertaining to the organization of conferences and meetings, contribution agreements, reservations for venues, contracts, lists of invited guests and attendees, meeting agendas, research and reference material, and travel arrangements.","Correspondance, documents se rapportant à l’organisation de conférences et de réunions; ententes de contribution; réservations de locaux, contrats, listes d’invités et de participants, ordres du jour; documents de recherche et de référence; relevés et documents de voyage."
APFC 1000,Post-Graduate Research Fellowship Program- Supporting Documentation,Bourses de recherche de niveau supérieur - ****documentation à l'appui,"Correspondence, descriptions of research projects, meeting agendas, summaries of discussions, research and reference material, travel arrangements, program outline, application files, contracts, activity reports, and payments.","Correspondance, description des projets de recherche, comptes rendus des échanges, documents de recherche et de référence, contrats, relevés et documents de voyage; versements."
APFC 1100,Affiliations,Affiliations,"Correspondence, meeting agendas, summaries of discussions, administrative and operational records pertaining to the three organizations, agreements and contracts, travel arrangements, activity reports, and payments.","Correspondance, ordres du jour, comptes rendus des échanges, documents de gestion et d’opération se rapportant à ces trois organisations, ententes et contrats, relevés et documents de voyage, rapports d’activité et versements."
APFC 1200,Sponsorship and Donations - Supporting Documentation,Subventions et dons - ******documentation à l'appui,"Correspondence, meeting agendas, summaries of discussions, accounts of financial transactions related to sponsorships and donations, and activity reports.","Correspondance, ordres du jour, comptes rendus des échanges; relevés des transactions financières liées aux subventions et aux dons; rapports d’activité."
