record_number,name_en,name_fr,document_types_en,document_types_fr
CFIA MCA 209,Multi Commodity Activities Program (MCAP),Programme d'activités multi-sectorielles (PAMS),"Establishment, assessment standard, compliance rating, inspector comments.","Établissement, normes d'évaluation, cote de conformité, commentaires de l'inspecteur."
CFIA RAM 100,"Residue, Anti-Microbial and Micro-Organisms System (RAMS)",Système des résidus des agents antimicrobiens et des micro-organismes (SRAM),"Test results, correspondence, memoranda, reports, forms.","Résultats d'essais, correspondance, notes de service, rapports, formulaires."
CFIA TIM 076,Training for inspection and monitoring,Formation en vue de l'inspection et de la surveillance,"Forms, correspondence, educational material, memoranda.","Formulaires, correspondance, matériel éducatif, notes de service."
CFIA PPB 028,Children's Food Project,Projet sur les aliments destinés aux enfants,"Reports, legislation, regulations and guidelines, labels, charts, forms, correspondence, memoranda.","Rapports, lois, règlements, lignes directrices, étiquettes, tableaux, formulaires, correspondance, notes de service."
CFIA PPB 021,Inspection and monitoring (imported and manufactured food products),Inspection et surveillance (produits alimentaires importés et manufacturés),"Correspondence, forms, training materials, manuals, guidelines, regulations and legislation.","Correspondance, formulaires, matériel de formation, guides, lignes directrices, règlements, lois."
CFIA PPB 006,Food Safety National Chemical and Microbiology Residue Monitoring Program,Salubrité des aliments - Programme national de surveillance des résidus chimiques et microbiologiques,"Reports, plans, correspondence, memoranda.","Correspondance, rapports, tableaux, matériel de formation, guides, lois, règlements, lignes directrices, notes de service."
CFIA PPB 029,Food safety risk analysis,Analyse du risque - Aliments,"Certificates, correspondence, reports, memoranda, forms.","Rapports, plans, correspondance, notes de service."
CFIA PPB 026,Forestry importation,Importations forestières,"Reports, lists, inventories, data, permits, correspondence, memoranda.","Rapports, listes, inventaires, données, permis, correspondance, notes de service."
CFIA FEV 150,"Plant fertilizer evaluation, registration and compliance","Végétaux - Évaluation, enregistrement et conformité des engrais","Forms, inventories, labels, correspondence, memoranda, certificates, tracking documents, lists.","Formulaires, inventaires, étiquettes, correspondance, notes de service, certificats, documents de suivi, listes."
CFIA HTA 010,Animal humane transport,Animaux – Transport sans cruauté,"Reports, correspondence, legislation, regulations, guidelines, training materials, briefing notes, memoranda.","Rapports, correspondance, lois, règlements, lignes directrices, matériel de formation, notes d'information, notes de service."
CFIA PPB 033,Livestock identification and traceability,Identifications et traçabilité du bétail,"Correspondence, guidelines, data, reports, memoranda.","Correspondance, lignes directrices, données, rapports, notes de service."
CFIA PPB 001,Aquatic animal surveillance and monitoring,Animaux aquatiques - Surveillance et suivi,"Correspondence, notices, memoranda, reports, manuals, policies, procedures.","Correspondance, avis, notes de service, rapports, manuels, politiques, procédures. Base de données électroniques pour les installations d'aquaculture et les établissements de transformation agréés par les gouvernements provinciaux. Des rapports de surveillance et des cartes du système d'information géographique (SIG) se trouvent à l'administration centrale."
CFIA PPB 002,Disease control,Lutte contre les maladies,"Policies, standards, procedures, plans, directives, legislation, regulations, guidelines, declarations, permits, briefing notes, reports, correspondence, memoranda.","Politiques, normes, procédures, plans, directives, lois, règlements, lignes directrices, déclarations, permis, notes d'information, rapports, correspondance, notes de service."
CFIA INS 483,Fish inspection,Inspection du poisson,"Legislation, regulations, guidelines, reports, forms, memoranda, correspondence, test results, lists, certificates, agreements.","Lois, règlements lignes directrices, rapports, formulaires, notes de service, correspondance, résultats d'essais, listes, certificats, ententes."
CFIA RLA 050,"Registration, licensing and permits","Agrément, délivrance de permis et de licences","Legislation, regulations, guidelines, forms, memoranda, reports, lists, plans and drawings, policies, correspondence, permits, licenses.","Lois, règlements lignes directrices, formulaires, notes de service, rapports, listes, plans et schémas, politiques, correspondance, permis, licences."
CFIA IRS 222,Import Retrieval System (IRS),Système d'extraction des importations (SEI),"Inventories, lists, forms, correspondence, memoranda.","Inventaires, listes, formulaires, correspondance, notes de service."
CFIA PPB 008,Plant Breeders Rights,Végétaux - Protection des obtentions végétales,"Forms, photographs, certificates, correspondence, memoranda, reports, lists, inventories, data.","Formulaires, photographies, certificats, correspondance, notes de service, rapports, listes, inventaires, données."
CFIA PPB 020,Animal veterinary biologics,Animaux - Produits biologiques vétérinaires,"Guidelines, forms, reference documents, memoranda, environmental assessments, licences, permits, correspondence, labelling, facility inspection reports, sample test results, reports, and briefings.","Lignes directrices, formulaires, documents de référence, notes, évaluations environnementales, licences, permis, correspondance, étiquettes, rapports d'inspection d'établissements, résultats d'analyse des échantillons, rapports, notes d'information."
CFIA PPB 012,Aquatic animal export testing and certification,Animaux aquatiques - Épreuve et certification des exportations,"Lists, policies, procedures, correspondence, memoranda, certificates.","Listes, politiques, procédures, correspondance, notes de service, certificats."
CFIA PPB 013,Animal - Aquatic animals / germplasm / specified products import,"Animaux - Importation d'animaux aquatiques, de germoplasme et de produits déterminés","Forms, permits, policies and procedures, correspondence, memoranda.","Formulaires, permis, politiques, procédures, correspondance, notes de service."
CFIA FRC 145,Animal National Feed Program,Animaux - Programme national des aliments du bétail,"Correspondence; labels; certificates; inspection reports, permits, test results.","Correspondance, étiquettes, certificats, rapports d'inspection, permis, résultats d'essais."
CFIA PPB 014,Feed biotechnology,Aliments du bétail - Biotechnologie,"Labels, certificates, correspondence, reports, test results.","Étiquettes, certificats, correspondance, rapports, résultats d'essais."
CFIA PPB 017,Feed evaluation and nutrition,Aliments du bétail - Évaluation et nutrition,"Correspondence, certificates, memoranda, samples, labels.","Correspondance, certificats, notes de service, échantillons, étiquettes."
CFIA ETC 020,Animal health export testing and certification,Santé des animaux - Épreuve et certification des exportations,"Lists, legislation, regulations, guidelines, policies, forms, certificates.","Listes, lois, règlements, lignes directrices, politiques, formulaires, certificats."
CFIA PPB 032,International engagement plant business line,Engagement international – Secteur d'activité de la protection des végétaux,"Standards, correspondence, memoranda.","Normes, correspondance, notes de service."
CFIA PPB 009,Export and import (egg and egg products),Exportations et importations (œufs et ovo produits),"Forms, certificates, correspondence, memoranda, statistical charts, reports, legislation, regulations, guidelines, lists.","Formulaires, certificats, correspondance, notes de service, tableaux statistiques, rapports, lois, règlements, lignes directrices, listes."
