bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
CFIA PPU 100,Setting rules – Personal information bank,Établissement de règles fichier de renseignements personnels,CFIA PPU 100,ACIA PPU 100,"The core mandate of the CFIA is to safeguard Canada's food system, along with the plant and animal resources on which Canadians depend. The CFIA also plays a central role in ensuring that Canadian food, plants and animals, and their associated products, can be traded internationally. In keeping with this mandate, CFIA develops and establishes standards and rules for food, plant, and animal safety. This work is supported through the performance of policy analysis and development, scientific research and development, and the provision of strategic program advice. **Personal information:** In the course of developing and setting rules for food, plant, and animal health, safety, import and export, CFIA may collect personal information from public and private partners and stakeholders. Personal information collected will vary by individual but is strictly limited to that which is required for to support the setting of rules through policy, research and program evaluation purposes. Personal information collected may include: * name * contact information * title or position * views or opinions * correspondence","L'ACIA a pour mandat principal de protéger le système alimentaire du Canada ainsi que les ressources végétales et animales dont les Canadiens dépendent. L'ACIA joue également un rôle central en veillant à ce que les aliments, les végétaux et les animaux canadiens et leurs produits connexes puissent faire l'objet d'un commerce international. Conformément à ce mandat, l'ACIA élabore et établit des normes et des règles en matière de salubrité des aliments et de santé des végétaux et des animaux. Ce travail est appuyé par l'analyse et l'élaboration de politiques, la recherche et le développement scientifiques et la prestation de conseils stratégiques sur les programmes. **Renseignements personnels :** Dans le cadre de l'élaboration et de l'établissement de règles sur la santé, la salubrité, l'importation et l'exportation des aliments, des végétaux et des animaux, l'ACIA peut recueillir des renseignements personnels auprès de partenaires et d'intervenants des secteurs public et privé. Les renseignements personnels recueillis varieront d'une personne à l'autre, mais se limiteront strictement à ce qui est nécessaire pour appuyer l'établissement des règles aux fins d'évaluation des politiques, des travaux de recherche et des programmes. Les renseignements personnels recueillis peuvent comprendre les suivants : * nom; * coordonnées; * titre ou poste; * points de vue ou avis; * correspondance.","Information described in this bank relates to those participating in a policy or standard setting process, or those corresponding with the CFIA on matters related to food, plant and animal health and safety or trade more generally. Individuals may include: consumers and members of the general public, government health and safety representatives, academics, industry associates or representatives, and members of non-governmental organizations.","Les renseignements décrits dans ce fichier concernent les personnes qui participent à un processus d'établissement de politiques ou de normes ou celles qui correspondent avec l'ACIA sur des questions liées à la salubrité des aliments et à la santé des végétaux et des animaux ou, plus généralement, au commerce. Ces personnes peuvent être notamment des consommateurs et des membres du public, des représentants du gouvernement en matière de santé et de sécurité, des universitaires, des associés ou des représentants de l'industrie et des membres d'organismes non gouvernementaux. **Objet** : Les renseignements décrits dans ce fichier servent à orienter les processus d'élaboration des politiques et des règlements de l'ACIA, qui comprennent notamment l'analyse et l'élaboration des politiques, la recherche et le développement scientifiques et la prestation de conseils stratégiques sur les programmes. Les renseignements personnels sont recueillis conformément aux articles 11 et 14 de la *Loi sur l'Agence canadienne d'inspection des aliments* et à l'article 20 de la *Loi sur la salubrité des aliments au Canada*.",,,,,"Information described in this bank is used to inform CFIA's policy and regulatory making processes. This includes policy analysis and development, scientific research and development, and the provision of strategic program advice. Personal information is collected pursuant to sections 11 and 14 of the *Canadian Food Inspection Agency Act* and section 20 of the *Safe Food for Canadians Act*.",,"Select personal information may be used internally by the CFIA for program management purposes, and for purposes of program research, planning and evaluation. The information may also be used for internal audit purposes. Select information may be shared with authorized parties (provinces/territories and other government departments) for purposes of administering grants and contributions. Select information may be shared with the Department of Justice Canada for litigation purposes, where relevant, pursuant to section 5 of the *Department of Justice Act* and paragraph 8(2)(d) of the *Privacy Act*. Select information may be shared with international organizations responsible for the development of international rules, standards, and guidelines for consumer protection, and to verify product safety and facilitate international plant, animal and food trade.","Certains renseignements personnels peuvent être utilisés à l'interne par l'ACIA aux fins de gestion des programmes et aux fins de recherche, de planification, d'évaluation de programmes. Les renseignements peuvent également servir aux fins de vérification interne. Certains renseignements peuvent être communiqués à des parties autorisées (provinces, territoires et autres ministères) aux fins de l'administration des subventions et des contributions. Certains renseignements peuvent être communiqués au ministère de la Justice dans le cadre de litiges, s'il y a lieu, en vertu de l'article 5 de la *Loi sur le ministère de la Justice* et de l'alinéa 8(2)*d)* de la *Loi sur la protection des renseignements personnels*. Certains renseignements peuvent être communiqués à des organisations internationales responsables de l'élaboration de règles, de normes et de lignes directrices internationales sur la protection des consommateurs, de même que pour vérifier l'innocuité des produits et faciliter le commerce international des végétaux, des animaux et des aliments.","Personal information described in this bank is retained for a minimum of two years and up to ten years following the last administrative action. After ten years, the information is destroyed or rendered anonymous. Policy and general subject files of enduring value may be transferred thereafter to Library and Archives Canada.","Les renseignements personnels décrits dans ce fichier sont conservés pendant au moins deux ans et jusqu'à dix ans après la dernière mesure administrative. Après dix ans, les renseignements sont détruits ou dépersonnalisés. Les dossiers sur les politiques et les renseignements généraux ayant une valeur permanente peuvent être transférés par la suite à Bibliothèque et Archives Canada.",98/001,98/001,…,…,,,20230012,20230012
CFIA PPU 101,Compliance promotion – Personal information bank,Promotion de la conformité fichier de renseignements personnels,CFIA PPU 101,ACIA PPU 101,"The CFIA is responsible for administering and enforcing legislation pertaining to the safety and quality of food in Canada, and for supporting a sustainable plant and animal resource base. In keeping with this mandate, CFIA provides guidance to regulated parties and Canadians in support of food, plant and animal health and safety. Compliance promotion provides a means to increase regulated parties' awareness and understanding of legislative requirements, and to improve compliance outcomes. **Personal information:** In promoting compliance with food, animal, and plant health and safety, CFIA may collect information from regulated parties. Select sets of information, as they relate to identifiable individuals (that is, an individual human-being and not a corporate entity) may be considered to be 'personal information' under section 3 of the *Privacy Act*. Personal information collected will vary by individual but is strictly limited to that which is required for program purposes. Personal information may include: * an individual's name * contact information * title or position * correspondence * views or opinions * unique identifiers, including business numbers * information about preventative control plans and regulatory systems","L'ACIA doit administrer et appliquer la réglementation en matière de salubrité et de qualité des aliments vendus au Canada, et contribuer au maintien des ressources végétales et animales. Conformément à ce mandat, l'ACIA fournit des conseils aux parties réglementées et aux Canadiens pour favoriser la salubrité des aliments et la santé des végétaux et des animaux. La promotion de la conformité représente un moyen de mieux sensibiliser les parties réglementées et de mieux les aider à comprendre les exigences prévues par la loi, ainsi que d'améliorer les résultats en matière de conformité. **Renseignements personnels :** Dans le cadre de la promotion de la conformité en matière de salubrité des aliments et de santé des animaux et des végétaux, l'ACIA peut recueillir des renseignements auprès des parties réglementées. Certains ensembles de renseignements, dans la mesure où ils concernent des personnes identifiables (c.-à-d. un être humain et non une personne morale), peuvent être considérés comme des « renseignements personnels » au sens de l'article 3 de la *Loi sur la protection des renseignements personnels*. Les renseignements personnels recueillis varieront d'une personne à l'autre, mais se limiteront strictement à ce qui est nécessaire aux fins des programmes. Les renseignements personnels recueillis peuvent comprendre les suivants : * nom d'une personne; * coordonnées; * titre ou poste; * correspondance; * points de vue ou avis; * identifiants uniques, notamment les numéros d'entreprise; * renseignements au sujet des plans de contrôle préventif ou des systèmes de réglementation.","Information described in this bank relates primarily to regulated parties, including small business owners and operators. It may also relate to individuals participating in compliance promotion modernization and reform initiatives, or those corresponding with the CFIA on matters related to food, plant and animal health and safety or trade more generally. Individuals may include: food, plant and animal custodians (producers, buyers, importers, exporters, carriers and auctioneers); responsible administrators (a person authorized to receive information in relation to food, animal and plant safety); and other food, animal, plant, and health and safety stakeholders (government health and safety representatives, academics, industry associates or representatives, members of non-governmental organizations, abattoirs, veterinarians, complainants).","Les renseignements décrits dans ce fichier concernent principalement les parties réglementées, dont les propriétaires et exploitants de petites entreprises. Ils peuvent également concerner les personnes qui participent à des initiatives de modernisation et de réforme de la promotion de la conformité ou celles qui correspondent avec l'ACIA sur des questions liées à la salubrité des aliments et à la santé des végétaux et des animaux ou, plus généralement, au commerce. Ces personnes peuvent être notamment des responsables d'aliments, de végétaux et d'animaux (producteurs, acheteurs, importateurs, exportateurs, transporteurs et encanteurs); des administrateurs responsables (personne autorisée à recevoir des renseignements sur la salubrité des aliments et la santé des animaux et des végétaux); d'autres intervenants en matière de salubrité des aliments et de santé des animaux et des végétaux (représentants du gouvernement, universitaires, associés ou représentants de l'industrie, membres d'organismes non gouvernementaux, abattoirs, vétérinaires et plaignants). **Objet :** Les renseignements décrits dans ce fichier servent à orienter les initiatives de promotion de la conformité de l'ACIA, ce qui comprend notamment l'éducation et la sensibilisation, la collaboration sur les outils et la formation, et les partenariats en matière de surveillance de la conformité. Les renseignements personnels sont recueillis conformément aux articles 11 et 14 de la *Loi sur l'Agence canadienne d'inspection des aliments* et à l'article 20 de la *Loi sur la salubrité des aliments au Canada*.",,,,,"Information described in this bank is used to inform CFIA's compliance promotion initiatives. This includes education and outreach, collaboration on tools and training, and partnerships in compliance monitoring. Personal information is collected pursuant to sections 11 and 14 of the *Canadian Food Inspection Agency Act* and section 20 of the *Safe Food for Canadians Act*.",,"Select personal information may be used internally by the CFIA for program management purposes, and for purposes of program research, planning and evaluation. The information may also be used for internal audit purposes Select information may be shared with authorized parties (provinces/territories and other government departments) for purposes of administering grants and contributions. Select information may be shared with the Department of Justice Canada for litigation purposes, where relevant, pursuant to section 5 of the *Department of Justice Act* and paragraph 8(2)(d) of the *Privacy Act*.","Certains renseignements personnels peuvent être utilisés à l'interne par l'ACIA aux fins de gestion des programmes et aux fins de recherche, de planification, d'évaluation de programmes. Les renseignements peuvent également servir aux fins de vérification interne. Certains renseignements peuvent être communiqués à des parties autorisées (provinces, territoires et autres ministères) aux fins de l'administration des subventions et des contributions. Certains renseignements peuvent être communiqués au ministère de la Justice dans le cadre de litiges, s'il y a lieu, en vertu de l'article 5 de la *Loi sur le ministère de la Justice* et de l'alinéa 8(2)*d)* de la *Loi sur la protection des renseignements personnels*.","Personal information described in this bank is retained for a minimum of two years and up to ten years following the last administrative action. After ten years, the information is destroyed or rendered anonymous. Policy and general subject files of enduring value may be transferred to Library and Archives Canada.","Les renseignements personnels décrits dans ce fichier sont conservés pendant au moins deux ans et jusqu'à dix ans après la dernière mesure administrative. Après dix ans, les renseignements sont détruits ou dépersonnalisés. Les dossiers sur les politiques et les renseignements généraux ayant une valeur permanente peuvent être transférés par la suite à Bibliothèque et Archives Canada.",98/001,98/001,…,…,,,20230013,20230013
CFIA PPU 102,Monitoring and enforcement – Personal information bank,Surveillance et application de la loi fichier de renseignements personnels,CFIA PPU 102,ACIA PPU 102,"The CFIA is responsible for administering and enforcing legislation pertaining to the safety and quality of food in Canada, and for supporting a sustainable plant and animal resource base. CFIA's monitoring and enforcement activities occur all along the supply chain and involve numerous stakeholders and jurisdictions. Monitoring and enforcement activities include the design and execution of inspection and surveillance programs, laboratory testing for food composition and labelling, and contingency planning for animal, plant and food emergencies. **Personal information:** In the course of monitoring and enforcing food, plant, and animal health and safety laws, CFIA may collect personal information from regulated parties. Personal information collected will vary by individual and by enforcement action but is strictly limited to that which is required for inspection and surveillance programs. Personal information may include: * name * contact information * title or position * views or opinions * correspondence * drivers licence or other government issued identification * unique identifiers attached to select animals, plants and food products * food, plant and animal locations * incident or event information * import and export information","L'ACIA doit administrer et appliquer la réglementation en matière de salubrité et de qualité des aliments vendus au Canada et contribuer au maintien des ressources végétales et animales. Les activités de surveillance et d'application de la loi de l'ACIA visent l'ensemble de la chaîne d'approvisionnement et mobilisent un grand nombre d'intervenants et de compétences. Les activités de surveillance et d'application de la loi comprennent la conception et l'exécution des programmes d'inspection et de surveillance, les analyses de laboratoire concernant la composition et l'étiquetage des aliments ainsi que la planification en cas de situations d'urgence touchant les animaux, les végétaux et les aliments. **Renseignements personnels :** Dans le cadre de la surveillance et de l'application des lois sur la salubrité des aliments et la santé des végétaux et des animaux, l'ACIA peut recueillir des renseignements personnels auprès des parties réglementées. Les renseignements personnels recueillis varieront d'une personne à l'autre et selon la mesure d'application de la loi, mais se limiteront strictement à ce qui est nécessaire aux fins des programmes d'inspection et de surveillance. Les renseignements personnels recueillis peuvent comprendre les suivants : * nom; * coordonnées; * titre ou poste; * points de vue ou avis; * correspondance; * permis de conduire ou autre pièce d'identité délivrée par le gouvernement; * identifiants uniques apposés sur certains produits alimentaires, animaux et végétaux; * lieux où se trouvent les aliments, les végétaux et les animaux; * renseignements sur un incident ou un événement; * renseignements relatifs à l'importation et à l'exportation.","Information described in this bank relates to regulated parties. Individuals may include: plant, animal and food custodians (e.g., producers, buyers, importers, exporters, carriers and auctioneers), and administrators (persons authorize to receive information in relation to the regulation of plants, animals and food products).","Les renseignements décrits dans ce fichier concernent les parties réglementées, qui peuvent être notamment des responsables d'aliments, de végétaux et d'animaux (producteurs, acheteurs, importateurs, exportateurs, transporteurs et encanteurs) et des administrateurs responsables (personne autorisée à recevoir des renseignements en matière de réglementation des produits alimentaires, animaux et végétaux). **Objet :** Les renseignements décrits dans ce fichier servent à concevoir et à exécuter des programmes d'inspection et de surveillance, notamment des analyses de laboratoire pour vérifier la conformité aux normes de salubrité, d'étiquetage et de composition des aliments; des essais d'assurance et de contrôle de la qualité; l'accréditation par un tiers; la préparation et la planification d'urgence. Les renseignements personnels sont recueillis conformément aux articles 11 et 14 de la *Loi sur l'Agence canadienne d'inspection des aliments* et à l'article 20 de la *Loi sur la salubrité des aliments au Canada*.",,,,,"Information described in this bank is used to design and carry out inspection and surveillance programs, including: laboratory testing for compliance with food safety, labelling and composition standards; quality assurance and control testing; third party accreditation; and emergency preparedness and planning. Personal information is collected pursuant to sections 11 and 14 of the *Canadian Food Inspection Agency Act* and section 20 of the *Safe Food for Canadians Act*.",,"Select personal information may be used internally by the CFIA for program management purposes, and for purposes of program research, planning and evaluation. The information may also be used for internal audit purposes. Select information may be shared with authorized parties (provinces/territories and other government departments) for purposes of administering grants and contributions. Select information may be shared with the Department of Justice Canada for litigation purposes, where relevant, pursuant to section 5 of the *Department of Justice Act* and paragraph 8(2)(d) of the *Privacy Act*.","Certains renseignements personnels peuvent être utilisés à l'interne par l'ACIA aux fins de gestion des programmes et aux fins de recherche, de planification, d'évaluation de programmes. Les renseignements peuvent également servir aux fins de vérification interne. Certains renseignements peuvent être communiqués à des parties autorisées (provinces, territoires et autres ministères) aux fins de l'administration des subventions et des contributions. Certains renseignements peuvent être communiqués au ministère de la Justice dans le cadre de litiges, s'il y a lieu, en vertu de l'article 5 de la *Loi sur le ministère de la Justice* et de l'alinéa 8(2)*d)* de la *Loi sur la protection des renseignements personnels*.","Personal information described in this bank is retained for a minimum of two years and up to ten years following the last administrative action. After ten years, the information is destroyed or rendered anonymous. Policy and general subject files of enduring value may be transferred to Library and Archives Canada.","Les renseignements personnels décrits dans ce fichier sont conservés pendant au moins deux ans et jusqu'à dix ans après la dernière mesure administrative. Après dix ans, les renseignements sont détruits ou dépersonnalisés. Les dossiers sur les politiques et les renseignements généraux ayant une valeur permanente peuvent être transférés par la suite à Bibliothèque et Archives Canada.",98/001,98/001,…,…,,,20230014,20230014
CFIA PPU 103,Permissions – Personal information bank,Octroi de permissions fichier de renseignements personnels,CFIA PPU 103,ACIA PPU 103,"The core mandate of the CFIA is to safeguard Canada's food system, along with the plant and animal resources on which Canadians depend. Permissions (i.e., permits, licences, and approvals) issued by the CFIA help to keep Canada's domestic food supply safe, to protect the environment from invasive animal and plant diseases and plant pests, and to ensure compliance with various regulatory requirements enabling market access and trade. **Personal information:** In the course of reviewing and processing applications for products and activities requiring permissions, CFIA may collect personal information from regulated parties. Personal information collected will vary by individual and permission type but is strictly limited to that which is required for program purposes. Personal information may include: * applicant name * contact information * language preference * importer location * business structure * establishment information (product type, intended use, processing and production information) * licensable domestic and international activities * proof of authority (including Government of Canada Business Number) * compliance declaration * on-line licensing registration activity (sessional data, browser data, IP address)","L'ACIA a pour mandat principal de protéger le système alimentaire du Canada ainsi que les ressources végétales et animales dont les Canadiens dépendent. Les permissions (c.-à-d. permis, licences et approbations) octroyées par l'ACIA contribuent à assurer la salubrité de l'approvisionnement alimentaire intérieur du Canada, à protéger l'environnement contre les maladies animales et végétales et les phytoravageurs envahissants, et à veiller au respect des diverses exigences réglementaires permettant l'accès aux marchés et le commerce. **Renseignements personnels :** Dans le cadre de l'examen et du traitement des demandes de produits et d'activités nécessitant l'octroi d'une permission, l'ACIA peut recueillir des renseignements personnels auprès des parties réglementées. Les renseignements personnels recueillis varieront d'une personne à l'autre et selon le type de permission, mais se limiteront strictement à ce qui est nécessaire aux fins des programmes. Les renseignements personnels recueillis peuvent comprendre les suivants : * nom du demandeur; * coordonnées; * préférence linguistique; * lieu où se trouve l'importateur; * structure de l'entreprise; * renseignements sur l'établissement (type de produit, usage prévu, renseignements sur la transformation et la production); * activités nationales et internationales assujetties à une licence; * preuve d'autorisation (notamment un numéro d'entreprise du gouvernement du Canada); * déclaration de conformité; * activité de demande de licence ou d'agrément en ligne (données de la session, données du navigateur, adresse IP).","Information described in this bank relates to individuals who have applied for and/or been granted a permit, licence or approval from CFIA. This includes: individuals that import food or prepare food for export (internationally for interprovincial trade), individuals applying for or having been issued export certificates and import permits for plant protection, food safety, and animal health; registered custodians of veterinary biologics and livestock feed; and registered fertilizer and select seed custodians.","Les renseignements décrits dans ce fichier concernent les personnes qui ont demandé ou obtenu un permis, une licence ou une approbation de l'ACIA. Il s'agit notamment de personnes qui importent des aliments ou préparent des aliments aux fins d'exportation (à l'échelle internationale ou pour le commerce interprovincial); de personnes qui demandent ou ont reçu des certificats d'exportation et des permis d'importation pour la protection des végétaux, la salubrité des aliments et la santé des animaux; de responsables enregistrés de produits biologiques vétérinaires et d'aliments du bétail; de responsables enregistrés de certaines semences et de fertilisants. **Objet :** Les renseignements décrits dans ce fichier sont utilisés pour la délivrance, l'administration, la validation, la surveillance et l'application des licences en vertu du *Règlement sur la salubrité des aliments au Canada*, et aussi pour les certificats d'exportation et les permis d'importation relatifs à la protection des végétaux, à la santé des animaux et à la salubrité des aliments. Cela comprend, entre autres, l'enregistrement des produits biologiques vétérinaires, des aliments du bétail, des engrais et de certaines variétés de semences, les inspections et les certifications visant à réduire au minimum le risque de rejet du produit après l'exportation et la recherche réglementaire en matière de protection des végétaux. Les renseignements personnels sont recueillis conformément aux articles 11 et 14 de la *Loi sur l'Agence canadienne d'inspection des aliments* et à l'article 20 de la *Loi sur la salubrité des aliments au Canada*.",,,,,"Information described in this bank is used for the issuance, administration, validation, monitoring, and enforcement of licences under the *Safe Food for Canadians Regulations*, and for export certificates and import permits for plant protection, animal health and food safety. This includes: the registration of veterinary biologics, livestock feed, fertilizers and select seed varieties; inspections and certifications designed to minimize the risk of post-export project rejection; and regulatory research in relation to plant protection. Personal information is collected pursuant to sections 11 and 14 of the *Canadian Food Inspection Agency Act* and section 20 of the *Safe Food for Canadians Act*.",,"Select personal information may be used internally by the CFIA for program management purposes, and for purposes of program research, planning and evaluation. The information may also be used for internal audit purposes. Licence holder information may be shared with federal, provincial and territorial counterparts with whom information sharing agreements have been signed, and with federal law enforcement authorities. Select information may also be published to facilitate international and domestic trade, and to support and promote compliance with Canadian food and safety laws. Anonymous or aggregate information may be disclosed in keeping with the Government of Canada's Directive on Open Government. Select information may be shared with authorized parties (provinces/territories and other government departments) for purposes of administering grants and contributions. Select information may be shared with the Department of Justice Canada for litigation purposes, where relevant, pursuant to section 5 of the *Department of Justice Act* and paragraph 8(2)(d) of the *Privacy Act*.","Certains renseignements personnels peuvent être utilisés à l'interne par l'ACIA aux fins de gestion des programmes et aux fins de recherche, de planification, d'évaluation de programmes. Les renseignements peuvent également servir aux fins de vérification interne. Les renseignements sur les titulaires de licences peuvent être communiqués aux homologues fédéraux, provinciaux et territoriaux avec lesquels des ententes d'échange de renseignements ont été signées, ainsi qu'aux autorités fédérales d'application de la loi. Certains renseignements peuvent également être publiés pour faciliter le commerce international et national, et pour favoriser et promouvoir le respect des lois canadiennes sur la salubrité des aliments. Des renseignements dépersonnalisés et agrégés peuvent être divulgués conformément à la Directive sur le gouvernement ouvert du gouvernement du Canada. Certains renseignements peuvent être communiqués à des parties autorisées (provinces, territoires et autres ministères) aux fins de l'administration des subventions et des contributions. Certains renseignements peuvent être communiqués au ministère de la Justice dans le cadre de litiges, s'il y a lieu, en vertu de l'article 5 de la *Loi sur le ministère de la Justice* et de l'alinéa 8(2)*d)* de la *Loi sur la protection des renseignements personnels*.","Personal information described in this bank is retained for a minimum of two years and up to ten years following the last administrative action. After ten years, the information is destroyed or rendered anonymous. Policy and general subject files of enduring value may be transferred to Library and Archives Canada.","Les renseignements personnels décrits dans ce fichier sont conservés pendant au moins deux ans et jusqu'à dix ans après la dernière mesure administrative. Après dix ans, les renseignements sont détruits ou dépersonnalisés. Les dossiers sur les politiques et les renseignements généraux ayant une valeur permanente peuvent être transférés par la suite à Bibliothèque et Archives Canada.",98/001,98/001,…,…,,,20230015,20230015
CFIA PPU 104,International access and international collaboration - Personal information bank,Accès au marché international et collaboration internationale fichier de renseignements personnels,CFIA PPU 104,ACIA PPU 104,"The CFIA plays a central role in ensuring that Canadian food, plants and animals, and their associated products are safe and can be traded internationally. To this end, it works with various national and international bodies and not-for-profit organizations to achieve common standards and to improve awareness in matters related to the protection of plant and animal health, food safety and consumer protection. The CFIA establishes equivalency arrangements with other countries and develops and enters into regulatory partnerships to align regulatory approaches relating to plant and animal health, food safety and consumer protection. **Personal information:** In promoting international access and international collaboration, CFIA may collect information from competent authorities and industry partners. Select sets of information, as they relate to identifiable individuals (that is, an individual human-being and not a corporate entity) may be considered to be 'personal information' under section 3 of the *Privacy Act*. Personal information collected will vary by program area but is strictly limited to that which is required for program purposes. Personal information may include: * an individual's name * contact information * title or position * views or opinions * official letters and other correspondence with domestic and international agencies","L'ACIA joue un rôle central en veillant à ce que les aliments, les végétaux et les animaux canadiens et leurs produits connexes soient sûrs et puissent faire l'objet d'un commerce international. À cette fin, elle collabore avec diverses organisations nationales et internationales ainsi qu'avec des organismes sans but lucratif afin d'établir des normes communes et de mieux faire connaître les enjeux liés à la protection de la santé des végétaux et des animaux, à la salubrité des aliments et à la protection des consommateurs. L'ACIA établit des accords d'équivalence avec d'autres pays et élabore et conclut des partenariats en matière de réglementation afin d'harmoniser les approches réglementaires en ce qui a trait à la santé des végétaux et des animaux, à la salubrité des aliments et à la protection des consommateurs. **Renseignements personnels :** Pour promouvoir l'accès au marché international et la collaboration internationale, l'ACIA peut recueillir des renseignements auprès des autorités compétentes et des partenaires de l'industrie. Certains ensembles de renseignements, dans la mesure où ils concernent des personnes identifiables (c.-à-d. un être humain et non une personne morale), peuvent être considérés comme des « renseignements personnels » au sens de l'article 3 de la *Loi sur la protection des renseignements personnels*. Les renseignements personnels recueillis varieront d'un secteur de programme à l'autre, mais se limiteront strictement à ce qui est nécessaire aux fins des programmes. Les renseignements personnels recueillis peuvent comprendre les suivants : * nom d'une personne; * coordonnées; * titre ou poste; * points de vue ou avis; * lettres officielles ou autre correspondance avec des organismes nationaux et internationaux.",Information described in this bank relates to competent authority or corporate contacts.,"Les renseignements décrits dans ce fichier concernent des autorités compétentes ou des personnes‑ressources d'entreprise. **Objet :** Les renseignements décrits dans ce fichier sont utilisés pour la correspondance générale, l'élaboration et l'administration de protocoles de coopération ou d'entente, d'accords d'équivalence et de partenariats en matière de réglementation, ainsi qu'aux fins des inspections, des vérifications et des activités de formation. Les renseignements personnels sont recueillis conformément aux articles 11 et 14 de la *Loi sur l'Agence canadienne d'inspection des aliments*.",,,,,"Information described in this bank is used for general correspondence, the development and administration of memorandums of cooperation and/or understanding, equivalency arrangements, regulatory partnerships, inspections, audits, and educational purposes. Personal information is collected pursuant to sections 11 and 14 of the *Canadian Food Inspection Agency Act*.",,"Select personal information may be used internally by the CFIA for program management purposes, and for purposes of program research, planning and evaluation. The information may also be used for internal audit purposes. Select information may be published to facilitate international and domestic trade, and to support and promote compliance with Canadian laws pertaining to the protection of plant and animal health, food safety and consumer protection. Select information may be shared with authorized parties (provinces/territories and other government departments) for purposes of administering grants and contributions. Select information may be shared with international organizations responsible for the development of international rules, standards, and guidelines for consumer protection, and to verify product safety and facilitate international plant, animal and food trade. Select information may be shared with the Department of Justice Canada for litigation purposes, where relevant, pursuant to section 5 of the *Department of Justice Act* and paragraph 8(2)(d) of the *Privacy Act*.","Certains renseignements personnels peuvent être utilisés à l'interne par l'ACIA aux fins de gestion des programmes et aux fins de recherche, de planification, d'évaluation de programmes. Les renseignements peuvent également servir aux fins de vérification interne. Certains renseignements peuvent également être publiés pour faciliter le commerce international et national, et pour favoriser et promouvoir le respect des lois canadiennes sur la protection de la santé des végétaux et des animaux, la salubrité des aliments et la protection des consommateurs. Certains renseignements peuvent être communiqués à des parties autorisées (provinces, territoires et autres ministères) aux fins de l'administration des subventions et des contributions. Certains renseignements peuvent être communiqués à des organisations internationales responsables de l'élaboration de règles, de normes et de lignes directrices internationales sur la protection des consommateurs, de même que pour vérifier la sécurité des produits et faciliter le commerce international des végétaux, des animaux et des aliments. Certains renseignements peuvent être communiqués au ministère de la Justice dans le cadre de litiges, s'il y a lieu, en vertu de l'article 5 de la *Loi sur le ministère de la Justice* et de l'alinéa 8(2)*d)* de la *Loi sur la protection des renseignements personnels*.","Personal information described in this bank is retained for a minimum of two years and up to ten years following the last administrative action. After ten years, the information is destroyed or rendered anonymous. Records of enduring value may be transferred to Library and Archives Canada.","Les renseignements personnels décrits dans ce fichier sont conservés pendant au moins deux ans et jusqu'à dix ans après la dernière mesure administrative. Après dix ans, les renseignements sont détruits ou dépersonnalisés. Les dossiers sur les politiques et les renseignements généraux ayant une valeur permanente peuvent être transférés par la suite à Bibliothèque et Archives Canada.",98/001,98/001,…,…,,,20230016,20230016
