record_number,name_en,name_fr,document_types_en,document_types_fr
CRA LPRAB 117,Registered Deferred Income and Savings Plans,Régimes agréés ou enregistrés de revenu différé et d'épargne,"Forms (including application for registration or amendment approval, and annual information returns), newsletters. instructional guides, information circulars, folios, bulletins (including compliance, actuarial and interpretation), consultation session minutes, program analysis and monitoring information, supplementary audit files, research and subject files on specific provisions, correspondence (letters, memoranda, emails, briefing notes, ministerial), training and learning manuals, memoranda of understanding, and statistical information.",
CRA LPRAB 700,Remissions,Remises,"Correspondence, remission request and report, copies of court cases, and administrative and operational manuals relating to remission, and requester files. Remission files are filed numerically and alphabetically and include the remission request and all background information related to the request, for example, audit files, objection files, revenue collections details and other CRA system information.",
CRA CPB 155,Scientific Research and Experimental Development,Recherche scientifique et développement expérimental,"Screening and file selection procedures, file review procedures; including directives, manuals, and policies; guides and brochures; application and interpretation of applicable legislation; forms; technical training material; budgets; technical training courses; seminars and conferences; systems requirements; risk assessment and workload management; statistical reports; organizational chart; planning and development reports; instructions for processing completed reviews and recording results; correspondence (with coordinating tax services offices and tax centers); correspondence with the requestors, surveys; joint Department of Finance Canada and CRA consultations; performance assessments; executive performance agreements; and Scientific Research and Experimental Development claim files.","Processus de présélection et de sélection des documents, processus d'examen des documents y compris des directives, des manuels, des politiques, des guides et des brochures; application et interprétation des lois pertinentes; formulaires; matériel de formation technique, des budgets, des cours de formation technique, des séminaires et des conférences; exigences des systèmes, évaluation des risques et gestion de la charge de travail, documents statistiques, organigramme, documents de planification et d'élaboration, directives sur le traitement des examens terminés et la consignation des résultats, correspondance (avec les bureaux des services fiscaux et les centres fiscaux coordonnateurs), correspondance auprès des demandeurs, sondages, et consultations conjointes entre le Ministère des Finances Canada et l'ARC, évaluations du rendement, ententes sur le rendement des cadres, et dossiers de demandes de la recherche scientifique et du développement expérimental."
CRA SIIB 575,Service Feedback,Rétroaction sur les services,"Policies and procedures, forms, budgets, work programs, training material, systems requirements, statistics related to the development, implementation and operation of the program, communication activities, correspondence (letters, memoranda, emails, Minister’s mail), notices of assessment / reassessment, taxpayer relief requests, referrals, enquiries and correspondence with tax services offices, tax centres and CRA programs regarding requests about service complaints resolution, or for information and assistance from the Office of the Taxpayers' Ombudsperson.","Politiques et formulaires, budgets, programmes de travail, matériel de formation, besoins en systèmes, statistiques liées à l’élaboration, à la mise en œuvre et au fonctionnement des programmes, activités de communication, correspondance (lettres, notes de service, courriels, courrier du ministre), avis de cotisation et de nouvelle cotisation, demandes d’allègement pour les contribuables, renvois, demandes de renseignements et correspondance avec les bureaux des services fiscaux, les centres fiscaux et les programmes de l’ARC concernant les demandes au sujet du règlement de plaintes liées au service, ou les demandes de renseignements et d’aide du Bureau de l’ombudsman des contribuables."
CRA CPB 452,Small and Medium Enterprises Income tax Audit,Vérification de l’impôt des petites et moyennes entreprises,"Program business plans, policy memoranda, monitoring reports, documents relating to coding for reporting purposes, technical policy, program performance indicators and standards, building plans, forecasts, financial statements, application forms, technical publication and policy, recommendations, working papers, audit reports, program statistics and analysis, budgets, manuals, project reports, training material, correspondence, opinion on technical issues related to Income Tax Act, minute books, articles of incorporation and other corporate documents, deeds, building plans and surveys and real estate appraisal reports.","Plans d’entreprise de programme, notes de service sur la politique, rapports de surveillance, documents liés au codage à des fins d’établissement de rapports, politique technique, indicateurs et normes de rendement du programme, plans de construction, prévisions, états financiers, formulaires de demande, publications et politiques techniques, recommandations, feuilles de travail, rapports de vérification, statistiques et analyse du programme, budgets, manuels, rapports de projet, documents de formation, correspondance, opinions concernant les enjeux techniques liés à la Loi de l’impôt sur le revenu, registres des procès-verbaux, statuts de constitution en société et autres documents de la société, actes formalistes, plans de construction et arpentage, et rapports d’évaluation de biens mobiliers et immobiliers."
CRA ABSB 228,Specialty Business Returns,Déclarations spécialisées des entreprises,"Returns, registration forms, applications for refunds, information notices, supplementary forms, information returns, applications to file separate returns or refunds for branches and divisions, inventory returns, applications for exemptions, and financial returns and schedules.","Déclarations, formulaires d’inscription, demandes de remboursements, avis de renseignements, formulaires supplémentaires , déclarations de renseignements, demande d’application de production de déclarations distinctes ou remboursements pour succursales et divisions, déclarations de stocks. Demandes d’exonérations, déclaration financière des sociétés de personnes et annexes."
CRA ABSB 139,T3 Initial Assessment and Reassessment Program,Programme de cotisations initiales et de nouvelles cotisations T3,"Records retained include business cases; high-level business requirements, detailed business requirements, monitoring reports, computer operations reports, national broadcasts, memos, taxation operation manuals, project documentation, data quality assurance processes, computer programs, statistics, datasets, correspondence (emails, briefing notes, letters), workforce resource allocation directives, headquarters and field budget, program forecasts, results, evaluation reports, estimates, functional audit reports, correspondence (briefing notes, emails, letters), proposals on federal/provincial/territorial taxes, rebates, and credits, job descriptions, organizational structures, royalties, forms related to the storage and retrieval of T3 records and may also include supporting documents such receipts, trust agreements and/or wills.","Les dossiers conservés comprennent les analyses de rentabilisation, les exigences opérationnelles de haut niveau, les besoins fonctionnels détaillés, les rapports de surveillance, les rapports d’exploitation informatique, les diffusions nationales, les notes de service, les manuels des opérations de l’impôt, la documentation de projets, les processus d'assurance de la qualité des données, les programmes informatiques, les statistiques, les ensembles de données, la correspondance (courriels, notes d’information, lettres), les directives sur l’attribution des ressources en effectif, le budget de l’Administration centrale et des bureaux locaux, les prévisions de programme, les résultats, les rapports d’évaluation, les estimations, les rapports de vérification fonctionnelle, les propositions concernant les impôts, les remboursements et les crédits fédéraux, provinciaux et territoriaux, les descriptions de travail et les structures organisationnelles, les redevances et les formulaires liés à l’entreposage et à la récupération de documents T3, et ils peuvent également comprendre des documents à l’appui comme des reçus, des ententes de fiducie et/ou des testaments."
CRA ABSB 210,Tax-Free Savings Initiatives,Initiatives d'épargne libre d'impôt,"Estimates and budgets, evaluation reports, person year utilization reports, functional audits, operational and administrative correspondence, job descriptions, organizational structures, project documentation, data quality assurance processes, computer programs, statistics and datasets.","estimations et budgets, rapports d’évaluation, rapports d’utilisation par année/personne, vérifications fonctionnelles, correspondance opérationnelle et administrative, descriptions de travail, structures organisationnelles, documentation de projet, processus d’assurance de la qualité des données, programmes informatiques, statistiques et ensembles de données."
CRA APP 585,Taxpayer Relief Program,Programme des allègements pour les contribuables,"Taxpayer requests for relief, CRA replies, information circulars, legal opinions, judicial reviews, guidelines, procedures, reports, forms such as the RC4288, RC7288 and RC376, copies of relevant legislation, regulations and policies.","Demandes d’allègement des contribuables, réponses de l’Agence, circulaires d’information, avis juridiques, contrôles judiciaires, lignes directrices, procédures, rapports, formulaires comme les formulaires RC4288, RC7288 et RC376, copies des lois, des règlements et des politiques pertinents."
CRA ABSB 141,Taxpayer Services - Enquiries,Services aux contribuables - Programme des demandes de renseignements,"National policy and guidelines for the enquiries service; resource allocation documents for these workloads; directives to field offices; research on the nature of enquiries received; research, development, implementation and maintenance of new telephony technologies and of various informatics systems, statistics on performance of telephone services; telephone services reports.","Politique nationale et lignes directrices sur le service de demandes de renseignements, à l'affectation des ressources associées à ces charges de travail, aux directives à l'intention des bureaux locaux; recherches sur la nature des demandes de renseignements reçues, à la recherche sur de nouvelles technologies, à l'élaboration, et à l'entretien des différents systèmes informatiques; statistiques sur le rendement des services téléphoniques; rapports nationaux services téléphoniques."
CRA ABSB 176,Taxpayer Services – Returns and Guides,Services aux contribuables - Déclarations et guides,"Forms, guides, brochures, directives, manuals, application policies, information circulars, information bulletins, correspondence, liaison memoranda and consultations with provinces and territories, estimates and budgets, evaluation reports, person-year utilization, suggestions for improvements to publications, guidelines and procedures, copies of relevant legislation, regulations and policies.","Formulaires, guides, brochures, directives, manuels, politiques d'application, circulaires d'information, bulletins d'information, correspondance, notes de service échangées et consultations avec les provinces et les territoires, prévisions et budgets, rapports d'évaluation, utilisation des années-personnes, suggestions pour l'amélioration des publications, lignes directrices et procédures, copies des lois, règlements et politiques pertinents."
CRA OTO 330,Taxpayers' Ombudsperson,Ombudsman des contribuables,"Order in Council, reports to the Minister, briefing documents, memoranda of understanding, service-level agreements, complaint forms, requests for information, requests for action, systemic information requests, performance reports, communication documents, financial and human resources documents, procurement documents, procedures or requirements documents, and statistical reports.","Décret, rapports au ministre, notes de synthèses, les protocoles d'ententes, accords de niveau de service, formulaires de plainte, demandes de renseignements, demandes d'intervention, demandes d'information systémique, rapports sur le rendement, documents de communication, documents des finances et des ressources humaines, documents d'approvisionnement, procédures ou exigences des documents et rapports statistiques."
CRA LPRAB 650,Tax Treaty and Other International Related Information,,"Tax treaties, exchange agreements, interpretations, memoranda, briefings, reports, correspondence, meeting notes, working papers and presentations.",
CRA ABSB 215,Underused Housing Tax,Taxe sur les logements sous-utilisés,"UHT2900 assessment and reassessment (digital and paper), directives to field offices, policy interpretations, procedures, operational and administrative communications, reports, consultations and negotiations, tax roll plans and programs, UHT2900 retention policy, Notices of Assessment, Notices of Re-assessment, letters, forms, project documentation, data quality assurance processes, computer programs, statistics and datasets.","Les renseignements personnels peuvent être communiqués à des tiers en vertu d’ententes de collaboration écrites ou de contrats. Pour plus de détails, veuillez consulter le [fichier de renseignements personnels ARC PPU 214](/fr/agence-revenu/organisation/a-propos-agence-revenu-canada-arc/acces-a-information-protection-renseignements-personnels-a-agence-revenu-canada/info-source-annexe.html#214)."
CRA CPB 264,Voluntary Disclosures Program,Programme des divulgations volontaires,"Guidelines, memoranda, forms, reports, taxpayer disclosures, decisions and rationale, correspondence related to the voluntary disclosure, copies of relevant legislation, judicial reviews, information circulars, regulations and policies.","lignes directrices, notes de service, formulaires, rapports, divulgations des contribuables, décisions et justification, correspondance liée à la divulgation volontaire, copies des dispositions législatives pertinentes, révisions judiciaires, circulaires d’information, règlements et politiques."
ARC DGPLAR 041,,Décisions anticipées en matière d'impôt et interprétations techniques,,"Correspondance (en lien à des décision et des interprétations); décisions anticipées en matière d'impôt; interprétations techniques; bulletins d'interprétation; folios de l'impôt sur le revenu; publications techniques; décisions anticipées en matière d'impôt sur le revenu et interprétations techniques rendues publiques; avis juridiques; mémoires; lettres; notes, télécopies; courriels; notes d'information; ordres du jour; procès-verbaux; ébauches et copies finales de la correspondance; documents de travail; contrats; rapports; demandes de renseignements internes et externes; discours; présentations; communications liées aux conférences sur l'impôt; copies de lois, de règlements et de politiques pertinents."
