title,bank_number,description,class_of_individuals,note,social_insurance_number,purpose,consistent_uses,retention_and_disposal_standards,rda_number,related_record_number,last_updated
Production of Cannabis for Own Medical Purposes Registration Program,HC PPU 074,"This bank describes information that is related to individuals who apply to register for the personal production of cannabis for medical purposes in accordance with the Cannabis Regulations. The personal information may include name, contact information, criminal record check/history, date of birth, registration number, other identification numbers (e.g., law enforcement badge number, medical professional licensing number), authorized amount of cannabis for medical purposes, production and storage site of cannabis, preferred official language, signature, registration effective and expiration date, and enquires.","General public, applicants, individuals who are designated by or responsible for the applicant, medical professionals, home owners who allow production and/or storage of cannabis, and law enforcement officers.","Information may be stored in the following internal system/databases: Medical Cannabis Registry, and the Rogers Virtual Call Centre, where recorded phone call conversations are retained.",,The personal information is used to process applications to register for the personal production of cannabis for medical purposes and to respond to enquiries. Personal information is collected pursuant to section 312 of the Cannabis Regulations.,"The information may be used or disclosed for the following purposes: enforcement of the Cannabis Act and Cannabis Regulations; program evaluation; and aggregate information may be disclosed to provinces and territories and municipalities. Personal information may be disclosed to licensed producers to verify suspected fraudulent Registration Certificates. Specific personal information may be disclosed to law enforcement and professional licensing authorities as permitted under the Cannabis Regulations. Personal information may be disclosed to medical professionals to ensure the medical document submitted with the application was issued by them and to confirm the authorized amount. Personal information may be used for program evaluation, reporting to senior management, and for audit and evaluation purposes.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Methadone Program,HC PPU 060,"This bank contains the names and addresses of practitioners authorized to purchase, prescribe or dispense methadone.",Practitioners.,The methadone regulatory process changed in 2018. New applications are no longer being accepted.,,"To keep records for practitioners authorized to purchase, prescribe or dispense methadone.",Information from this bank may be released to provincial licensing authorities of the health professions.,"Practitioner files are kept two years after the death of a doctor, five years after the last correspondence or last record of registration if there is no history of drug-related problems, and ten years after the last correspondence or last record of registration if there is a history of drug-related problems.",2015/022,HC SUA 010,
Monthly Activities Reports and Annual Reports of Licensed Dealers,HC PPU 045,This bank contains records of licensed dealer activities with controlled substances and precursors regulated under the Controlled Drugs and Substances Act and its Regulations. Records are made by licensed dealers who are authorized to conduct regulated activities with controlled substances and precursors.,"Pharmacists, physicians, dentists, veterinarians, hospitals and licensed dealers, as well as certain individuals pursuant to section 56 of the Controlled Drugs and Substances Act.",,,"This bank is used to ensure that licensed dealers only supply controlled substances and precursors to authorized persons. Information is collected pursuant to the Controlled Drugs and Substances Act and relevant sections of the Narcotic Control Regulations, Parts G and J of the Food and Drug Regulations, the Benzodiazepines and Other Targeted Substances Regulations, and the Precursor Control Regulations.","It is also used to monitor and assess purchases of narcotics and controlled drugs made by pharmacists, physicians, dentists, veterinarians, hospitals and licensed dealers. Information from this bank may be disclosed to provincial regulatory authorities (e.g., provincial colleges of the pharmacy) and law enforcement.",Records on individual cases are held for three years for licensed dealers' monthly activities reports and annual reports and then reviewed for possible transfer to Library and Archives Canada.,2015/022,HC SUA 010,
Subsection 56(1) Exemptions under the *Controlled Drugs and Substances Act*,HC PPU 040,"This bank describes information that is related to exemptions to the *Controlled Drugs and Substances Act*. Exemptions may be granted to allow the use of a controlled substance or precursor for specific scientific or medical purposes, or when it is determined to be in the public interest. Personal information may include name, practitioner permit number, medical license or registration number, contact information (work and/or home information), signature, preferred language, criminal records checks/history, religious affiliation, travel itinerary, medical information, reason for request, education and work history.","General public, applicants, alternate contacts listed on applications, individuals who will possess or administer controlled substances or precursors, suppliers of controlled substances or precursors, medical practitioners, pharmacists.",The name of the PIB has changed from “Record of Researchers” to “Subsection 56(1) Exemptions under the *Controlled Drugs and Substances Act*”.,,"The personal information is used to process applications for exemptions authorizing specific activities with controlled substances or precursor chemicals, and to respond to enquiries. Personal information is collected pursuant to subsection 56(1) of the *Controlled Drugs and Substances Act*.","The information may be used or disclosed for the purposes of compliance and enforcement, program administration, program evaluation, audit and statistical purposes, and reporting to senior management. Personal information may be shared with Justice Canada or other government departments for the purposes of validating aspects of the application, and to ensure an exemption decision is not in potential conflict with relevant legislation. Personal information may be shared with Provinces/Territories, and local authorities or law enforcement authorities for the purposes of protecting public health or public safety, enforcing compliance or preventing non-compliance with the *Controlled Drugs and Substances Act* or its regulations, or for the purposes of an investigation and the administration or enforcement of the Act or its regulations.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,HC SUA 010,
Loss or Theft of Controlled Substances and Precursors,HC PPU 434,"This bank describes information that relates to individuals who report the loss and theft of controlled substances and chemical precursors to Health Canada. The personal information includes their name, contact information, address where the loss or theft occurred, type of location (e.g., pharmacy, hospital), details of loss or theft, and other identification numbers (e.g., medical professional licensing number).","All individuals referred to in the Controlled Drugs and Substances Act and its regulations who are required to report losses and thefts of controlled substances and precursor chemicals to Health Canada, as well as those required to report under section 56 of the Controlled Drugs and Substances Act.",,,"The personal information is collected to record the loss or theft of controlled substances or chemical precursors. Personal information is collected pursuant to of the Controlled Drugs and Substances Act and relevant sections of the Narcotic Control Regulations, Parts G and J of the Food and Drug Regulations, the Benzodiazepines and Other Targeted Substances Regulations, and the Precursor Control Regulations.","The personal information may be used to enforce the Controlled Drugs and Substances Act and its regulations. Personal information related to loss or theft of controlled substances and chemical precursors may be disclosed to provincial regulatory authorities (e.g., provincial colleges of pharmacy) and law enforcement. Personal information may be used for program evaluation, audit and/or statistical purposes.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,HC SUA 010,
Licenses and Registration of Controlled Substances and Precursor Chemicals under the *Controlled Drugs and Substances Act* (CDSA),HC PPU 448,"Health Canada regulates the legal access, distribution, and use of controlled substances and precursor chemicals in Canada. This bank describes information related to Controlled Drugs and Substances licences. The personal information collected may include name, contact information, education information, employment and qualification information, biometric data, background check information, and language.",General public,,,"The personal information is used to determine whether to grant a Controlled Drugs and Substances licence or registration. The authority to collect personal information is Section 4(1) and 4(2) of the Department of Health Act, the Controlled Drugs and Substances Act (CDSA), the Benzodiazepines and Other Targeted Substances Regulations, the Food and Drug Regulations - Part G and Part J, Precursor Control Regulations, and the Narcotic Control Regulations. Personal information may be used to verify compliance with regulatory requirements, security measures, and personnel qualifications.","Personal information may also be disclosed to law enforcement if individuals are applying for substances of concern, are located in remote locations, apply for unusual usage of the substance, or if there are items that are of concern.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,HC SUA 010,
Reporting of suspicious transactions for controlled substances and precursors chemicals,HC PPU 447,"This bank describes personal information related to Suspicious Transaction Reporting under the Controlled Drugs and Substances Act (CDSA). In accordance with CDSA regulations, licensed dealers are required to report any suspicious transactions involving controlled substances to the Minister of Health within 72 hours of becoming aware of them.","Licensed dealers, pharmacists, and other health care practitioners authorized to conduct activities (e.g., purchase, sale, transport, etc.) with controlled substances.",,,"Health Canada collects the personal information to support suspicious transaction reporting requirements outlined in the Controlled Drugs and Substances Act (CDSA) and its associated regulations. These include the Narcotic Control Regulations (Subsection 27.3(1)), the Food and Drug Regulations— Part G (Controlled Drugs) (Subsection G.02.065(1)) and Part J (Restricted Drugs) (Subsection J.01.069(1)), as well as the Benzodiazepines and Other Targeted Substances Regulations (Subsection 35.3(1)).","Health Canada uses the personal information to process suspicious transaction reports under the Controlled Drugs and Substances Act (CDSA) and its regulations. In accordance with the CDSA and applicable regulations, personal information may be disclosed to law enforcement and/or provincial regulatory authorities to support an investigation. Personal information may be used for research, planning, reporting, audit or evaluation purposes.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Status Confirmation Service,HC PPU 443,"This Personal Information Bank (PIB) describes information related to the Status Confirmation Service. The Status Confirmation Service uses personal information to respond to inquiries about the controlled status of a substance under the *Controlled Drugs and Substances Act* (CDSA) and to record requestors' details for follow-up if the status of the substance they previously inquired about changes. Status assessments are updated as new scientific information becomes available or new scheduling actions are implemented. To facilitate this service and provide follow-up updates to previous requestors, the program collects personal information including full name, contact details, and organizational affiliation.","Personal information is collected from stakeholders from industry, academia, federal government departments (e.g. border and law enforcement, government forensic laboratories), and occasionally, members of the public who make requests regarding the controlled status of substances under the CDSA.",,,"Personal information is collected under the legal authority of the *Controlled Drugs and Substances Act* (CDSA), which is administered by Health Canada on behalf of the Minister of Health. To support compliance with and administration of the CDSA and its regulations, the Status Confirmation Service allows any individual (most commonly federal departments and stakeholders from industry and academia), to request information on the controlled status of substances and precursors, and to receive updates when the controlled status of substances under the CDSA changes. The general authority for this collection is also derived from the *Department of Health Act*, which authorizes the Minister of Health to carry out activities that promote and preserve the health of Canadians.","The personal information is used to respond to stakeholders from industry, academia, and, the general public, who have requested a status confirmation and to provide them with updates on changes to the controlled status of substances and precursors. There are no other uses or disclosures of this information.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Seizure and Disposition Reporting,HC PPU 449,"This bank describes information that is related to the seizure and disposition of controlled substances, precursors, chemical offence-related property, cannabis and chemical property. The personal information may include the name, work contact information and badge number of the peace officer, inspector, or prescribed person; and the place of seizure when directly related to an individual.","Peace officers, inspectors, or prescribed persons involved in the seizure/disposition of controlled substances, precursors, chemical offence-related property, or cannabis and chemical property. General public where the address of the place of seizure is directly related to an individual.",,,"The personal information is used to contact officers who submit reports related to the seizure or disposition of controlled substances, precursors, chemical offence-related property, or cannabis and chemical property. Personal information is collected pursuant to sections 12.1 and 29 of the *Controlled Drugs and Substances Act* and sections 89 and 109 of the *Cannabis Act*.","De-identified information may be used for program evaluation, reporting to senior management, and for audit purposes.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,HC SUA 010,
Botulism Reference Service for Canada,HC PPU 444,"This bank describes information related to the Botulism Reference Service (BRS) for Canada program, which provides specialized diagnostic testing for botulism to provinces and territories. The BRS serves as the national reference laboratory for detecting botulism in clinical specimens and suspect foods, and a central point of contact during outbreaks. Personal information collected includes the patient’s human biological material, first and last name, sex, date of birth, age, symptoms, case history, food history, and medical information; the attending physician’s first and last name, phone, fax, and email address; and the first and last name, address, phone, fax and email of the individual submitting the form.","General public, medical practitioners and public health authorities.",,,"The information collected is used for diagnostic purposes to determine whether the person has been exposed to botulism and to report the results. The program has the legal authority to collect this information under section 4 of the *Department of Health Act*, which mandates Health Canada to promote and preserve the health of Canadians.",The the test results may be disclosed to the requesting facility.,Health Canada will retain the information for a minimum of ten years and then review it for possible transfer to Library and Archives Canada. Clinical samples are destroyed after an investigation concludes.,2015/022,,
Great Lakes Health Effects Cohort Study,HC PPU 076,"This bank contains basic personal information, fish consumption patterns, household income, current employment information (kind of work, exposures in the workplace), and medical history data on a sample of Ontario Sport Fish License holders (1988) and their families.","Phase I: 1988 Ontario Sport Fish License holders (approximately 1,000,000). Phase II: A sub-sample of Phase I, plus adult and child members of their household (approximately 100,000 records). Phase III: Further data on a sub-sample of Phase II.",This PIB has been terminated as Health Canada no longer collects or uses the personal information described. This PIB will be removed from Health Canada’s Info Source Chapter in 2027.,,The data were collected for research and statistical purposes as part of a study designed to investigate the adverse health effects of Great Lakes water pollution as bio-concentrated by fish.,"The data collected were intended to be used to determine the risk of cancer, adverse reproductive outcomes (for example, birth defects) and mortality from certain causes associated with consumption of fish caught in the Great Lakes Basin. The individuals identified in the data bank may be followed up over time by linkage to cancer incidence, congenial anomaly or mortality registries. However, due to budgetary and other constraints this may not be done.","Retained a minimum of ten years, and then reviewed for possible transfer to Library and Archives Canada (excluding questionnaires, which may be destroyed after two years).",2015/022,HC FSN 010,
Fish & Wildlife Nutrition Project in Areas of Concern,HC PPU 079,"This bank contains information about Ontario anglers and consumers of aquatic wildlife in areas of concern. These groups may not be licensed or may otherwise be outside the mainstream due to language or ethnicity. Information includes name, address, telephone number, gender, marital status, country of birth, fish and aquatic wildlife consumption patterns, household income and language spoken in the home.",Ontario anglers and consumers of fish and aquatic wildlife in selected geographic locations.,This PIB has been terminated as Health Canada no longer collects or uses the personal information described. This PIB will be removed from Health Canada’s Info Source Chapter in 2027.,,The purpose of this bank is to conduct research into fish and aquatic wildlife consumption patterns among high-risk Ontario anglers and consumers.,Information may be used to contact these individuals in follow-up surveys.,"Retained a minimum of ten years, and then reviewed for possible transfer to Library and Archives Canada (excluding questionnaires which may be destroyed after two years).",2015/022,HC FSN 010,
Ontario Farm Family Health Study,HC PPU 037,"Information collected from 2000 farm families, including name, address, religion, age, sex, and country of birth, farm characteristics, chronic disease and accident histories of farm families participating in this study.",Ontario Farm Families.,"The personal information reflected here has been destroyed, in accordance with the disposition standard. The PIB reference will be removed from the index in the 2026 publication.",,Information is collected for use in a study designed to assess potential exposures on the farm and health effects.,Research and Statistical Purposes.,Under Review at LAC - ten years.,2015/022,HC ERH 035,
Pesticide Exposure Assessment Pilot Study,HC PPU 035,"Contains the name, address, sex, sample date, sample type (urine, semen, and drinking water), pesticide handling practices of applicator, and pesticides used for farm families participating in this study.",Ontario farm families selected from the previous Ontario Farm Family Health Study (Personal Information Bank HCPPU037).,"The personal information reflected here has been destroyed, in accordance with the disposition standard. The PIB reference will be removed from the index in the 2026 publication.",,Measure the extent to which applicators and family members are exposed to herbicides during normal handling activities on Ontario farms.,Research and statistical purposes. Data is linked to HC PPU 037 Ontario Farm Family Health Study.,Under Review at LAC.,2015/022,HC ERH 035,
St. Lawrence Vision 2000 Health Components Project,HC PPU 084,"Contains information about persons tested or interviewed pursuant to a number of research projects in the Health Component of the St. Lawrence Vision 2000 program. May include name, address, marital status, sex, language, date of birth, education, income and employment data, food and nutritional profiles, immigration data, health data, alcohol and cigarette consumption, reproductive and fertility histories, and certain very specific recreational activities. Samples may include hair, blood, urine, semen and placental tissue.",Only contains information about persons residing in the immediate vicinity of the St. Lawrence River in Quebec who have been interviewed by investigators.,This PIB has been terminated as Health Canada no longer collects or uses the personal information described. This PIB will be removed from Health Canada’s Info Source Chapter in 2027.,,To conduct epidemiological research; to assess health risks associated with certain behaviors and environmental agents; to contribute to future health promotion activities.,None. There may be longitudinal surveys of some respondents.,Under Review at LAC - ten years.,2015/022,HC ERH 035,
Technical Support Files,HC PPU 005,"This bank contains environmental health surveillance reports, as well as results of tests performed on biological samples (blood, hair, urine) of individuals. Persons seeking access to this bank must supply their full name, the date the sample was submitted and the community where tested. Aboriginals should provide their Band Number.",Exposed Aboriginal populations and federal government employees.,,,"This bank is used to monitor the health of individuals exposed to a wide variety of environmental and occupational hazards such as dust, mercury, PCB's, arsenic and lead.","Information may be used internally for program management purposes and for purposes of research, planning, evaluation, statistics and for internal audit purposes. Information may also be shared with provincial/territorial departments of health.",Under Review at LAC - ten years.,2015/022,HC ERH 035,
Research into the Effects of Chemicals on Humans,HC PPU 200,"This bank describes information that is about individuals who have participated in research concerning the health impact of chemicals and monitoring and/or surveillance activities that identify and track exposure to chemical hazards in the environment. The personal information may include name, contact information, biographical information, educational information, financial information, medical information, physical attributes and age, ethnicity, personal views or opinions, tobacco use, personal product use, dietary information, participant identification number and consent forms.","General public, individuals who volunteer or who are solicited to participate in a particular research, monitoring or surveillance activity.","In addition to the requirements specified on the Treasury Board of Canada Secretariat Personal Information Request form, individuals requesting information described by this bank must provide the name, date and location of the research, monitoring or surveillance activity in which they participated.",,The personal information is used to determine the effects of chemical substances on individuals and to identify and track exposure to chemical hazards. Personal information is collected pursuant to Canadian Environmental Protection Act (1999) and the Department of Health Act.,"In certain circumstances, limited amounts of personal information may be shared with research monitoring or surveillance partners.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Scientific Review and Evaluation Experts,HC PPU 409,"This bank describes information that is related to individuals who have an interest in becoming part of Health Canada's inventory list of qualified external scientific experts. These individuals provide scientific evaluation and advisory services to the department and/or participate as volunteers on Scientific Advisory Committees and/or Panels. The personal information may include name, contact information, biographical information, educational information and language, professional affiliations, publications, area of scientific expertise.","Individuals that deal in health and/or medical sciences, scientists, researchers and academics, who have indicated an interest in working with Health Canada on a contractual or volunteer basis.",The Scientific Review and Evaluation Expert Database associated to HC PPU 409 has been decommissioned. Information will be stored for an additional two (2) years. No personal information is actively being collected.,,The personal information is used to establish an inventory of experts to provide scientific evaluation and advisory services to the department and/or participate as a volunteer on scientific advisory committees and/or panels. Personal information is collected pursuant to Section 4 of the Department of Health Act.,Personal information may be shared with programs within Health Canada to enhance the department's ability to access external scientific expertise on an as required basis.,Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,HC HP 040; HC HP 005,
Medical Devices Problem Reporting Program,HC PPU 415,"This bank describes information that is collected by Health Canada regarding adverse events related to medical device incidents. The personal information that is collected may include the name, title, mailing address, email address, telephone and fax number of the incident reporter or complainant and information regarding the individual who has experienced the incident including their detailed medical information, the date and location of the incident, description of the incident, date of implantation or explanation, duration of device use, sex/gender/height/weight of the affected person if applicable to the incident, patient consequences and open-ended health information describing the incident/problem/adverse event.","General public, industry employees (manufacturers, importers, distributors), investigational testing organizations, special access users, hospitals, health care facility employees and professionals.","In addition to the requirements specified on the Treasury Board of Canada Secretariat Personal Information Request Form, an individual requesting access to information described in this bank is encouraged to provide sufficient information to locate the requested data (for example; initials, the incident ID number, type of device, date and place of the incident).",,"Personal information collected from the medical device incident reports by the department may be used to follow-up with reporters of a medical device related incident for compliance and enforcement activities; to request safety and efficacy information from the manufacturers, health care professionals/practitioners/facilities and other users of marketed medical devices for the purpose of post-market surveillance of medical devices; reporting to senior management; complete trend analysis. Personal Information is collected pursuant to the Department of Health Act, Section 4(h), and the Food and Drugs Act, Section23 (1) (c) and the Medical Devices Regulations, Section(s) 59 (1) (a) (b) (2), 60, 61.1 (1), 63, 64 and 65, 77, 81 (k) (v) (2) and 88.","Personal information may be used for audit and evaluation purposes. Monitoring, auditing and evaluating these medical device problem reports enables the program to complete safety signal assessments and trend analysis. The program compiles trend and safety data and utilizes it in a de-identified format to identify emerging safety signals/issues and trends, mitigating the risks and improving the safe use and efficacy of medical devices. Trend and safety data in a de-identified format may be communicated by a variety of risk communication tools and (including a monthly Health Canada newsletter – Infowatch and an incident database/data extracts) and/or responses to inquiries.",Retained for seventy-five years after receipt of problem report.,,,
Border Program,HC PPU 436,"This bank describes information that is related to the Border Program. The Border Program conducts compliance and enforcement activities for imported health products (e.g., drugs, natural health products and medical devices) to ensure that they meet the requirements of admissibility under the Food and Drugs Act and its associated Regulations before they are allowed into Canada. The personal information may include name, contact information, customs identifier, licence information, medical information (if related to the importer/exporter), and product information (where it reveals personal information about the importer/exporter).",Individuals who attempt to import or export health products,Information may be stored in the following internal systems/databases: Border Compliance and Operations Database.,,The personal information is used by the Border Program to assess the admissibility of the health product for import/export. Personal information is collected pursuant to 23(1)(c) of the Food and Drugs Act.,"Personal information may be used for program evaluation, statistical, compliance and enforcement purposes [HC PPU 402; HC PPU 405; HC PPU 406; HC PPU 407; HC PPU 408] and shared with the Special Access Program [HC PPU 414; HC PPU 430] and the Canada Border Services Agency.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Special Access Program - Medical Devices,HC PPU 430,"This bank describes information that is related to Health Canada's Special Access Program, which provides access to non-marketed medical devices for practitioners to use on patients for emergency use, or if conventional therapies have failed, are unavailable or unsuitable. The Special Access Program authorizes a manufacturer to sell medical devices not approved for sale in Canada. The personal information may include doctor name and contact information, signature, practitioner license number, patient initials, description of and response to previous treatments, and unexpected adverse reactions, and other medical information.",Special Access Program participants including doctors and patients.,"A practitioner must initiate a request on behalf of a patient. Requests that are denied authorization are returned by fax to the practitioner with an explanation. In all cases, the manufacturer has the final say as to whether or not they will respond to the authorization and supply the device.",,"The personal information is used to administer the Special Access Program, to determine if the sale of a non-marketed device will be authorized for the practitioner's patient. Personal information is collected pursuant to Part II of the Medical Devices Regulations","Personal information may be used for audit and evaluation purposes. Limited personal information including physician contact information (name, address, phone, and fax) may be shared by medical device manufacturers as necessitated by the requirements of the program. **Retention and Disposal Standards**: Retained for fifty years after device has been released.",,2015/022,,
Compliance and Enforcement - Medical Devices,HC PPU 405,"This bank describes information that is used in support of compliance monitoring and enforcement activities related to medical devices. Medical devices cover a wide range of health or medical instruments used in the treatment, mitigation, diagnosis or prevention of a disease or abnormal physical conditions. Potential non-compliance may be identified by consumer complaints, industry complaints, referrals from other provincial and federal regulatory agencies, international partners or Health Canada's compliance monitoring activities. The personal information may include name, contact information, biographical information, date of birth, date of death, medical information, other identification numbers, physical attributes, purchasing orders, sales receipts, place of death, hospital where patient was treated, and their doctor's name.","General public, industry employees (manufacturers, importers & distributors), and healthcare facility employees/professionals.","In addition to the requirements specified on the Treasury Board of Canada Secretariat Personal Information Request form, individuals requesting information described by this bank must provide the incident ID number, device name or company name.",,The personal information is used in support of Health Canada's compliance and enforcement activities related to medical devices. Personal information is collected pursuant to section 23(1)(c) of the Food and Drugs Act and Medical Device Regulations.,"The information may be used or disclosed for the following purposes: audit and evaluation, enforcement, safety and other personal information may be shared with the Canada Border Services Agency (CBSA) [CBSA PPU 035] or the Royal Canadian Mounted Police (RCMP) [RCMP PPU 005] for a specific individual who has been identified as having potential for non-compliance with the Food and Drugs Act and its associated Regulations. Personal information collected during inspections and investigations may be shared with law enforcement agencies for law enforcement and criminal investigation purposes, with other areas of Health Canada [HC PPU 088, HC PPU 415 and HC PPU 045] for the administration of other acts under which the medical devices is regulated with provincial (or territorial) health professional regulatory bodies for follow-up, and/or with foreign regulatory counterparts for the consistent regulation of health products on the international stage.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Compliance and Enforcement - Natural Health Products,HC PPU 406,"This bank describes information that is used in support of compliance monitoring and enforcement activities related to natural health products as defined under the Food and Drugs Act and the Natural Health Products Regulations. Potential non-compliance may be identified by consumer complaints, industry complaints, referrals from other provincial and federal regulatory agencies, international partners or Health Canada's compliance monitoring activities. The personal information may include name, contact information, date of death, medical information, physical attributes, purchasing orders, sales receipts, and written details associated with complaints submitted by the public (what, when, where, who and how something happened) purchasing orders, and sales receipts.","General public, regulated parties under the Food and Drugs Act and the Natural Health Products Regulations (for example, manufacturers submitting trade complaints).",,,"The personal information is used to support Health Canada's compliance and enforcement activities, including inspections and investigations, related to natural health products. Personal information is collected pursuant to section 23(1)(c) of the Food and Drugs Act and Natural Health Products Regulations.","The information may be used or disclosed for the following purposes: audit and evaluation, compliance and enforcement, safety and other personal information may be used to inform the Canada Border Services Agency (CBSA) [CBSA PPU 035] to target a specific individual who has been identified as having potential for non-compliance with the Food and Drugs Act and Natural Health Products Regulations. Personal information collected during inspections and investigations may be shared with law enforcement agencies for law enforcement and criminal investigation purposes, with other branches or directorates of Health Canada [HC PPU 088, HC PPU 415 and HC PPU 045] for the administration of other acts under which the natural health product is regulated, with provincial (or territorial) health professional regulatory bodies when the health and safety of Canadians may be impacted due to a non-compliance under a different regulatory jurisdiction, and/or with Health Canada's foreign regulatory counterparts which have similar mandates for the consistent regulation of health products on the international stage.",Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,,
Pesticide Incident Reporting,HC PPU 315,"This bank describes information that is related to reportable pesticide incidents. A pesticide incident is any unintended or unexpected effect to humans, animals (including pets or wildlife) or plants (including both terrestrial and aquatic), resulting from exposure to, or use of, a pesticide. Incidents must be reported by pesticide company representatives and may be reported by the general public. The personal information may include name and contact information of the incident reporter, medical information, physical attributes, exposure scenario, symptoms, location of incident, and other unsolicited personal information.",General public and pesticide company representatives.,Information may be stored in the following internal systems/databases: The Public Engagement Portal (PEP) and the Electronic Pesticide Regulatory System (ePRS). Unsolicited personal information is destroyed within one year.,,"The personal information is used in support of the pesticide incident reporting program and incident reporter contact information is used for administrative follow up, when necessary. Health Canada evaluates the incident information in conjunction with scientific literature. Evaluation reports summarizing reviews are posted on the Health Canada website. Personal information is collected pursuant to Section 3 of the Pest Control Products Incident Reporting Regulations.","Personal information may be used for the following purposes: audit and evaluation, reporting to senior management, enforcing compliance and enforcement of the Pest Control Products Incident Reporting Regulations.",Records will be destroyed ten years after last administrative action.,2015/022,,
"Special Access Program - Pharmaceuticals, Biologic and Radio-Pharmaceuticals",HC PPU 414,"This bank describes information that is related to Health Canada's Special Access Program (SAP). The SAP provides access to non-marketed drugs to practitioners who are treating patients with serious or life-threatening conditions when conventional therapies have failed, are unsuitable, or unavailable. Under the Food and Drug Regulations (FDR) Section C.08.010, the Special Access Program authorizes a manufacturer to sell drugs including pharmaceutical, biologic, and radio-pharmaceutical products that cannot otherwise be sold or distributed in Canada. The SAP also provides access to non-marketed drugs through requests submitted by public health officials under Division 11 of the FDR (Public or Canadian Armed Forces Health Emergencies – Drugs for Immediate Use or Stockpiling). The personal information collected under Division 8 of the FDR may include practitioner name and contact information, signature, alternate's contact information, patient initials, date of birth, physical attributes, clinical rationale for non-marketed drug, detailed medical history, description of and response to treatment, and unexpected adverse reactions, and other medical information. Personal information collected under Division 11 includes contact information and signatures of public health officials.","Special Access Program participants including public health officials, patients, practitioners and the practitioner's alternate.",,,"The personal information is used authorize or deny a practitioner access to non-marketed drugs, and to monitor the use of and responses to non-marketed drugs. Personal information may also be used to approve or deny requests for access to drugs for immediate use or stockpiling in the event of a public or military health emergency Personal information is collected pursuant to Section C.08.010 or C.11.002(1) of the FDR.","Personal information may be used to inform, audit or evaluate future program decision-making regarding access to a non-marketed drug. Personal information related to adverse drug reactions are reported to the Canada Vigilance Program [HC PPU 088]. In cases involving controlled drugs, personal information is used by the Office of Controlled Substances for issuing permits. Personal information is disclosed to drug manufacturers to inform them that a practitioner or public health official is authorized to access specified non-marketed drugs; and for the manufacturer to impose conditions on the sale of a drug to ensure that it is used in accordance with the latest information available (e.g., the manufacturer may restrict the amount of the drug sold, or offer a protocol for the use of the drug). In unique cases, personal information may be used or disclosed to consult internal or external health experts for their advice (e.g. rare disease, oncology).",Retain for 50 years after decision has been issued.,2015/022,,
Scientific Review and Evaluation Experts,HC PPU 409,"This bank describes information that is related to individuals who have an interest in becoming part of Health Canada's inventory list of qualified external scientific experts. These individuals provide scientific evaluation and advisory services to the department and/or participate as volunteers on Scientific Advisory Committees and/or Panels. The personal information may include name, contact information, biographical information, educational information and language, professional affiliations, publications, area of scientific expertise.","Individuals that deal in health and/or medical sciences, scientists, researchers and academics, who have indicated an interest in working with Health Canada on a contractual or volunteer basis.",Information may be stored in the following internal systems/databases: Scientific Experts Database.,,The personal information is used to establish an inventory of experts to provide scientific evaluation and advisory services to the department and/or participate as a volunteer on scientific advisory committees and/or panels. Personal information is collected pursuant to Section 4 of the Department of Health Act.,Personal information may be shared with programs within Health Canada to enhance the department's ability to access external scientific expertise on an as required basis.,Personal information will be retained for a minimum of two (2) years after the last administrative action and will follow the disposition standards set out by Library and Archives Canada.,2015/022,HC HP 040; HC HP 005,
