bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
TSB PPU 020,Confidential reporting,Rapports confidentiels,TSB PPU 020,BST PPU 020,"This bank was established as part of the TSB Confidential Reporting Program, SECURITAS. Members of the transportation community report hazards and possible safety deficiencies. Records may include individual’s name, address and phone number, profession and experience, involvement in the unsafe situation being reported, other communications of the unsafe situation or safety concern, complete identification of the aircraft/ship/pipeline/rolling stock, the name of the owner/operator of the equipment and a description of the unsafe act or safety concern. The legislative authority is provided by section 31 of the *Canadian Transportation Accident Investigation and Safety Board Act* and section 7 of the *Transportation Safety Board Regulations*, and prohibits the release of any information that could reveal a confidential reporter's identity without the reporter's written consent. **Document types:** emails, reports, statistics. **Disclosure summaries:** No such disclosure has occurred. **Record number:** TSB ASI 200","Ce répertoire a été établi dans le cadre du programme de rapports confidentiels du BST, SECURITAS. Les membres de la communauté des transports signalent des risques et de possibles lacunes de sécurité. Les dossiers peuvent comprendre le nom de la personne, son adresse, son numéro de téléphone, sa profession et son expérience, son rôle dans la situation non sécuritaire signalée, d'autres communications de la situation non sécuritaire ou de la préoccupation en matière de sécurité, l'identification complète de l'aéronef/ du navire/ du pipeline/ du matériel roulant, le nom du propriétaire ou de l'exploitant de l'équipement et une description de l'acte non sécuritaire ou de la préoccupation en matière de sécurité. Les pouvoirs législatifs sont conférés en vertu de l'article 31 de la *Loi sur le Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports* et de l'article 7 du *Règlement sur le Bureau de la sécurité des transports* et ils interdisent la divulgation de tout renseignement risquant de révéler l'identité du déclarant confidentiel sans le consentement écrit de celui-ci. **Types de documents : courriels, rapports, statistiques.** **Résumés de divulgation : Aucune divulgation n’a eu lieu.** **Numéro du dossier :** BST ESA 200",,,,,,,,,,,,,,,,,,,002977,002977
TSB PPU 005,Investigation files,Dossiers d'enquête,TSB PPU 005,BST PPU 005,"Information gathered during the course of an investigation may contain personal information on individuals, such as names and contact information; medical, autopsy and other information on victims, passengers and crew members; photographs; witness statements; representations on the draft report, and the extraction and interpretation of information from voice and video records and the presumptive language of analysis, including references to unsafe acts. The legislative authority is from *Canadian Transportation Accident Investigation and Safety Board Act*: - 19(6): (b) medical examination, (c) medical files, (d) autopsy; 24(2) representations on draft report; 24(4.1) protection of representations; 28(1) on-board recording; 28(2) privilege of on-board recordings; 30(1) oral, written or recorded statement given, and (2) statement privileged. **Document types:** Policies, procedures, manuals, standards, forms, checklists, contact lists, occurrence and investigation data, photographs and recordings, designs, specifications, tests and analyses, surveys, statistical summaries, working papers, correspondence, briefings, drafts and final reports. **Disclosure summaries:** No such disclosure has occurred. **Format:** Audio tapes, videotapes, photographs, maps, database. **Record number:** TSB ASI 200","Les renseignements recueillis pendant une enquête peuvent comprendre des renseignements personnels, par exemple, des noms et coordonnées; des renseignements médicaux, des renseignements d'autopsie et d'autres renseignements sur les victimes, les passagers et les membres d'équipage; des photographies; des déclarations des témoins; des observations sur le rapport provisoire, et l'extraction et l'interprétation de renseignements contenus dans des enregistrements audio et vidéo et le langage présumé de l'analyse, y compris des mentions d'actes non sécuritaires. Les pouvoirs législatifs découlent de la *Loi sur le Bureau canadien d'enquête sur les accidents de transport et de la sécurité des transports*, alinéas 19(9)*b*) examen médical, *c*) dossiers médicaux, *d*) autopsie; paragraphes 24(2) observations sur le projet de rapport et 24(4.1) protection des observations, 28(1) enregistrements à bord, 28(2) protection des enregistrements à bord, et 30(1) déclaration verbale, écrite ou enregistrée et (2) protection des déclarations. **Types de documents :** Politiques, procédures, manuels, normes, formulaires, listes de contrôle, listes de contacts, données sur les événements et les enquêtes, photographies et enregistrements, modèles, spécifications, essais et analyses, sondages, sommaires statistiques, documents de travail, correspondance, documents d'information, ébauches et rapports finaux. **Résumés de divulgation : Aucune divulgation n’a eu lieu.** **Format : Bandes audio, bandes vidéo, photographies, cartes, base de données.** **Numéro du dossier :** BST ESA 200",,,,,,,,,,,,,,,,,,,002981,002981
