record_number,name_en,name_fr,document_types_en,document_types_fr
CSPS 121,Functional Communities Programming – Class of Records,Programmes pour les collectivités fonctionnelles - Catégories de documents,"Agreements, Application Forms, Best Practices, Contracts, Conferences, Correspondence, Course Delivery, Curriculum Design and Development, Decision Records, Evaluations, Events, Guidelines, Memoranda of Understanding, Performance Monitoring, Plans, Policies, Procedures, Quality Assurance, Reports, Research, Standards, Statements of Work, Statistics, Strategies, and Training.","Ententes, formulaires de demande, pratiques exemplaires, contrats, conférences, correspondance, présentation de cours, conception et élaboration de programmes de cours, comptes rendus de décisions, évaluations, événements, lignes directrices, protocoles d'entente, surveillance du rendement, plans, politiques, procédures, assurance de la qualité, rapports, recherches, normes, énoncés des travaux, statistiques, stratégies et formation."
CSPS 141,Online Course Program – Class of Records,Programme de cours en ligne - Catégories de documents,"Agreements, Application Forms, Best Practices, Contracts, Correspondence, Course Delivery, Curriculum Design and Development, Decision Records, Evaluations, Guidelines, Licenses, Memoranda of Understanding, Performance Monitoring, Plans, Policies, Procedures, Quality Assurance, Reports, Requests, Standards, Statements of Work, Statistics, Strategies, Surveys, and Training.","Ententes, formulaires de demande, pratiques exemplaires, contrats, correspondance, conception et élaboration de programmes de cours, comptes rendus de décisions, évaluations, lignes directrices, licences, protocoles d'entente, surveillance du rendement, plans, politiques, procédures, assurance de la qualité, rapports, demandes, normes, énoncés des travaux, statistiques, stratégies, sondages et formation."
CSPS 111,Public Service Orientation – Class of Records,Orientation à la fonction publique - Catégories de documents,"Agreements, Application Forms, Best Practices, Contracts, Correspondence, Course Agenda, Curriculum Learning Components, Decision Records, Evaluations, Guidelines, Performance Monitoring, Plans, Policies, Procedures, Reports, Research, Standards, Statements of Work, Statistics, Strategies, and Training.","Ententes, formulaires de demande, pratiques exemplaires, contrats, correspondance, plans de cours, éléments du programme de cours, comptes rendus de décisions, évaluations, lignes directrices, surveillance du rendement, plans, politiques, procédures, rapports, recherches, normes, énoncés de travail, statistiques, stratégies et formation."
CSPS 122,Professional Development Programming – Class of Records,Programmes de perfectionnement professionnel - Catégories de documents,"Agreements, Application Forms, Best Practices, Contracts, Conferences, Correspondence, Course Delivery, Curriculum Design and Development, Decision Records, Evaluations, Events, Guidelines, Memoranda of Understanding, Performance Monitoring, Plans, Policies, Procedures, Quality Assurance, Reports, Research, Standards, Statements of Work, Statistics, Strategies, and Training.","Ententes, formulaires de demande, pratiques exemplaires, contrats, conférences, correspondance, présentation de cours, conception et élaboration de programmes de cours, comptes rendus de décisions, évaluations, événements, lignes directrices, protocoles d'entente, surveillance du rendement, plans, politiques, procédures, assurance de la qualité, rapports, recherches, normes, énoncés des travaux, statistiques, stratégies et formation."
CSPS 221,Leadership Development Programs – Class of Records,Programmes de perfectionnement en leadership - Catégories de documents,"Agreements, Application Forms, Best Practices, Contracts, Conferences, Correspondence, Course Delivery, Curriculum Design and Development, Decision Records, Evaluations, Events, Guidelines, Memoranda of Understanding, Performance Monitoring, Plans, Policies, Procedures, Reports, Research, Standards, Statements of Work, Statistics, Strategies, and Training.","Ententes, formulaires de demande, pratiques exemplaires, contrats, conférences, correspondance, présentation de cours, conception et élaboration de programmes de cours, comptes rendus de décisions, évaluations, événements, lignes directrices, protocoles d'entente, surveillance du rendement, plans, politiques, procédures, rapports, recherches, normes, énoncés des travaux, statistiques, stratégies et formation."
CSPS 211,Leadership Competencies – Class of Records,Compétences en leadership - Catégories de documents,"Agreements, Application Forms, Best Practices, Contracts, Correspondence, Course Delivery, Curriculum Design and Development, Decision Records, Evaluations, Guidelines, Memoranda of Understanding, Performance Monitoring, Plans, Policies, Procedures, Reports, Research, Standards, Statements of Work, Statistics, Strategies, and Training.","Ententes, formulaires de demande, pratiques exemplaires, contrats, correspondance, présentation de cours, conception et élaboration de programmes de cours, comptes rendus de décisions, évaluations, lignes directrices, protocoles d'entente, surveillance du rendement, plans, politiques, procédures, rapports, recherches, normes, énoncés des travaux, statistiques, stratégies et formation"
CSPS 112,Authority Delegation Training – Class of Records,Formation relative à la délégation de pouvoirs - Catégories de documents,"Agreements, Application Forms, Best Practices, Contracts, Correspondence, Course Agenda, Curriculum Learning Material, Decision Records, Evaluations, Guidelines, Memoranda of Understanding, Performance Monitoring, Plans, Policies, Procedures, Quality Assurance, Reports, Research, Standards, Statements of Work, Statistics, Strategies, and Summaries.","Ententes, formulaires de demande, pratiques exemplaires, contrats, correspondance, plans de cours, matériel pédagogique, comptes rendus de décisions, évaluations, lignes directrices, protocoles d'entente, surveillance du rendement, plans, politiques, procédures, assurance de la qualité, rapports, recherches, normes, énoncés des travaux, statistiques, stratégies et sommaires."
CSPS 311,Organizational Learning Services – Class of Records,Services d'apprentissage organisationnel - Catégories de documents,"Agreements, Best Practices, Conferences, Correspondence, Decision Records, Delegations, Events, Guidelines, Memoranda of Understanding, Plans, Policies, Procedures, Projects, Reports, Standards, Strategies, and Training.","Ententes, pratiques exemplaires, conférences, correspondance, comptes rendus de décisions, délégations, événements, lignes directrices, protocoles d'entente, plans, politiques, procédures, rapports, normes, stratégies et formation."
PRN 904,Cooperation and Liaison – Class of Records,Coopération et liaison- Catégories de documents,"Minutes, agendas and records of decisions of multilateral and bilateral meetings, proceedings of symposia, roundtables and conferences, copies of bilateral and liaison agreements, drafts and final case studies reports, memoranda of cooperation, records of consultation activities, and international activity reports.","Procès-verbaux, ordres du jour et comptes rendus de réunions multilatérales et bilatérales, travaux de symposiums, de tables rondes et de conférences, exemplaires d'accords bilatéraux et d'accords de liaison, versions provisoires et rapports finaux d'études de cas, mémoires de coopération, dossiers sur les activités de consultation et rapports sur les activités internationales."
