bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
FIN PPU 100,Tax Data - Evaluation and Formulation of Fiscal Policy,Données fiscales – Évaluation et formulation des politiques fiscales,FIN PPU 100,FIN PPU 100,"This bank describes information that is used in support of evaluation and formulation of fiscal policy. The personal information may include name, contact information, biographical information, citizenship status, credit information, date of birth, financial information, physical attributes and social insurance number (SIN).","Ce fichier décrit les renseignements à l’appui de l’évaluation et de la formulation des politiques fiscales. Les renseignements personnels peuvent comprendre le nom, les coordonnées, des renseignements biographiques, la citoyenneté, des renseignements sur la solvabilité, la date de naissance, des données financières, des caractéristiques physiques et le numéro d’assurance sociale.","General Public (dependents, spouses and children).","Grand public (des personnes à charge, conjoints, enfants).",,,,,"The personal information is used to for the evaluation and formulation of fiscal policy. Personal information is collected pursuant to 241(4)(d)(i) of the Income Tax Act (ITA), 295(5)(d)(i) of the Excise Tax Act (ETA) and 211(6)(e)(i) of the Excise Tax Act, 2001 (EA, 2001). The Social Insurance Number is collected pursuant to the 241(4)(d)(i) of the Income Tax Act (ITA), 295(5)(d)(i) of the Excise Tax Act (ETA) and 211(6)(e)(i) of the Excise Act, 2001 (EA, 2001) and is used for the evaluation and formulation of fiscal policy.","Les renseignements personnels servent à évaluer et à formuler les politiques fiscales et ils sont recueillis en application du sous-alinéa 241(4)d)(i) de la Loi de l’impôt sur le revenu, du sous-alinéa 295(5)d)(i) de la Loi sur la taxe d’accise et du sous-alinéa 211(6)e)(i) de la Loi de 2001 sur l’accise. Le numéro d’assurance sociale est recueilli en application du sous-alinéa 241(4)d)(i) de la Loi de l’impôt sur le revenu, du sous-alinéa 295(5)d)(i) de la Loi sur la taxe d’accise et du sous-alinéa 211(6)e)(i) de la Loi de 2001 sur l’accise, et il sert à évaluer et à formuler les politiques fiscales.",The information may be used or disclosed for the evaluation and formulation of fiscal policy.,Les renseignements peuvent être utilisés ou communiqués à des fins d’évaluation ou de formulation de politiques fiscales.,Under development,En cours d’élaboration,Under development,En cours d’élaboration,FIN FPD 062,FIN FPD 062,,,20120169,20120169
FIN PPU 200,Operationalization of the *Retail Payment Activities Act*,Opérationnalisation par le ministère des Finances Canada (le ministère) de la *Loi sur les activités associées aux paiements de détail*,FIN PPU 200,FIN PPU 200,"This bank includes personal information of Payment Service Providers (PSPs) collected by the Bank of Canada (BoC) and shared with the Department of Finance. The BoC is responsible for the supervision of PSPs who perform retail payment activities in Canada, in compliance with the *Retail Payment Activities Act* (RPAA). The Minister of Finance and National Revenue has authorities under the RPAA to address national security risks posed by PSPs and may issue a directive to the BoC to refuse to register an applicant or revoke a PSP registration for national security reasons. Personal information relates to the PSP itself (if it is a person and not an entity) and PSP directors, senior management, certain creditors, agents and mandataries, affiliated entities, and controlling persons or entities. Personal information consists of legal name(s), date of birth, address(es), contact information, citizenship, country of residence.","Ce fichier comprend les renseignements personnels des fournisseurs de services de paiement (FSP) que la Banque du Canada recueille et communique au ministère des Finances. La Banque du Canada est chargée de la supervision des FSP qui exercent des activités associées aux paiements de détail au Canada, conformément à la Loi sur les activités associées aux paiements de détail (LAPD). Le ministre des Finances et du Revenu national dispose des pouvoirs, en vertu de la LAPD, afin de gérer les risques que posent les FSP pour la sécurité nationale et peut donner une instruction à la Banque du Canada de refuser d’enregistrer un demandeur ou de révoquer un enregistrement du FSP pour des raisons de sécurité nationale. Les renseignements personnels se rapportent au FSP lui-même (s’il s’agit d’une personne physique et non d’une entité) et aux administrateurs du FSP, à la haute direction, à certains créanciers, agents et mandataires, aux entités affiliées et aux personnes ou entités de contrôle. Les renseignements personnels comprennent le ou les noms légaux, la date de naissance, l’adresse ou les adresses, les coordonnées, la citoyenneté et le pays de résidence.",General public; Individuals applying to be a Payment Service Provider and Representatives of applicants of Payment Service Providers,le grand public; les personnes qui présentent une demande de prestation de services de paiement et les représentants des fournisseurs de services de paiement demandeurs,,,,,"Personal information is received and collected under the authority of part 4 – section 63(2) of the Retail Payment Activities Act to conduct an assessment for any national security concerns, to determine if there are any national security risks and whether the applicant can be registered as a PSP in Canada.","les renseignements personnels sont reçus et recueillis conformément à la partie 4 – paragraphe 63(2) de la Loi sur les activités associées aux paiements de détail afin d’effectuer une évaluation de toute préoccupation en matière de sécurité nationale, de déterminer s’il existe des risques pour la sécurité nationale et si le demandeur peut être enregistré à titre de FSP au Canada.",There are no consistent uses,il n’y a pas d’usages compatibles.,The personal information collected will be retained by the Government of Canada for 10 years and disposed of accordingly.,les renseignements personnels recueillis seront conservés par le gouvernement du Canada pendant 10 ans et éliminés en conséquence.,Under Development,en cours d’élaboration,FIN FSP 015,FIN FSP 015,,,20240031,20240031
FIN PPU 300,Information Sharing under section 53.32 of the Proceeds of Crime (Money Laundering) and Terrorist Financing Act (PCMLTFA),Communication de renseignements en vertu de l'article 53.32 de la Loi sur le recyclage des produits de la criminalité et le financement des activités terroristes (LRPCFAT),FIN PPU 300,FIN PPU 300,"The Proceeds of Crime (Money Laundering) and Terrorist Financing Act (PCMLTFA) was amended to provide a new information sharing authority (s. 53.32) to support the Minister of Finance and National Revenue’s responsibilities in relation to national security and financial system integrity. Under the authority, the Director of the Financial Transactions and Reports Analysis Centre of Canada (FINTRAC) may disclose to the Minister information, including personal information, under FINTRAC's control that relates to national security or to safeguarding the integrity of Canada's financial system. The Minister may only use FINTRAC information obtained under this authority in determining whether to grant, revoke, suspend or amend an ""approval"" in respect of a federally regulated financial institution (FRFI), or in exercising the Minister's powers, functions and duties in relation to national security under the Retail Payment Activities Act (RPAA). Personal information consists of full name, aliases, date of birth, gender, contact information, identification numbers (excluding the Social Insurance Number), transaction information, bank account information, property information, importation or exportation of currency information, business information (domestic or foreign), known associates (domestic or foreign), Suspicious Transaction Report (STR) grounds of suspicions found relevant by FINTRAC (aka STR narrative), description of reporting entities actions taken.","La Loi sur le recyclage des produits de la criminalité et le financement des activités terroristes (LRPCFAT) a été modifiée afin de prévoir une nouvelle autorisation de communication de renseignements (art. 53.32) pour appuyer les responsabilités du ministre des Finances et du Revenu national en matière de sécurité nationale et d'intégrité du système financier. En vertu de cette autorisation, le directeur du Centre d'analyse des opérations et déclarations financières du Canada (CANAFE) peut communiquer au ministre des renseignements, y compris des renseignements personnels, sous la responsabilité de CANAFE et qui sont liés à la sécurité nationale ou à la protection de l'intégrité du système financier canadien. Le ministre ne peut utiliser les renseignements de CANAFE obtenus en vertu de cette autorisation que pour déterminer s'il convient d'accorder, de révoquer, de suspendre ou de modifier un agrément à l'égard d'une institution financière sous réglementation fédérale (IFF), ou pour exercer ses pouvoirs, fonctions et obligations en matière de sécurité nationale en vertu de la Loi sur les activités de paiement de détail (LAPD). Les renseignements personnels comprennent le nom complet, les pseudonymes, la date de naissance, le sexe, les coordonnées, les numéros d'identification (à l'exclusion du numéro d'assurance sociale), les renseignements sur les transactions, les renseignements sur les comptes bancaires, les renseignements sur les biens, les renseignements sur l'importation ou l'exportation de devises, les renseignements commerciaux (nationaux ou étrangers), les associés connus (nationaux ou étrangers), les motifs de suspicion de la déclaration d'opérations douteuses (DOD) jugés pertinents par le CANAFE (ou description de la DOD) et la description des mesures prises par les entités déclarantes.",General public,le grand public;,,,,,"Information collected under the authority of section 53.32 of the Proceeds of Crime (Money Laundering) and Terrorist Financing Act (PCMLTFA) is used by the Minister to determine whether to grant, revoke, suspend or amend an ""approval"" in respect of a federally regulated financial institution (FRFI), or in exercising the Minister's powers, functions and duties in relation to national security under the Retail Payment Activities Act (RPAA).","Les renseignements recueillis en vertu de l'article 53.32 de la Loi sur le recyclage des produits de la criminalité et le financement des activités terroristes (LRPCFAT) sont utilisés par le ministre pour déterminer s'il convient d'accorder, de révoquer, de suspendre ou de modifier une « approbation » à l'égard d'une institution financière sous réglementation fédérale (IFF), ou dans l'exercice de ses pouvoirs, fonctions et obligations en matière de sécurité nationale en vertu de la Loi sur les activités de paiement de détail (LAPD).",There are no consistent uses,Il n'y a aucun usage compatible.,The personal information collected will be retained by the Government of Canada for 10 years and disposed of accordingly.,Les renseignements personnels recueillis seront conservés par le gouvernement du Canada pendant 10 ans et détruits en conséquence.,Under Development,En cours d'élaboration,FIN FSP 015,FIN FSP 015,,,Awaiting TBS Approval,En attente d'approbation du SCT
