bank_number_key,title_en,title_fr,bank_number_en,bank_number_fr,description_en,description_fr,class_of_individuals_en,class_of_individuals_fr,note_en,note_fr,social_insurance_number_en,social_insurance_number_fr,purpose_en,purpose_fr,consistent_uses_en,consistent_uses_fr,retention_and_disposal_standards_en,retention_and_disposal_standards_fr,rda_number_en,rda_number_fr,related_record_number_en,related_record_number_fr,last_updated_en,last_updated_fr,tbs_registration_en,tbs_registration_fr
IDRC PPU 100,Climate-Resilient Food Systems,,IDRC PPU 100,,"This bank describes personal information related to complaints of sexual exploitation, abuse and harassment (SEAH) that are part of IDRC’s Safeguarding mandate. In addition to the formal process, this bank also describes personal information related to any informal conflict management process. Personal information may include name(s) of complainant(s) and respondent(s), contact information, employee personnel information, employee identification number, biographical information, employment equity information, medical information, physical attributes, opinions and views of, or about, individuals, and date and nature of the alleged harassment.",,"Employees, governors, recipients of IDRC funding and their organization staff members, individuals who come into contact with IDRC projects",,,,,,"Information is used to investigate and resolve complaints pertaining to sexual exploitation, abuse and harassment (SEAH) in accordance with the institution’s PSEAH Policy and to determine any appropriate action resulting from the complaint, including discipline. For most government institutions, personal information is collected under the authority of the *Public Service Staff Relations Act*. The information is collected under the following legal authority: *Canadian Human Rights Act* (RSC , 1985, c. H-6); *Public Servants Disclosure Protection Act* (S.C. 2005, c. 46), s.10; *International Development Research Centre Act* (R.S.C., 1985, c. I-19), s.2(j); *Financial Administration Act* (R.S.C., 1985, c. F-11), s.131(1)(b); *Privacy Act* (R.S.C., 1985, c. P-21), s.29; *Conflict of Interest Act*, SC 2006, c 9, s 2,; *Canada Labour Code* (R.S.C., 1985, c. L-2)",,"Complaint allegations and outcome of the case will be disclosed to both the complainant (where the complainant has provided personal information) and the respondent, in accordance with the principles of procedural fairness. If the complaint is founded, complainants may be informed verbally whether corrective or disciplinary measures will be taken as a result of their complaint. With consent, information may be shared with legal counsel if the complaint is pursued at a tribunal or in the courts. Where applicable, information may be disclosed to security officials of the institution (refer to Security Incidents and Privacy Breaches - PSU 939). Depending on the nature of the reported incident, allegation, concern and or/suspicion of SEAH, reports may be investigated internally, or external investigative expertise may be secured. Reports may be referred to local authorities or relevant law enforcement agencies where appropriate or as required by law. When a disciplinary action results from an investigation, information may be shared with/described in Standard Personal Information Bank Discipline - PSE 911.",,"For Ottawa-hired staff, information will be retained for three years after the date of resolution, except where retention is specified by agreement; 12 years after case close for negotiations. Once the retention period has expired, the information will be destroyed.",,2012/004 TBS Registration Number: 20250018,,IDRC SFGRD 001,,,,,
IDRC PPU 100,Global Health,,IDRC PPU 100,,"This bank describes personal information related to complaints of sexual exploitation, abuse and harassment (SEAH) that are part of IDRC’s Safeguarding mandate. In addition to the formal process, this bank also describes personal information related to any informal conflict management process. Personal information may include name(s) of complainant(s) and respondent(s), contact information, employee personnel information, employee identification number, biographical information, employment equity information, medical information, physical attributes, opinions and views of, or about, individuals, and date and nature of the alleged harassment.",,"Employees, governors, recipients of IDRC funding and their organization staff members, individuals who come into contact with IDRC projects",,,,,,"Information is used to investigate and resolve complaints pertaining to sexual exploitation, abuse and harassment (SEAH) in accordance with the institution’s PSEAH Policy and to determine any appropriate action resulting from the complaint, including discipline. For most government institutions, personal information is collected under the authority of the *Public Service Staff Relations Act*. The information is collected under the following legal authority: *Canadian Human Rights Act* (RSC , 1985, c. H-6); *Public Servants Disclosure Protection Act* (S.C. 2005, c. 46), s.10; *International Development Research Centre Act* (R.S.C., 1985, c. I-19), s.2(j); *Financial Administration Act* (R.S.C., 1985, c. F-11), s.131(1)(b); *Privacy Act* (R.S.C., 1985, c. P-21), s.29; *Conflict of Interest Act*, SC 2006, c 9, s 2,; *Canada Labour Code* (R.S.C., 1985, c. L-2)",,"Complaint allegations and outcome of the case will be disclosed to both the complainant (where the complainant has provided personal information) and the respondent, in accordance with the principles of procedural fairness. If the complaint is founded, complainants may be informed verbally whether corrective or disciplinary measures will be taken as a result of their complaint. With consent, information may be shared with legal counsel if the complaint is pursued at a tribunal or in the courts. Where applicable, information may be disclosed to security officials of the institution (refer to Security Incidents and Privacy Breaches - PSU 939). Depending on the nature of the reported incident, allegation, concern and or/suspicion of SEAH, reports may be investigated internally, or external investigative expertise may be secured. Reports may be referred to local authorities or relevant law enforcement agencies where appropriate or as required by law. When a disciplinary action results from an investigation, information may be shared with/described in Standard Personal Information Bank Discipline - PSE 911.",,"For Ottawa-hired staff, information will be retained for three years after the date of resolution, except where retention is specified by agreement; 12 years after case close for negotiations. Once the retention period has expired, the information will be destroyed.",,2012/004 TBS Registration Number: 20250018,,IDRC SFGRD 001,,,,,
IDRC PPU 100,Education and Science,,IDRC PPU 100,,"This bank describes personal information related to complaints of sexual exploitation, abuse and harassment (SEAH) that are part of IDRC’s Safeguarding mandate. In addition to the formal process, this bank also describes personal information related to any informal conflict management process. Personal information may include name(s) of complainant(s) and respondent(s), contact information, employee personnel information, employee identification number, biographical information, employment equity information, medical information, physical attributes, opinions and views of, or about, individuals, and date and nature of the alleged harassment.",,"Employees, governors, recipients of IDRC funding and their organization staff members, individuals who come into contact with IDRC projects",,,,,,"Information is used to investigate and resolve complaints pertaining to sexual exploitation, abuse and harassment (SEAH) in accordance with the institution’s PSEAH Policy and to determine any appropriate action resulting from the complaint, including discipline. For most government institutions, personal information is collected under the authority of the *Public Service Staff Relations Act*. The information is collected under the following legal authority: *Canadian Human Rights Act* (RSC , 1985, c. H-6); *Public Servants Disclosure Protection Act* (S.C. 2005, c. 46), s.10; *International Development Research Centre Act* (R.S.C., 1985, c. I-19), s.2(j); *Financial Administration Act* (R.S.C., 1985, c. F-11), s.131(1)(b); *Privacy Act* (R.S.C., 1985, c. P-21), s.29; *Conflict of Interest Act*, SC 2006, c 9, s 2,; *Canada Labour Code* (R.S.C., 1985, c. L-2)",,"Complaint allegations and outcome of the case will be disclosed to both the complainant (where the complainant has provided personal information) and the respondent, in accordance with the principles of procedural fairness. If the complaint is founded, complainants may be informed verbally whether corrective or disciplinary measures will be taken as a result of their complaint. With consent, information may be shared with legal counsel if the complaint is pursued at a tribunal or in the courts. Where applicable, information may be disclosed to security officials of the institution (refer to Security Incidents and Privacy Breaches - PSU 939). Depending on the nature of the reported incident, allegation, concern and or/suspicion of SEAH, reports may be investigated internally, or external investigative expertise may be secured. Reports may be referred to local authorities or relevant law enforcement agencies where appropriate or as required by law. When a disciplinary action results from an investigation, information may be shared with/described in Standard Personal Information Bank Discipline - PSE 911.",,"For Ottawa-hired staff, information will be retained for three years after the date of resolution, except where retention is specified by agreement; 12 years after case close for negotiations. Once the retention period has expired, the information will be destroyed.",,2012/004 TBS Registration Number: 20250018,,IDRC SFGRD 001,,,,,
IDRC PPU 100,Democratic and Inclusive Governance,,IDRC PPU 100,,"This bank describes personal information related to complaints of sexual exploitation, abuse and harassment (SEAH) that are part of IDRC’s Safeguarding mandate. In addition to the formal process, this bank also describes personal information related to any informal conflict management process. Personal information may include name(s) of complainant(s) and respondent(s), contact information, employee personnel information, employee identification number, biographical information, employment equity information, medical information, physical attributes, opinions and views of, or about, individuals, and date and nature of the alleged harassment.",,"Employees, governors, recipients of IDRC funding and their organization staff members, individuals who come into contact with IDRC projects",,,,,,"Information is used to investigate and resolve complaints pertaining to sexual exploitation, abuse and harassment (SEAH) in accordance with the institution’s PSEAH Policy and to determine any appropriate action resulting from the complaint, including discipline. For most government institutions, personal information is collected under the authority of the *Public Service Staff Relations Act*. The information is collected under the following legal authority: *Canadian Human Rights Act* (RSC , 1985, c. H-6); *Public Servants Disclosure Protection Act* (S.C. 2005, c. 46), s.10; *International Development Research Centre Act* (R.S.C., 1985, c. I-19), s.2(j); *Financial Administration Act* (R.S.C., 1985, c. F-11), s.131(1)(b); *Privacy Act* (R.S.C., 1985, c. P-21), s.29; *Conflict of Interest Act*, SC 2006, c 9, s 2,; *Canada Labour Code* (R.S.C., 1985, c. L-2)",,"Complaint allegations and outcome of the case will be disclosed to both the complainant (where the complainant has provided personal information) and the respondent, in accordance with the principles of procedural fairness. If the complaint is founded, complainants may be informed verbally whether corrective or disciplinary measures will be taken as a result of their complaint. With consent, information may be shared with legal counsel if the complaint is pursued at a tribunal or in the courts. Where applicable, information may be disclosed to security officials of the institution (refer to Security Incidents and Privacy Breaches - PSU 939). Depending on the nature of the reported incident, allegation, concern and or/suspicion of SEAH, reports may be investigated internally, or external investigative expertise may be secured. Reports may be referred to local authorities or relevant law enforcement agencies where appropriate or as required by law. When a disciplinary action results from an investigation, information may be shared with/described in Standard Personal Information Bank Discipline - PSE 911.",,"For Ottawa-hired staff, information will be retained for three years after the date of resolution, except where retention is specified by agreement; 12 years after case close for negotiations. Once the retention period has expired, the information will be destroyed.",,2012/004 TBS Registration Number: 20250018,,IDRC SFGRD 001,,,,,
IDRC PPU 100,Sustainable Inclusive Economies,,IDRC PPU 100,,"This bank describes personal information related to complaints of sexual exploitation, abuse and harassment (SEAH) that are part of IDRC’s Safeguarding mandate. In addition to the formal process, this bank also describes personal information related to any informal conflict management process. Personal information may include name(s) of complainant(s) and respondent(s), contact information, employee personnel information, employee identification number, biographical information, employment equity information, medical information, physical attributes, opinions and views of, or about, individuals, and date and nature of the alleged harassment.",,"Employees, governors, recipients of IDRC funding and their organization staff members, individuals who come into contact with IDRC projects",,,,,,"Information is used to investigate and resolve complaints pertaining to sexual exploitation, abuse and harassment (SEAH) in accordance with the institution’s PSEAH Policy and to determine any appropriate action resulting from the complaint, including discipline. For most government institutions, personal information is collected under the authority of the *Public Service Staff Relations Act*. The information is collected under the following legal authority: *Canadian Human Rights Act* (RSC , 1985, c. H-6); *Public Servants Disclosure Protection Act* (S.C. 2005, c. 46), s.10; *International Development Research Centre Act* (R.S.C., 1985, c. I-19), s.2(j); *Financial Administration Act* (R.S.C., 1985, c. F-11), s.131(1)(b); *Privacy Act* (R.S.C., 1985, c. P-21), s.29; *Conflict of Interest Act*, SC 2006, c 9, s 2,; *Canada Labour Code* (R.S.C., 1985, c. L-2)",,"Complaint allegations and outcome of the case will be disclosed to both the complainant (where the complainant has provided personal information) and the respondent, in accordance with the principles of procedural fairness. If the complaint is founded, complainants may be informed verbally whether corrective or disciplinary measures will be taken as a result of their complaint. With consent, information may be shared with legal counsel if the complaint is pursued at a tribunal or in the courts. Where applicable, information may be disclosed to security officials of the institution (refer to Security Incidents and Privacy Breaches - PSU 939). Depending on the nature of the reported incident, allegation, concern and or/suspicion of SEAH, reports may be investigated internally, or external investigative expertise may be secured. Reports may be referred to local authorities or relevant law enforcement agencies where appropriate or as required by law. When a disciplinary action results from an investigation, information may be shared with/described in Standard Personal Information Bank Discipline - PSE 911.",,"For Ottawa-hired staff, information will be retained for three years after the date of resolution, except where retention is specified by agreement; 12 years after case close for negotiations. Once the retention period has expired, the information will be destroyed.",,2012/004 TBS Registration Number: 20250018,,IDRC SFGRD 001,,,,,
IDRC PPE 005,Human Resources Management Services,Services de gestion des ressources humaines,IDRC PPE 005,CRDI PPE 005,"This bank contains personal information used to support employee performance management through AI-enhanced tools within the Betterworks Performance Management software platform. The system leverages artificial intelligence to assist with goal setting, feedback generation, performance review summaries, and conversation support. AI tools may analyze historical performance data, feedback trends, and goal progress to provide insights and recommendations to managers and employees. Types of personal information can include: employee name and professional contact information, job title and organizational rol, performance review data (ratings, comments, feedback), goal-setting records and progress updates, AI-generated summaries and recommendations, interaction logs with AI tools (e.g., Goal Assist, Feedback Summary Assist), managerial notes and evaluation history.","Cette banque contient des informations personnelles utilisées pour soutenir la gestion des performances des employés grâce à des outils améliorés par l'IA au sein de la plateforme logicielle Betterworks Performance Management. Le système exploite l'intelligence artificielle pour aider à la définition d'objectifs, à la génération de commentaires, à la synthèse des évaluations de performances et au soutien à la conversation. Les outils d'IA peuvent analyser les données historiques de performance, les tendances en matière de commentaires et la progression des objectifs afin de fournir des informations et des recommandations aux responsables et aux employés. Les types de renseignements personnels peuvent inclure : le nom et les coordonnées professionnelles de l'employé, son titre et son rôle au sein de l'organisation, les données d'évaluation des performances (notes, commentaires, rétroaction), les enregistrements de fixation d'objectifs et les mises à jour sur les progrès réalisés, les résumés et recommandations générés par l'IA, les journaux d'interaction avec les outils d'IA (par exemple, Goal Assist, Feedback Summary Assist), les notes de gestion et l'historique des évaluations.",IDRC employees,Employés du CRDI,,,,,"To enhance the accuracy, fairness, and efficiency of performance management processes using AI tools, while reducing bias and administrative burden. The system supports continuous feedback and development aligned with organizational goals.",,Used by employees to track goals and receive feedback from mangers and supervisors; used by HR personnel and managers for performance planning and review; used to generate analytics and reports for workforce development; may be used to support employee training and coaching initiatives; may be used to assess fairness and effectiveness of performance management processes.,"Utilisées par les employés pour suivre leurs objectifs et recevoir des commentaires de leurs responsables et superviseurs ; utilisées par le personnel des ressources humaines et les responsables pour la planification et l'évaluation des performances ; utilisées pour générer des analyses et des rapports pour le développement de la main-d'œuvre ; peuvent être utilisées pour soutenir les initiatives de formation et d'accompagnement des employés ; peuvent être utilisées pour évaluer l'équité et l'efficacité des processus de gestion des performances. **Normes de conservation et destruction** : Pour le personnel embauché à Ottawa, les dossiers sont conservés pendant cinq ans après la dernière mesure administrative, à l'exception des tests linguistiques et des reconnaissances, qui sont conservés pendant cinq ans après la date de cessation d'emploi de l'employé. Une fois la période de conservation expirée, les dossiers sont détruits. Pour le personnel engagé localement, les dossiers sont conservés pendant cinq ans après la dernière mesure administrative, à l'exception des reconnaissances, qui sont conservées pendant deux ans après la date de cessation d'emploi de l'employé. Un an après la date de cessation d'emploi, les dossiers sont envoyés au siège social à Ottawa. Une fois la période de conservation expirée, les dossiers sont détruits.","For Ottawa-hired staff, records are kept for five years after the last administrative action except language testing and recognition, which are kept for five years after employee termination date. Once retention period has expired, records are destroyed. For Locally Engaged Staff, records are kept for five years after last administrative action except recognition, which are kept for two years after employee termination date. One year after employee termination date, records are sent to Head Office in Ottawa. Once retention period has expired, records are destroyed.",,2012/004 **TBS Registration Number**: 20250154,2012/004,[PRN 919 Classification of Positions](https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-classes-records.html#prn919) [PRN 914 Compensation and Benefits](https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-classes-records.html#prn941) [PRN 942 Employment Equity and Diversity](https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-classes-records.html#prn942) [PRN 949 Human Resources Planning](https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-classes-records.html#prn949) [PRN 922 Occupational Health and Safety](https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-classes-records.html#prn922) [PRN 946 Performance Management Reviews](https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-classes-records.html#prn946) [PRN 927 Training and Development](https://www.canada.ca/en/treasury-board-secretariat/services/access-information-privacy/access-information/info-source/standard-classes-records.html#prn927) IDRC MGMT 100 - AI-Enhanced Performance Management Records – Betterworks,,,,,20250154 **Numéro de dossier connexe :** [Classification des postes](https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/categories-documents-ordinaires.html#ndp919) (NDP 919) [Gestion financière](https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/categories-documents-ordinaires.html#ndp914) (NDP 914) [Équité en matière d’emploi et diversité](https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/categories-documents-ordinaires.html#ndp942) (NDP 942) [Planification des ressources humaines](https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/categories-documents-ordinaires.html#ndp949) (NDP 949) [Santé et sécurité au travail](https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/categories-documents-ordinaires.html#ndp922) (NDP 922) [Évaluation de la gestion du rendement](https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/categories-documents-ordinaires.html#ndp946) (NDP 946) [Formation et perfectionnement](https://www.canada.ca/fr/secretariat-conseil-tresor/services/acces-information-protection-reseignements-personnels/acces-information/info-source/categories-documents-ordinaires.html#ndp927) (NDP 927) Enregistrements de gestion des performances améliorés par l'IA – Betterworks (IDRC MGMT 100)
